personId,firstName,familyName,teamId,teamTricode,minutes,fieldGoalsAttempted,threePointersAttempted
1641801,Emanuel,Miller,1610612759,SAS,27:53,12,6
1643576,Maliq,Brown,1610612759,SAS,22:21,3,1
1643542,Tarris,Reed Jr.,1610612759,SAS,25:06,10,1
1643551,Ja'Kobi,Gillespie,1610612759,SAS,30:33,14,9
1642930,RJ,Davis,1610612759,SAS,29:25,16,7
1631253,Hyunjung,Lee,1610612759,SAS,20:07,8,6
1643070,Jayden,Nunn,1610612759,SAS,12:37,3,2
1643153,RJ,Melendez,1610612759,SAS,10:07,3,3
1642945,Igor,Milicic Jr.,1610612759,SAS,13:05,3,1
1643709,Miles,Barnstable,1610612759,SAS,6:14,1,1
1641987,David,Muoka,1610612759,SAS,2:32,1,0
1642868,Carter,Bryant,1610612759,SAS,,0,0
1642360,Tyon,Grant-Foster,1610612759,SAS,,0,0
1642939,Miles,Kelly,1610612759,SAS,,0,0
1643519,Jayden,Quaintance,1610612759,SAS,,0,0
1643725,Harry,Wessels,1610612759,SAS,,0,0
1643040,Zakai,Zeigler,1610612759,SAS,,0,0
1643024,Chris,Mañon,1610612747,LAL,27:11,10,3
27900,AK,Okereke,1610612747,LAL,14:47,6,2
27898,Robbie,Avila,1610612747,LAL,13:49,6,2
1643418,Cameron,Carr,1610612747,LAL,12:49,7,2
1643044,William,Hickey,1610612747,LAL,23:09,1,1
1641751,Arthur,Kaluma,1610612747,LAL,27:33,11,4
1643732,Chase,Ross,1610612747,LAL,14:30,5,2
1631399,Jon,Elmore,1610612747,LAL,16:38,4,3
27899,William,Kyle III,1610612747,LAL,23:43,3,0
1643210,Luke,Goode,1610612747,LAL,15:03,5,5
1643733,Jacari,White,1610612747,LAL,10:48,3,2
1643597,Robert,McCray V,1610612747,LAL,,0,0
1629015,Zhaire,Smith,1610612747,LAL,,0,0
1643614,Peter,Suder,1610612747,LAL,,0,0
1642876,Adou,Thiero,1610612747,LAL,,0,0
1641817,Anton,Watson,1610612747,LAL,,0,0
