SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22026,1610612758,SAC,Sacramento Kings,1322600012,2026-07-06,SAC vs. MIL,W,200,95,32,73,0.438,15,35,0.429,9,13,0.692,13,26,39,16,10,8,16,19,6.0
22026,1610612747,LAL,Los Angeles Lakers,1322600009,2026-07-06,LAL @ SAS,W,202,88,27,61,0.443,9,26,0.346,16,19,0.842,6,26,32,18,11,6,16,18,4.0
22026,1710612744,GWG,Golden State Warriors Gold,1322600011,2026-07-06,GWG vs. MIA,L,199,85,30,67,0.448,7,21,0.333,10,16,0.625,12,25,37,17,3,5,13,15,-10.0
22026,1610612749,MIL,Milwaukee Bucks,1322600012,2026-07-06,MIL @ SAC,L,198,89,31,72,0.431,9,29,0.31,11,15,0.733,12,22,34,15,8,9,17,21,-6.0
22026,1610612748,MIA,Miami Heat,1322600011,2026-07-06,MIA @ GWG,W,199,95,34,80,0.425,12,34,0.353,8,11,0.727,18,25,43,24,7,5,10,24,10.0
22026,1610612751,BKN,Brooklyn Nets,1322600010,2026-07-06,BKN vs. GWB,W,199,100,36,71,0.507,15,35,0.429,7,11,0.636,7,33,40,22,7,1,14,26,21.0
22026,1610612759,SAS,San Antonio Spurs,1322600009,2026-07-06,SAS vs. LAL,L,200,84,30,74,0.405,12,37,0.324,7,11,0.636,15,24,39,19,7,5,15,21,-4.0
22026,1810612744,GWB,Golden State Warriors Blue,1322600010,2026-07-06,GWB @ BKN,L,200,79,27,68,0.397,11,34,0.324,8,14,0.571,9,23,32,17,7,4,16,20,-21.0
22026,1810612744,GWB,Golden State Warriors Blue,1322600007,2026-07-05,GWB @ SAC,L,199,85,26,68,0.382,7,28,0.25,15,20,0.75,10,27,37,15,6,4,14,28,-6.0
22026,1710612744,GWG,Golden State Warriors Gold,1322600008,2026-07-05,GWG vs. SAS,W,201,98,37,74,0.5,12,29,0.414,7,12,0.583,13,34,47,21,11,5,14,13,29.0
22026,1610612748,MIA,Miami Heat,1322600006,2026-07-05,MIA @ LAL,L,579,80,28,68,0.412,7,30,0.233,9,14,0.643,10,29,39,16,7,5,16,27,-2.4
22026,1610612758,SAC,Sacramento Kings,1322600007,2026-07-05,SAC vs. GWB,W,200,91,29,64,0.453,7,28,0.25,17,24,0.708,6,29,35,19,7,8,12,28,6.0
22026,1610612747,LAL,Los Angeles Lakers,1322600006,2026-07-05,LAL vs. MIA,W,705,93,27,73,0.37,10,30,0.333,17,22,0.773,8,29,37,17,9,4,10,22,2.0
22026,1610612748,MIA,Miami Heat,1322600006,2026-07-05,MIA @ LAL,,5,11,2,4,0.5,2,4,0.5,2,2,1.0,0,6,6,0,1,2,2,0,0.4
22026,1610612751,BKN,Brooklyn Nets,1322600005,2026-07-05,BKN @ MIL,W,200,89,35,78,0.449,13,29,0.448,3,7,0.429,15,35,50,22,8,5,16,18,20.0
22026,1610612759,SAS,San Antonio Spurs,1322600008,2026-07-05,SAS @ GWG,L,200,69,26,68,0.382,9,28,0.321,5,8,0.625,8,22,30,16,9,6,18,15,-29.0
22026,1610612749,MIL,Milwaukee Bucks,1322600005,2026-07-05,MIL vs. BKN,L,201,69,24,74,0.324,11,29,0.379,6,7,0.857,6,23,29,15,8,5,13,14,-20.0
22026,1610612749,MIL,Milwaukee Bucks,1322600003,2026-07-04,MIL @ GWB,W,201,97,38,73,0.521,7,25,0.28,9,14,0.643,11,32,43,20,12,7,17,17,14.0
22026,1610612758,SAC,Sacramento Kings,1322600004,2026-07-04,SAC vs. BKN,W,200,79,28,75,0.373,5,27,0.185,11,19,0.579,10,23,33,13,11,8,9,23,3.0
22026,1810612744,GWB,Golden State Warriors Blue,1322600003,2026-07-04,GWB vs. MIL,L,201,83,28,76,0.368,10,38,0.263,9,12,0.75,8,23,31,15,10,4,16,21,-14.0
22026,1610612751,BKN,Brooklyn Nets,1322600004,2026-07-04,BKN @ SAC,L,200,76,22,59,0.373,5,23,0.217,14,17,0.824,12,38,50,8,3,6,20,26,-3.0
22026,1610612759,SAS,San Antonio Spurs,1322600001,2026-07-03,SAS vs. MIA,L,200,87,31,79,0.392,13,32,0.406,7,9,0.778,11,22,33,22,12,7,13,19,-1.0
22026,1710612744,GWG,Golden State Warriors Gold,1322600002,2026-07-03,GWG vs. LAL,W,200,104,39,62,0.629,16,26,0.615,8,13,0.615,6,28,34,32,9,4,11,21,32.0
22026,1610612747,LAL,Los Angeles Lakers,1322600002,2026-07-03,LAL @ GWG,L,199,72,26,68,0.382,7,31,0.226,8,19,0.421,12,18,30,16,7,5,12,22,-32.0
22026,1610612748,MIA,Miami Heat,1322600001,2026-07-03,MIA @ SAS,W,200,88,28,61,0.459,9,26,0.346,11,14,0.786,7,31,38,19,10,4,22,13,1.0
