PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,SHOT_ZONE_BASIC,ACTION_TYPE,SHOT_ATTEMPTED_FLAG
1643542,Tarris Reed Jr.,1610612759,San Antonio Spurs,Above the Break 3,Jump Shot,1
1642443,Jahmir Young,1610612748,Miami Heat,Mid-Range,Jump Shot,1
1642939,Miles Kelly,1610612759,San Antonio Spurs,Above the Break 3,Jump Shot,1
1642066,Myron Gardner,1610612748,Miami Heat,Above the Break 3,Jump Shot,1
1642939,Miles Kelly,1610612759,San Antonio Spurs,Restricted Area,Running Layup Shot,1
1643553,Ryan Conwell,1610612748,Miami Heat,Above the Break 3,Jump Shot,1
1642939,Miles Kelly,1610612759,San Antonio Spurs,Mid-Range,Jump Shot,1
1643553,Ryan Conwell,1610612748,Miami Heat,Above the Break 3,Jump Shot,1
1642443,Jahmir Young,1610612748,Miami Heat,Above the Break 3,Jump Shot,1
1643542,Tarris Reed Jr.,1610612759,San Antonio Spurs,In The Paint (Non-RA),Hook Shot,1
1642443,Jahmir Young,1610612748,Miami Heat,Above the Break 3,Jump Shot,1
1643551,Ja'Kobi Gillespie,1610612759,San Antonio Spurs,In The Paint (Non-RA),Pullup Jump shot,1
1642884,Vladislav Goldin,1610612748,Miami Heat,Restricted Area,Dunk Shot,1
1643553,Ryan Conwell,1610612748,Miami Heat,In The Paint (Non-RA),Driving Layup Shot,1
1643551,Ja'Kobi Gillespie,1610612759,San Antonio Spurs,Above the Break 3,Jump Shot,1
1643553,Ryan Conwell,1610612748,Miami Heat,Above the Break 3,Jump Shot,1
1642066,Myron Gardner,1610612748,Miami Heat,In The Paint (Non-RA),Dunk Shot,1
1642930,RJ Davis,1610612759,San Antonio Spurs,Above the Break 3,Pullup Jump shot,1
1631211,Trevor Keels,1610612748,Miami Heat,Above the Break 3,Jump Shot,1
1641801,Emanuel Miller,1610612759,San Antonio Spurs,In The Paint (Non-RA),Driving Floating Jump Shot,1
1642066,Myron Gardner,1610612748,Miami Heat,Above the Break 3,Jump Shot,1
1643621,Tre Donaldson,1610612748,Miami Heat,Above the Break 3,Jump Shot,1
1631253,Hyunjung Lee,1610612759,San Antonio Spurs,Left Corner 3,Jump Shot,1
1642930,RJ Davis,1610612759,San Antonio Spurs,Above the Break 3,Jump Shot,1
1643545,Keyshawn Hall,1610612748,Miami Heat,Left Corner 3,Jump Shot,1
1631253,Hyunjung Lee,1610612759,San Antonio Spurs,Left Corner 3,Jump Shot,1
1631211,Trevor Keels,1610612748,Miami Heat,In The Paint (Non-RA),Driving Layup Shot,1
