season_end_year,season,high_id,high_name,high_ast,high_pts,low_id,low_name,low_ast,low_pts,combined_ast,combined_pts,share_high,games_together,ast_per_game
2011,2010-11,201565,Derrick Rose,182,432,2736,Luol Deng,51,122,233,554,0.7811158798283262,81,2.876543209876543
2007,2006-07,2550,Kirk Hinrich,129,258,2736,Luol Deng,55,148,184,406,0.7010869565217391,80,2.3
2004,2003-04,2550,Kirk Hinrich,107,261,2037,Jamal Crawford,74,200,181,461,0.5911602209944752,74,2.445945945945946
2023,2022-23,203897,Zach LaVine,119,269,202696,Nikola Vučević,59,149,178,418,0.6685393258426966,77,2.311688311688312
2025,2024-25,1630581,Josh Giddey,134,314,202696,Nikola Vučević,41,104,175,418,0.7657142857142857,63,2.7777777777777777
2024,2023-24,1629632,Coby White,119,263,202696,Nikola Vučević,55,137,174,400,0.6839080459770115,73,2.3835616438356166
2016,2015-16,2200,Pau Gasol,86,183,202710,Jimmy Butler III,86,175,172,358,0.5,57,3.017543859649123
2022,2021-22,203897,Zach LaVine,122,268,202696,Nikola Vučević,49,125,171,393,0.7134502923976608,59,2.8983050847457625
2007,2006-07,2550,Kirk Hinrich,100,240,2732,Ben Gordon,70,166,170,406,0.5882352941176471,80,2.125
2011,2010-11,201565,Derrick Rose,131,262,2430,Carlos Boozer,39,98,170,360,0.7705882352941177,59,2.8813559322033897
2009,2008-09,201565,Derrick Rose,106,260,2732,Ben Gordon,61,130,167,390,0.6347305389221557,81,2.0617283950617282
2003,2002-03,2037,Jamal Crawford,114,264,147,Jalen Rose,42,107,156,371,0.7307692307692307,80,1.95
2023,2022-23,201942,DeMar DeRozan,112,265,202696,Nikola Vučević,40,95,152,360,0.7368421052631579,74,2.054054054054054
2010,2009-10,201565,Derrick Rose,116,242,2736,Luol Deng,33,66,149,308,0.7785234899328859,70,2.1285714285714286
2024,2023-24,201942,DeMar DeRozan,77,210,1629632,Coby White,69,169,146,379,0.5273972602739726,76,1.9210526315789473
