season_end_year,season,high_id,high_name,high_ast,high_pts,low_id,low_name,low_ast,low_pts,combined_ast,combined_pts,share_high,games_together,ast_per_game,decade
2007,2006-07,2550,Kirk Hinrich,129,258,2736,Luol Deng,55,148,184,406,0.7010869565217391,80,2.3,2000s
2004,2003-04,2550,Kirk Hinrich,107,261,2037,Jamal Crawford,74,200,181,461,0.5911602209944752,74,2.445945945945946,2000s
2007,2006-07,2550,Kirk Hinrich,100,240,2732,Ben Gordon,70,166,170,406,0.5882352941176471,80,2.125,2000s
2009,2008-09,201565,Derrick Rose,106,260,2732,Ben Gordon,61,130,167,390,0.6347305389221557,81,2.0617283950617282,2000s
2003,2002-03,2037,Jamal Crawford,114,264,147,Jalen Rose,42,107,156,371,0.7307692307692307,80,1.95,2000s
2010,2009-10,201565,Derrick Rose,116,242,2736,Luol Deng,33,66,149,308,0.7785234899328859,70,2.1285714285714286,2000s
2005,2004-05,2768,Chris Duhon,81,192,2550,Kirk Hinrich,59,162,140,354,0.5785714285714286,77,1.8181818181818181,2000s
2003,2002-03,2398,Jay Williams,96,225,147,Jalen Rose,36,93,132,318,0.7272727272727273,75,1.76,2000s
2010,2009-10,201565,Derrick Rose,66,165,2550,Kirk Hinrich,63,130,129,295,0.5116279069767442,71,1.8169014084507042,2000s
2006,2005-06,2550,Kirk Hinrich,99,206,2736,Luol Deng,30,78,129,284,0.7674418604651163,77,1.6753246753246753,2000s
2011,2010-11,201565,Derrick Rose,182,432,2736,Luol Deng,51,122,233,554,0.7811158798283262,81,2.876543209876543,2010s
2016,2015-16,2200,Pau Gasol,86,183,202710,Jimmy Butler III,86,175,172,358,0.5,57,3.017543859649123,2010s
2011,2010-11,201565,Derrick Rose,131,262,2430,Carlos Boozer,39,98,170,360,0.7705882352941177,59,2.8813559322033897,2010s
2020,2019-20,203107,Tomas Satoransky,98,234,203897,Zach LaVine,41,101,139,335,0.7050359712230215,60,2.316666666666667,2010s
2017,2016-17,200765,Rajon Rondo,96,213,202710,Jimmy Butler III,36,91,132,304,0.7272727272727273,63,2.0952380952380953,2010s
2016,2015-16,201565,Derrick Rose,100,203,2200,Pau Gasol,32,76,132,279,0.7575757575757576,60,2.2,2010s
2015,2014-15,201565,Derrick Rose,87,177,2200,Pau Gasol,34,87,121,264,0.71900826446281,51,2.372549019607843,2010s
2017,2016-17,202710,Jimmy Butler III,95,190,201577,Robin Lopez,25,58,120,248,0.7916666666666666,75,1.6,2010s
2014,2013-14,201149,Joakim Noah,70,154,202710,Jimmy Butler III,38,76,108,230,0.6481481481481481,66,1.6363636363636365,2010s
2015,2014-15,202710,Jimmy Butler III,55,110,2200,Pau Gasol,50,116,105,226,0.5238095238095238,61,1.721311475409836,2010s
2023,2022-23,203897,Zach LaVine,119,269,202696,Nikola Vučević,59,149,178,418,0.6685393258426966,77,2.311688311688312,2020s
2025,2024-25,1630581,Josh Giddey,134,314,202696,Nikola Vučević,41,104,175,418,0.7657142857142857,63,2.7777777777777777,2020s
2024,2023-24,1629632,Coby White,119,263,202696,Nikola Vučević,55,137,174,400,0.6839080459770115,73,2.3835616438356166,2020s
2022,2021-22,203897,Zach LaVine,122,268,202696,Nikola Vučević,49,125,171,393,0.7134502923976608,59,2.8983050847457625,2020s
2023,2022-23,201942,DeMar DeRozan,112,265,202696,Nikola Vučević,40,95,152,360,0.7368421052631579,74,2.054054054054054,2020s
2024,2023-24,201942,DeMar DeRozan,77,210,1629632,Coby White,69,169,146,379,0.5273972602739726,76,1.9210526315789473,2020s
2024,2023-24,201942,DeMar DeRozan,99,231,202696,Nikola Vučević,42,92,141,323,0.7021276595744681,74,1.9054054054054055,2020s
2022,2021-22,201942,DeMar DeRozan,96,230,202696,Nikola Vučević,41,92,137,322,0.7007299270072993,68,2.014705882352941,2020s
2024,2023-24,1630245,Ayo Dosunmu,76,164,202696,Nikola Vučević,39,104,115,268,0.6608695652173913,71,1.619718309859155,2020s
2025,2024-25,203897,Zach LaVine,81,176,202696,Nikola Vučević,28,71,109,247,0.7431192660550459,41,2.658536585365854,2020s
