season,pairs,exact,exact_pct,within_1_pct,max_abs_diff,pbp_total,track_total
2013-14,217,163,75.1,92.6,4,1860,1836
2014-15,176,129,73.3,94.3,3,1781,1764
2015-16,226,176,77.9,95.6,2,1870,1854
2016-17,260,212,81.5,97.3,5,1851,1838
2017-18,311,254,81.7,96.8,2,1923,1886
2018-19,316,286,90.5,98.4,4,1796,1771
2019-20,225,212,94.2,99.6,2,1510,1508
2020-21,348,328,94.3,99.7,3,1927,1923
2021-22,313,300,95.8,99.4,2,1958,1957
2022-23,208,175,84.1,97.1,2,2006,1979
2023-24,231,195,84.4,93.9,6,2048,1988
2024-25,350,336,96.0,99.1,3,2383,2379
2025-26,447,420,94.0,99.6,2,2335,2312
