season_end_year,PLAYER_ID,official,attributed,difference
2001,697,263,263,0
2001,1434,31,31,0
2001,1500,201,201,0
2001,1724,185,185,0
2001,1736,69,69,0
2001,1802,107,107,0
2001,1864,6,6,0
2001,1882,240,240,0
2001,1897,228,228,0
2001,1913,39,39,0
2001,2033,76,76,0
2001,2037,141,141,0
2001,2053,10,10,0
2001,2062,64,64,0
2001,2063,5,5,0
2001,2064,145,145,0
2002,21,203,203,0
2002,147,158,158,0
2002,696,149,149,0
2002,697,136,136,0
2002,891,114,114,0
2002,1500,118,118,0
2002,1563,193,193,0
2002,1802,101,101,0
2002,1897,77,77,0
2002,1944,37,37,0
2002,2033,120,120,0
2002,2037,55,55,0
2002,2053,23,23,0
2002,2062,81,81,0
2002,2199,54,54,0
2002,2201,25,25,0
2002,2239,172,172,0
2002,2369,1,1,0
2003,147,395,395,0
2003,697,70,70,0
2003,916,50,50,0
2003,923,137,137,0
2003,1594,36,36,0
2003,1944,66,66,0
2003,2033,48,48,0
2003,2037,334,334,0
2003,2053,4,4,0
2003,2199,76,76,0
2003,2201,37,37,0
2003,2239,151,151,0
2003,2398,350,350,0
2003,2427,12,12,0
2003,2437,16,16,0
2004,147,56,56,0
2004,213,123,123,0
2004,383,89,89,0
2004,916,45,45,0
2004,923,28,28,0
2004,937,50,50,0
2004,966,61,61,0
2004,1594,80,80,0
2004,1944,58,58,0
2004,2033,43,43,0
2004,2037,405,405,0
2004,2199,23,23,0
2004,2201,68,68,0
2004,2321,4,4,0
2004,2423,6,6,0
2004,2427,3,3,0
2004,2437,5,5,0
2004,2457,47,47,0
2004,2550,517,517,0
2004,2648,55,55,0
2004,2669,27,27,0
2005,15,51,51,0
2005,213,80,80,0
2005,970,56,56,0
2005,1444,0,0,0
2005,1559,53,53,0
2005,2199,65,65,0
2005,2201,37,37,0
2005,2421,11,11,0
2005,2457,76,76,0
2005,2550,494,494,0
2005,2732,164,164,0
2005,2736,135,135,0
2005,2768,398,398,0
2005,2804,122,122,0
2005,2876,1,1,0
2006,15,13,13,0
2006,970,39,39,0
2006,988,1,1,0
2006,1501,2,2,0
2006,2124,20,20,0
2006,2199,81,81,0
2006,2443,88,88,0
2006,2450,0,0,0
2006,2457,94,94,0
2006,2550,514,514,0
2006,2552,59,59,0
2006,2732,240,240,0
2006,2736,147,147,0
2006,2768,373,373,0
2006,2804,117,117,0
2006,2839,0,0,0
2006,101188,8,8,0
2006,101195,7,7,0
2006,101211,1,1,0
2007,136,48,48,0
2007,1112,186,186,0
2007,1559,59,59,0
2007,2124,16,16,0
2007,2550,500,500,0
2007,2552,28,28,0
2007,2732,296,296,0
2007,2736,204,204,0
2007,2751,21,21,0
2007,2768,310,310,0
2007,2804,57,57,0
2007,2857,7,7,0
2007,200748,40,40,0
