season,official_assists,extracted_assists,difference,coverage
2000-01,1810,1810,0,1.0
2001-02,1817,1817,0,1.0
2002-03,1782,1782,0,1.0
2003-04,1793,1793,0,1.0
2004-05,1743,1743,0,1.0
2005-06,1804,1804,0,1.0
2006-07,1832,1832,0,1.0
2007-08,1811,1811,0,1.0
2008-09,1732,1732,0,1.0
2009-10,1704,1704,0,1.0
2010-11,1827,1827,0,1.0
2011-12,1527,1527,0,1.0
2012-13,1886,1886,0,1.0
2013-14,1860,1860,0,1.0
2014-15,1781,1781,0,1.0
2015-16,1870,1870,0,1.0
2016-17,1851,1851,0,1.0
2017-18,1923,1923,0,1.0
2018-19,1796,1796,0,1.0
2019-20,1510,1510,0,1.0
2020-21,1927,1927,0,1.0
2021-22,1958,1958,0,1.0
2022-23,2006,2006,0,1.0
2023-24,2048,2048,0,1.0
2024-25,2383,2383,0,1.0
2025-26,2335,2335,0,1.0
