game_id,assister_id,scorer_id,scorer_name,shot_value,season_end_year,season
0021900003,203107,1628374,Markkanen,2,2020,2019-20
0021900003,203897,1628374,Markkanen,2,2020,2019-20
0021900003,203897,203490,Porter Jr.,2,2020,2019-20
0021900003,1627739,1628976,Carter Jr.,2,2020,2019-20
0021900003,1627739,1629632,White,3,2020,2019-20
0021900003,203490,1628976,Carter Jr.,2,2020,2019-20
0021900003,201152,1628976,Carter Jr.,2,2020,2019-20
0021900003,1629632,201152,Young,3,2020,2019-20
0021900003,1628374,1627853,Arcidiacono,3,2020,2019-20
0021900003,203107,203490,Porter Jr.,2,2020,2019-20
0021900003,201152,1629632,White,2,2020,2019-20
0021900003,1629632,201152,Young,2,2020,2019-20
0021900003,203897,1628374,Markkanen,2,2020,2019-20
0021900003,203107,203897,LaVine,2,2020,2019-20
0021900003,1628374,203107,Satoransky,2,2020,2019-20
0021900003,203897,203490,Porter Jr.,3,2020,2019-20
0021900003,203897,1628374,Markkanen,2,2020,2019-20
0021900003,203897,1628374,Markkanen,2,2020,2019-20
0021900003,203897,201152,Young,3,2020,2019-20
0021900003,1627853,1629632,White,2,2020,2019-20
0021900003,1629632,201152,Young,2,2020,2019-20
0021900003,1629632,1627853,Arcidiacono,3,2020,2019-20
0021900003,1629632,1628374,Markkanen,3,2020,2019-20
0021900003,1629632,201152,Young,3,2020,2019-20
0021900003,1629632,203897,LaVine,2,2020,2019-20
0021900020,203107,203897,LaVine,3,2020,2019-20
0021900020,203897,1628976,Carter Jr.,2,2020,2019-20
0021900020,203107,1628976,Carter Jr.,2,2020,2019-20
0021900020,201152,1627739,Dunn,2,2020,2019-20
0021900020,1627739,201152,Young,3,2020,2019-20
0021900020,1627739,1628436,Kornet,3,2020,2019-20
0021900020,1627739,1628374,Markkanen,2,2020,2019-20
0021900020,203897,203490,Porter Jr.,3,2020,2019-20
0021900020,1628374,203107,Satoransky,2,2020,2019-20
0021900020,1628374,203897,LaVine,2,2020,2019-20
0021900020,203897,1628374,Markkanen,2,2020,2019-20
0021900020,203897,1629632,White,3,2020,2019-20
0021900020,201152,1628374,Markkanen,3,2020,2019-20
0021900020,1629632,1627739,Dunn,2,2020,2019-20
0021900020,201152,1627739,Dunn,2,2020,2019-20
0021900020,1627739,1629632,White,2,2020,2019-20
0021900020,1628374,1629632,White,3,2020,2019-20
0021900020,1629632,1628374,Markkanen,2,2020,2019-20
0021900031,1628374,203107,Satoransky,3,2020,2019-20
0021900031,203107,201152,Young,3,2020,2019-20
0021900031,1627739,201152,Young,2,2020,2019-20
0021900031,1627853,1629632,White,2,2020,2019-20
0021900031,1627853,1628436,Kornet,3,2020,2019-20
0021900031,1627853,1628374,Markkanen,2,2020,2019-20
0021900031,203107,203897,LaVine,3,2020,2019-20
0021900031,203897,1628976,Carter Jr.,2,2020,2019-20
0021900031,203897,1628976,Carter Jr.,2,2020,2019-20
0021900031,203897,203107,Satoransky,3,2020,2019-20
0021900031,203490,1628976,Carter Jr.,2,2020,2019-20
0021900031,203107,1628374,Markkanen,3,2020,2019-20
0021900031,201152,203490,Porter Jr.,3,2020,2019-20
0021900031,1629632,1627853,Arcidiacono,3,2020,2019-20
0021900031,203107,1628976,Carter Jr.,2,2020,2019-20
0021900031,203897,1628436,Kornet,2,2020,2019-20
0021900031,1627853,1627885,Harrison,2,2020,2019-20
0021900031,1627885,1627756,Valentine,3,2020,2019-20
0021900042,203897,203490,Porter Jr.,3,2020,2019-20
0021900042,203897,1628976,Carter Jr.,2,2020,2019-20
0021900042,1628374,1628976,Carter Jr.,2,2020,2019-20
0021900042,203897,201152,Young,2,2020,2019-20
0021900042,1629632,203897,LaVine,2,2020,2019-20
0021900042,1627853,201152,Young,3,2020,2019-20
0021900042,1627739,201152,Young,2,2020,2019-20
0021900042,203107,203897,LaVine,2,2020,2019-20
0021900042,203107,1628976,Carter Jr.,2,2020,2019-20
0021900042,203107,1628976,Carter Jr.,2,2020,2019-20
0021900042,1628976,1628374,Markkanen,3,2020,2019-20
0021900042,1628374,203897,LaVine,2,2020,2019-20
0021900042,1628436,201152,Young,3,2020,2019-20
0021900042,1629632,201152,Young,2,2020,2019-20
0021900042,1627853,1627739,Dunn,2,2020,2019-20
0021900042,1629632,1627853,Arcidiacono,3,2020,2019-20
0021900042,203107,1628374,Markkanen,2,2020,2019-20
0021900042,1628976,203897,LaVine,3,2020,2019-20
0021900042,203107,1628374,Markkanen,3,2020,2019-20
0021900055,203490,1628374,Markkanen,3,2020,2019-20
0021900055,203107,203897,LaVine,3,2020,2019-20
0021900055,203107,1628436,Kornet,3,2020,2019-20
0021900055,203107,201152,Young,2,2020,2019-20
0021900055,1627739,1628436,Kornet,2,2020,2019-20
0021900055,1627739,1628976,Carter Jr.,2,2020,2019-20
0021900055,1627853,1628374,Markkanen,3,2020,2019-20
0021900055,1628374,1627739,Dunn,2,2020,2019-20
0021900055,1627739,1628436,Kornet,2,2020,2019-20
0021900055,201152,1628436,Kornet,2,2020,2019-20
0021900055,203897,201152,Young,2,2020,2019-20
0021900055,203107,201152,Young,2,2020,2019-20
0021900055,203897,201152,Young,3,2020,2019-20
0021900055,1628374,203897,LaVine,2,2020,2019-20
0021900055,203490,203107,Satoransky,3,2020,2019-20
0021900055,203107,203490,Porter Jr.,3,2020,2019-20
0021900055,1628436,203490,Porter Jr.,2,2020,2019-20
0021900055,203107,201152,Young,3,2020,2019-20
0021900055,1627739,1629632,White,3,2020,2019-20
0021900055,1628374,1627739,Dunn,2,2020,2019-20
0021900055,1629632,1628976,Carter Jr.,2,2020,2019-20
0021900055,1628436,1629632,White,3,2020,2019-20
0021900055,203107,203897,LaVine,2,2020,2019-20
0021900055,203107,203897,LaVine,3,2020,2019-20
0021900055,203490,203897,LaVine,3,2020,2019-20
0021900073,203897,1628976,Carter Jr.,2,2020,2019-20
0021900073,203897,1628976,Carter Jr.,2,2020,2019-20
0021900073,1628976,203897,LaVine,3,2020,2019-20
0021900073,203490,1628436,Kornet,2,2020,2019-20
0021900073,203897,1627739,Dunn,2,2020,2019-20
0021900073,201152,203897,LaVine,2,2020,2019-20
0021900073,1628436,203897,LaVine,2,2020,2019-20
0021900073,1628436,1629632,White,3,2020,2019-20
0021900073,1627739,1628374,Markkanen,3,2020,2019-20
0021900073,1627739,1628976,Carter Jr.,2,2020,2019-20
0021900073,1627853,1628374,Markkanen,3,2020,2019-20
0021900073,1627739,1629632,White,2,2020,2019-20
0021900073,1628374,1627853,Arcidiacono,3,2020,2019-20
0021900073,203107,203897,LaVine,2,2020,2019-20
0021900073,203107,203490,Porter Jr.,2,2020,2019-20
0021900073,203107,201152,Young,2,2020,2019-20
0021900073,203490,1628976,Carter Jr.,2,2020,2019-20
0021900073,203490,1628976,Carter Jr.,3,2020,2019-20
0021900073,1628374,203490,Porter Jr.,3,2020,2019-20
0021900073,203107,203490,Porter Jr.,3,2020,2019-20
0021900073,1628976,203107,Satoransky,3,2020,2019-20
0021900073,203490,203107,Satoransky,2,2020,2019-20
0021900073,203107,1628976,Carter Jr.,2,2020,2019-20
0021900073,1628374,1629632,White,2,2020,2019-20
0021900073,1627853,1628374,Markkanen,3,2020,2019-20
0021900073,1628374,1629632,White,2,2020,2019-20
0021900073,201152,1627853,Arcidiacono,3,2020,2019-20
0021900073,1627853,201152,Young,3,2020,2019-20
0021900073,203107,203897,LaVine,3,2020,2019-20
0021900085,203897,1628976,Carter Jr.,2,2020,2019-20
0021900085,203490,1628976,Carter Jr.,2,2020,2019-20
0021900085,203107,203897,LaVine,2,2020,2019-20
0021900085,203107,203897,LaVine,3,2020,2019-20
0021900085,203490,201152,Young,2,2020,2019-20
0021900085,1628436,201152,Young,2,2020,2019-20
0021900085,1627739,1628374,Markkanen,2,2020,2019-20
0021900085,1628976,203897,LaVine,3,2020,2019-20
0021900085,201152,203897,LaVine,3,2020,2019-20
0021900085,203490,1628436,Kornet,2,2020,2019-20
0021900085,203107,1628976,Carter Jr.,2,2020,2019-20
0021900085,203107,1628976,Carter Jr.,2,2020,2019-20
0021900085,203107,1628374,Markkanen,3,2020,2019-20
0021900085,1628976,203897,LaVine,3,2020,2019-20
0021900085,203107,1628374,Markkanen,2,2020,2019-20
0021900085,203107,1628976,Carter Jr.,2,2020,2019-20
0021900085,203107,203897,LaVine,2,2020,2019-20
0021900085,1627853,1628436,Kornet,3,2020,2019-20
0021900085,1629632,1627739,Dunn,2,2020,2019-20
0021900085,1627739,201152,Young,2,2020,2019-20
0021900085,1627739,201152,Young,2,2020,2019-20
0021900085,1627739,1628436,Kornet,2,2020,2019-20
0021900085,1627739,201152,Young,2,2020,2019-20
0021900085,1629632,1628976,Carter Jr.,2,2020,2019-20
0021900085,1627739,1627853,Arcidiacono,3,2020,2019-20
