SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22005,1610612741,CHI,Chicago Bulls,0020500012,2005-11-02,CHI vs. CHA,W,265,109,39,91,0.429,8,21,0.381,23,33,0.697,13,30,43,30,8,6,18,25,4.0
22005,1610612741,CHI,Chicago Bulls,0020500032,2005-11-05,CHI @ NJN,L,240,99,35,83,0.422,7,14,0.5,22,25,0.88,10,27,37,22,5,4,14,31,-1.0
22005,1610612741,CHI,Chicago Bulls,0020500050,2005-11-07,CHI vs. SAS,L,267,95,36,91,0.396,3,13,0.231,20,25,0.8,8,39,47,19,7,3,12,25,-9.0
22005,1610612741,CHI,Chicago Bulls,0020500065,2005-11-09,CHI vs. GSW,W,240,85,31,67,0.463,6,12,0.5,17,26,0.654,7,38,45,17,7,2,26,20,1.0
22005,1610612741,CHI,Chicago Bulls,0020500086,2005-11-12,CHI vs. UTA,W,240,103,37,68,0.544,10,19,0.526,19,26,0.731,6,27,33,21,5,6,16,25,5.0
22005,1610612741,CHI,Chicago Bulls,0020500097,2005-11-14,CHI @ GSW,L,240,82,32,95,0.337,8,29,0.276,10,19,0.526,19,27,46,24,6,2,18,29,-18.0
22005,1610612741,CHI,Chicago Bulls,0020500115,2005-11-16,CHI @ POR,L,240,93,36,92,0.391,6,20,0.3,15,15,1.0,22,23,45,20,5,1,12,27,-3.0
22005,1610612741,CHI,Chicago Bulls,0020500131,2005-11-18,CHI @ SEA,L,240,84,32,85,0.376,10,23,0.435,10,16,0.625,15,27,42,18,3,3,13,20,-14.0
22005,1610612741,CHI,Chicago Bulls,0020500145,2005-11-20,CHI @ LAL,W,240,96,38,89,0.427,7,14,0.5,13,18,0.722,13,35,48,25,4,5,15,23,3.0
22005,1610612741,CHI,Chicago Bulls,0020500176,2005-11-25,CHI @ SAS,W,240,106,43,88,0.489,8,18,0.444,12,16,0.75,12,37,49,25,4,4,13,27,7.0
22005,1610612741,CHI,Chicago Bulls,0020500186,2005-11-26,CHI @ HOU,W,240,94,35,73,0.479,5,13,0.385,19,30,0.633,5,32,37,21,5,6,10,22,5.0
22005,1610612741,CHI,Chicago Bulls,0020500201,2005-11-29,CHI vs. ORL,W,240,85,34,79,0.43,6,23,0.261,11,21,0.524,10,27,37,28,13,1,10,23,9.0
22005,1610612741,CHI,Chicago Bulls,0020500212,2005-11-30,CHI @ NYK,L,240,101,35,76,0.461,13,25,0.52,18,25,0.72,8,25,33,19,7,5,19,40,-8.0
22005,1610612741,CHI,Chicago Bulls,0020500221,2005-12-02,CHI @ BOS,W,240,106,35,85,0.412,9,22,0.409,27,34,0.794,16,31,47,25,9,5,18,29,4.0
22005,1610612741,CHI,Chicago Bulls,0020500232,2005-12-03,CHI vs. DET,L,240,79,30,77,0.39,4,14,0.286,15,26,0.577,10,32,42,16,10,4,14,20,-13.0
22005,1610612741,CHI,Chicago Bulls,0020500246,2005-12-05,CHI vs. DAL,L,239,94,34,74,0.459,9,23,0.391,17,23,0.739,8,22,30,18,9,4,15,22,-8.0
22005,1610612741,CHI,Chicago Bulls,0020500260,2005-12-07,CHI @ ORL,W,240,102,37,78,0.474,10,20,0.5,18,24,0.75,4,28,32,24,12,1,15,22,9.0
22005,1610612741,CHI,Chicago Bulls,0020500274,2005-12-09,CHI vs. LAL,L,240,80,31,80,0.388,2,15,0.133,16,20,0.8,8,29,37,18,7,5,10,16,-13.0
22005,1610612741,CHI,Chicago Bulls,0020500280,2005-12-10,CHI @ WAS,W,239,118,48,88,0.545,9,20,0.45,13,20,0.65,10,30,40,33,8,4,20,28,7.0
22005,1610612741,CHI,Chicago Bulls,0020500304,2005-12-13,CHI vs. MIA,L,240,97,33,77,0.429,7,22,0.318,24,36,0.667,12,34,46,26,4,4,13,22,-3.0
22005,1610612741,CHI,Chicago Bulls,0020500307,2005-12-14,CHI @ TOR,W,240,105,37,64,0.578,9,17,0.529,22,27,0.815,6,36,42,17,6,6,22,26,11.0
22005,1610612741,CHI,Chicago Bulls,0020500328,2005-12-16,CHI @ DET,L,240,82,35,81,0.432,5,10,0.5,7,12,0.583,13,26,39,20,5,0,15,22,-28.0
22005,1610612741,CHI,Chicago Bulls,0020500338,2005-12-17,CHI vs. BOS,W,240,118,43,72,0.597,14,17,0.824,18,26,0.692,8,32,40,34,9,8,21,18,32.0
22005,1610612741,CHI,Chicago Bulls,0020500357,2005-12-20,CHI vs. CHA,L,240,92,34,78,0.436,9,24,0.375,15,21,0.714,16,19,35,21,7,3,19,27,-13.0
22005,1610612741,CHI,Chicago Bulls,0020500369,2005-12-22,CHI vs. CLE,L,240,100,42,81,0.519,8,21,0.381,8,10,0.8,4,34,38,23,3,5,15,25,-8.0
22005,1610612741,CHI,Chicago Bulls,0020500378,2005-12-23,CHI @ MEM,L,240,77,26,73,0.356,3,14,0.214,22,28,0.786,12,30,42,13,8,1,15,25,-18.0
22005,1610612741,CHI,Chicago Bulls,0020500389,2005-12-26,CHI @ CLE,L,240,91,39,92,0.424,6,21,0.286,7,10,0.7,11,28,39,25,6,3,12,19,-11.0
22005,1610612741,CHI,Chicago Bulls,0020500408,2005-12-28,CHI @ CHA,L,239,80,35,76,0.461,4,13,0.308,6,16,0.375,11,27,38,21,6,11,24,32,-13.0
22005,1610612741,CHI,Chicago Bulls,0020500427,2005-12-31,CHI vs. PHX,L,265,98,41,95,0.432,8,23,0.348,8,11,0.727,13,36,49,23,6,3,18,22,-9.0
22005,1610612741,CHI,Chicago Bulls,0020500439,2006-01-02,CHI vs. MIL,L,240,92,38,77,0.494,4,11,0.364,12,17,0.706,8,33,41,23,4,8,19,28,-1.0
22005,1610612741,CHI,Chicago Bulls,0020500453,2006-01-04,CHI vs. SEA,L,240,97,33,81,0.407,9,25,0.36,22,32,0.688,12,30,42,21,8,3,14,26,-4.0
22005,1610612741,CHI,Chicago Bulls,0020500467,2006-01-06,CHI @ MIL,W,240,105,36,76,0.474,5,16,0.313,28,30,0.933,9,30,39,28,4,4,8,23,14.0
22005,1610612741,CHI,Chicago Bulls,0020500477,2006-01-07,CHI vs. MEM,W,240,111,41,66,0.621,11,15,0.733,18,22,0.818,6,27,33,28,7,3,20,24,29.0
22005,1610612741,CHI,Chicago Bulls,0020500489,2006-01-09,CHI vs. TOR,W,240,113,37,71,0.521,11,18,0.611,28,34,0.824,9,31,40,28,3,6,15,17,9.0
22005,1610612741,CHI,Chicago Bulls,0020500505,2006-01-11,CHI @ MIN,L,240,93,34,78,0.436,9,20,0.45,16,23,0.696,7,27,34,28,4,4,13,33,-6.0
22005,1610612741,CHI,Chicago Bulls,0020500524,2006-01-14,CHI vs. IND,L,240,89,35,88,0.398,3,15,0.2,16,21,0.762,15,33,48,19,8,3,14,27,-2.0
22005,1610612741,CHI,Chicago Bulls,0020500540,2006-01-16,CHI vs. DEN,L,240,94,37,82,0.451,10,22,0.455,10,12,0.833,9,37,46,28,7,5,15,31,-3.0
22005,1610612741,CHI,Chicago Bulls,0020500556,2006-01-18,CHI vs. NYK,W,265,106,41,85,0.482,7,20,0.35,17,27,0.63,11,28,39,23,10,9,18,24,2.0
22005,1610612741,CHI,Chicago Bulls,0020500571,2006-01-20,CHI vs. HOU,L,290,108,41,101,0.406,6,21,0.286,20,22,0.909,10,35,45,33,8,2,8,21,-1.0
