hex_center_x,hex_center_y,exact_bulls_fga,displayed,low_volume_gray,nearby_bulls_fga,nearby_bulls_fg_pct,nearby_nba_fga,nearby_nba_fg_pct,bulls_vs_nba_fg_pct_points,color_rated,color_band,size_cap_fga,radius_fraction
-250.0000,-50.0000,0,False,False,117,29.9145,1805,38.8920,-8.9774,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-250.0000,-15.0000,16,True,False,335,36.1194,8066,39.0032,-2.8838,True,below,127.0250,0.3549
-250.0000,20.0000,14,True,False,411,35.5231,10593,38.9314,-3.4083,True,below,127.0250,0.3320
-250.0000,55.0000,3,True,False,187,33.6898,6233,38.3603,-4.6705,True,below,127.0250,0.2500
-250.0000,90.0000,1,False,False,96,34.3750,3298,36.8102,-2.4352,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-250.0000,125.0000,0,False,False,100,31.0000,3094,36.5223,-5.5223,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-250.0000,160.0000,0,False,False,50,28.0000,2008,37.0518,-9.0518,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-250.0000,195.0000,0,False,False,8,37.5000,329,29.7872,7.7128,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-250.0000,230.0000,0,False,False,1,0.0000,71,25.3521,-25.3521,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-250.0000,265.0000,0,False,False,0,,11,9.0909,,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-250.0000,300.0000,0,False,False,0,,2,0.0000,,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-222.2222,-50.0000,1,False,False,147,31.2925,2355,39.3206,-8.0281,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-222.2222,-15.0000,111,True,False,350,36.2857,8677,39.1495,-2.8638,True,below,127.0250,0.9348
-222.2222,20.0000,59,True,False,431,34.5708,11294,38.8348,-4.2640,True,below,127.0250,0.6815
-222.2222,55.0000,25,True,False,214,36.4486,7123,38.5231,-2.0745,True,approximately average,127.0250,0.4436
-222.2222,90.0000,13,True,False,141,33.3333,4379,36.5609,-3.2275,True,below,127.0250,0.3199
-222.2222,125.0000,36,True,False,155,31.6129,5133,37.0349,-5.4220,True,below,127.0250,0.5324
-222.2222,160.0000,5,True,False,180,34.4444,6441,36.4229,-1.9785,True,approximately average,127.0250,0.2500
-222.2222,195.0000,1,False,False,102,36.2745,4614,35.8257,0.4488,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-222.2222,230.0000,1,False,False,15,33.3333,839,31.5852,1.7481,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-222.2222,265.0000,0,False,False,3,0.0000,138,21.0145,-21.0145,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-222.2222,300.0000,0,False,False,0,,19,5.2632,,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-194.4444,-50.0000,0,False,False,20,25.0000,476,39.0756,-14.0756,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-194.4444,-15.0000,0,False,False,261,35.2490,5569,38.8759,-3.6269,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-194.4444,20.0000,2,False,False,249,37.7510,7890,39.0368,-1.2858,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-194.4444,55.0000,0,False,False,115,31.3043,3841,38.5577,-7.2533,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-194.4444,90.0000,3,True,False,95,37.8947,2921,37.3845,0.5103,True,approximately average,127.0250,0.2500
-194.4444,125.0000,6,True,False,162,31.4815,5455,37.5985,-6.1171,True,below,127.0250,0.2500
-194.4444,160.0000,34,True,False,275,32.7273,8903,36.2237,-3.4965,True,below,127.0250,0.5174
-194.4444,195.0000,10,True,False,340,37.3529,10421,35.5244,1.8285,True,approximately average,127.0250,0.2806
-194.4444,230.0000,3,True,False,151,42.3841,5120,33.8086,8.5755,True,well above,127.0250,0.2500
-194.4444,265.0000,1,False,False,17,23.5294,749,31.1081,-7.5787,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-194.4444,300.0000,0,False,False,4,0.0000,89,23.5955,-23.5955,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-166.6667,-50.0000,0,False,False,1,100.0000,87,44.8276,55.1724,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-166.6667,-15.0000,1,False,False,14,50.0000,862,42.9234,7.0766,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-166.6667,20.0000,1,False,False,25,44.0000,1513,40.7799,3.2201,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-166.6667,55.0000,1,False,False,18,38.8889,1217,38.9482,-0.0593,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-166.6667,90.0000,1,False,False,21,52.3810,991,37.3360,15.0449,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-166.6667,125.0000,1,False,False,63,36.5079,2129,36.7778,-0.2699,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-166.6667,160.0000,4,True,False,290,35.5172,8654,36.4687,-0.9514,True,approximately average,127.0250,0.2500
-166.6667,195.0000,111,True,False,469,37.3134,12853,35.3458,1.9676,True,approximately average,127.0250,0.9348
-166.6667,230.0000,16,True,False,455,36.4835,11473,34.8122,1.6713,True,approximately average,127.0250,0.3549
-166.6667,265.0000,2,False,False,95,29.4737,2641,31.9955,-2.5218,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-166.6667,300.0000,1,False,False,7,0.0000,271,29.8893,-29.8893,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-138.8889,-50.0000,0,False,False,2,100.0000,154,38.9610,61.0390,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-138.8889,-15.0000,1,False,False,23,47.8261,1354,42.7622,5.0639,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-138.8889,20.0000,1,False,False,39,41.0256,2434,42.3993,-1.3737,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-138.8889,55.0000,3,True,False,29,41.3793,2173,40.5890,0.7903,True,approximately average,127.0250,0.2500
-138.8889,90.0000,1,False,False,31,35.4839,1852,37.3650,-1.8811,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-138.8889,125.0000,2,False,False,29,27.5862,1811,38.1005,-10.5143,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-138.8889,160.0000,2,False,False,134,35.8209,4115,37.2539,-1.4331,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-138.8889,195.0000,18,True,False,495,36.1616,12181,35.2024,0.9593,True,approximately average,127.0250,0.3764
-138.8889,230.0000,77,True,False,537,37.8026,13277,35.0079,2.7947,True,above,127.0250,0.7786
-138.8889,265.0000,4,True,False,230,33.0435,6316,33.5814,-0.5379,True,approximately average,127.0250,0.2500
-138.8889,300.0000,0,False,False,17,23.5294,605,28.7603,-5.2309,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-111.1111,-50.0000,0,False,False,2,0.0000,166,39.7590,-39.7590,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-111.1111,-15.0000,2,False,False,24,45.8333,1658,43.2449,2.5885,False,gray: insufficient exact-cell or nearby volume,127.0250,0.0000
-111.1111,20.0000,6,True,False,56,42.8571,3355,42.3845,0.4726,True,approximately average,127.0250,0.2500
-111.1111,55.0000,4,True,False,56,39.2857,3469,41.2799,-1.9942,True,approximately average,127.0250,0.2500
-111.1111,90.0000,3,True,False,46,32.6087,3000,38.9333,-6.3246,True,below,127.0250,0.2500
