subject,scope,fga,efg_pct,three_pt_pct
Chicago Bulls,Chicago attempts,7417,54.7,35.6
Matas Buzelis,"Full season, all teams",963,55.3,34.9
Norman Powell,"Full season, all teams",895,55.8,38.0
Josh Giddey,"Full season, all teams",717,52.0,36.4
Tre Jones,"Full season, all teams",617,58.6,31.5
Nic Claxton,"Full season, all teams",583,57.4,15.8
Patrick Williams,"Full season, all teams",478,47.2,34.7
Isaac Okoro,"Full season, all teams",459,53.9,33.0
Rob Dillingham,"Full season, all teams",412,44.7,31.6
Jalen Smith,"Full season, all teams",404,58.4,37.3
Leonard Miller,"Full season, all teams",262,61.5,32.3
