nba_id,official_roster_name,season_fga,season_fgm,season_fg_pct,season_efg_pct,season_3pm,season_3pa,season_3pt_pct,mapped_fga,displayed_fga,displayed_fga_pct,displayed_cells,rated_cells,gray_cells,minimum_fga,qualified,shared_player_size_cap_fga
1641824,Matas Buzelis,963,446,46.3136,55.2960,173,495,34.9495,963,875,90.8619,71,70,1,250,True,51.8500
1626181,Norman Powell,895,421,47.0391,55.7542,156,410,38.0488,893,753,84.1341,94,89,5,250,True,51.8500
1630581,Josh Giddey,717,321,44.7699,51.9526,103,283,36.3958,714,618,86.1925,73,66,7,250,True,51.8500
1630200,Tre Jones,617,341,55.2674,58.5900,41,130,31.5385,617,539,87.3582,49,42,7,250,True,51.8500
1629651,Nic Claxton,583,333,57.1184,57.3756,3,19,15.7895,583,530,90.9091,33,32,1,250,True,51.8500
1630172,Patrick Williams,478,178,37.2385,47.1757,95,274,34.6715,478,391,81.7992,64,53,11,250,True,51.8500
1630171,Isaac Okoro,459,211,45.9695,53.9216,73,221,33.0317,458,397,86.4924,37,28,9,250,True,51.8500
1642265,Rob Dillingham,412,163,39.5631,44.6602,42,133,31.5789,412,287,69.6602,44,28,16,250,True,51.8500
1630188,Jalen Smith,404,195,48.2673,58.4158,82,220,37.2727,403,339,83.9109,42,39,3,250,True,51.8500
1631159,Leonard Miller,262,145,55.3435,61.4504,32,99,32.3232,262,192,73.2824,20,10,10,250,True,51.8500
1628380,Zach Collins,64,37,57.8125,64.8438,9,21,42.8571,64,26,40.6250,3,3,0,250,False,51.8500
1642855,Noa Essengue,3,0,0.0000,0.0000,0,2,0.0000,3,0,0.0000,0,0,0,250,False,51.8500
1643410,Caleb Wilson,0,0,,,0,0,,0,0,0.0000,0,0,0,250,False,51.8500
1643517,Dailyn Swain,0,0,,,0,0,,0,0,0.0000,0,0,0,250,False,51.8500
1643637,Jaylin Sellers,0,0,,,0,0,,0,0,0.0000,0,0,0,250,False,51.8500
1643591,Tobe Awaka,0,0,,,0,0,,0,0,0.0000,0,0,0,250,False,51.8500
