loc_x,loc_y,shot_distance,shot_made,shot_type
-17,6,1,False,2PT
-228,-15,22,True,3PT
-238,-10,23,False,3PT
227,34,22,False,3PT
2,22,2,False,2PT
1,17,1,True,2PT
5,17,1,True,2PT
4,13,1,True,2PT
234,7,23,False,3PT
146,208,25,False,3PT
-10,9,1,True,2PT
7,15,1,False,2PT
7,9,1,True,2PT
-10,5,1,False,2PT
31,36,4,True,2PT
-16,15,2,False,2PT
-168,200,26,True,3PT
-100,5,10,False,2PT
5,16,1,False,2PT
227,19,22,False,3PT
-229,-6,22,False,3PT
-31,22,3,False,2PT
-26,6,2,False,2PT
-7,15,1,False,2PT
-145,218,26,False,3PT
5,6,0,False,2PT
0,13,1,True,2PT
-179,182,25,False,3PT
-157,204,25,False,3PT
-75,254,26,True,3PT
9,4,0,True,2PT
2,10,1,True,2PT
239,15,23,False,3PT
-5,10,1,True,2PT
-229,4,22,False,3PT
228,11,22,False,3PT
10,3,1,True,2PT
23,16,2,False,2PT
239,-10,23,True,3PT
2,7,0,True,2PT
-232,2,23,False,3PT
0,0,0,False,2PT
-237,18,23,True,3PT
-12,11,1,True,2PT
-20,42,4,True,2PT
-13,13,1,False,2PT
232,100,25,False,3PT
-238,13,23,False,3PT
12,5,1,True,2PT
28,19,3,False,2PT
13,10,1,True,2PT
10,16,1,False,2PT
234,21,23,True,3PT
-225,-18,22,True,3PT
0,13,1,True,2PT
-227,111,25,False,3PT
228,58,23,True,3PT
-9,13,1,True,2PT
-228,-16,22,False,3PT
234,13,23,False,3PT
232,-10,23,True,3PT
7,16,1,False,2PT
235,88,25,True,3PT
-235,31,23,True,3PT
210,139,25,True,3PT
-4,19,1,True,2PT
-2,8,0,True,2PT
-211,126,24,False,3PT
-233,-32,23,False,3PT
244,10,24,False,3PT
11,34,3,False,2PT
134,226,26,False,3PT
21,5,2,False,2PT
15,22,2,False,2PT
7,31,3,False,2PT
7,4,0,True,2PT
0,0,0,True,2PT
98,242,26,True,3PT
-10,27,2,True,2PT
-224,29,22,True,3PT
-7,49,4,False,2PT
0,0,0,False,2PT
-233,13,23,False,3PT
228,68,23,True,3PT
-235,-10,23,False,3PT
-45,35,5,False,2PT
22,20,2,True,2PT
33,12,3,True,2PT
243,16,24,False,3PT
225,40,22,False,3PT
-232,16,23,False,3PT
-234,17,23,False,3PT
227,27,22,True,3PT
-227,16,22,True,3PT
227,100,24,False,3PT
9,8,1,True,2PT
-229,16,22,True,3PT
13,25,2,True,2PT
-13,15,1,True,2PT
-15,6,1,True,2PT
0,0,0,True,2PT
-21,41,4,False,2PT
7,8,1,True,2PT
-5,3,0,True,2PT
-2,-2,0,True,2PT
-143,228,26,True,3PT
4,16,1,False,2PT
7,30,3,False,2PT
-2,18,1,True,2PT
-138,221,26,True,3PT
232,63,24,True,3PT
-11,20,2,True,2PT
-234,76,24,False,3PT
-5,-2,0,True,2PT
-4,-10,1,True,2PT
-11,53,5,False,2PT
227,4,22,True,3PT
-10,8,1,True,2PT
227,-4,22,False,3PT
229,63,23,False,3PT
4,9,0,False,2PT
39,10,4,False,2PT
0,14,1,True,2PT
-10,7,1,False,2PT
235,100,25,True,3PT
241,-19,24,True,3PT
12,10,1,True,2PT
12,14,1,False,2PT
0,0,0,False,2PT
36,31,4,False,2PT
9,8,1,True,2PT
-13,6,1,False,2PT
240,118,26,True,3PT
11,-1,1,True,2PT
-179,181,25,False,3PT
-233,-1,23,False,3PT
-13,15,1,False,2PT
-244,13,24,False,3PT
-6,11,1,True,2PT
9,11,1,True,2PT
6,9,1,True,2PT
233,41,23,True,3PT
17,15,2,True,2PT
132,229,26,False,3PT
227,14,22,True,3PT
-225,83,23,False,3PT
-1,4,0,True,2PT
-12,11,1,True,2PT
-4,11,1,True,2PT
-25,-6,2,False,2PT
4,13,1,True,2PT
232,8,23,False,3PT
11,10,1,True,2PT
-18,13,2,False,2PT
225,-10,22,False,3PT
-10,12,1,True,2PT
15,8,1,True,2PT
-136,216,25,False,3PT
-233,13,23,False,3PT
-238,37,24,False,3PT
-205,143,24,False,3PT
-153,217,26,False,3PT
230,38,23,False,3PT
183,159,24,False,3PT
-214,134,25,False,3PT
107,227,25,True,3PT
135,210,24,False,3PT
-227,43,23,False,3PT
-32,-1,3,True,2PT
-239,37,24,False,3PT
245,40,24,False,3PT
55,6,5,False,2PT
-1,10,1,True,2PT
225,24,22,True,3PT
-227,31,22,True,3PT
-141,232,27,False,3PT
-29,41,5,False,2PT
-5,4,0,False,2PT
0,0,0,False,2PT
179,180,25,True,3PT
-234,-12,23,False,3PT
-12,35,3,False,2PT
232,1,23,True,3PT
4,8,0,True,2PT
-228,-20,22,True,3PT
1,11,1,True,2PT
-123,225,25,False,3PT
234,-11,23,False,3PT
203,162,25,True,3PT
-222,34,22,False,3PT
9,26,2,False,2PT
0,0,0,False,2PT
0,0,0,True,2PT
125,213,24,False,3PT
-45,26,5,False,2PT
228,8,22,True,3PT
-40,30,5,False,2PT
-48,252,25,False,3PT
7,4,0,True,2PT
-31,16,3,True,2PT
-2,7,0,True,2PT
26,-1,2,False,2PT
228,-15,22,False,3PT
-222,-7,22,True,3PT
47,51,6,False,2PT
10,8,1,True,2PT
-65,242,25,False,3PT
9,22,2,True,2PT
228,104,25,False,3PT
-6,8,1,True,2PT
0,20,2,False,2PT
12,6,1,True,2PT
-230,43,23,False,3PT
5,-1,0,True,2PT
-212,134,25,False,3PT
16,5,1,True,2PT
-227,-4,22,False,3PT
1,50,5,False,2PT
-11,6,1,True,2PT
7,24,2,False,2PT
-176,169,24,False,3PT
-227,3,22,True,3PT
-26,246,24,False,3PT
-222,-2,22,True,3PT
4,10,1,True,2PT
-7,47,4,False,2PT
234,53,23,False,3PT
-148,190,24,False,3PT
232,66,24,True,3PT
-170,197,26,False,3PT
17,10,1,True,2PT
-5,39,3,True,2PT
4,8,0,True,2PT
-150,209,25,True,3PT
233,-17,23,False,3PT
13,8,1,True,2PT
18,36,4,False,2PT
-9,7,1,True,2PT
188,163,24,True,3PT
178,180,25,False,3PT
34,-1,3,False,2PT
135,227,26,False,3PT
22,-14,2,True,2PT
13,3,1,False,2PT
-234,-47,23,False,3PT
239,-1,23,True,3PT
-32,0,3,True,2PT
-1,30,3,True,2PT
18,10,2,True,2PT
27,67,7,False,2PT
-31,88,9,False,2PT
-21,-2,2,False,2PT
-16,7,1,True,2PT
-138,221,26,True,3PT
13,59,6,True,2PT
189,160,24,True,3PT
10,18,2,False,2PT
20,6,2,False,2PT
-194,169,25,False,3PT
-7,3,0,False,2PT
241,-5,24,False,3PT
18,-2,1,True,2PT
23,5,2,True,2PT
1,52,5,True,2PT
228,-15,22,False,3PT
232,138,26,False,3PT
