loc_x,loc_y,shot_distance,shot_made,shot_type
-33,41,5,True,2PT
-37,18,4,True,2PT
12,18,2,True,2PT
61,52,8,False,2PT
0,0,0,True,2PT
17,-13,2,True,2PT
15,-5,1,True,2PT
40,25,4,False,2PT
-12,26,2,False,2PT
10,12,1,True,2PT
5,12,1,True,2PT
11,11,1,True,2PT
-1,95,9,True,2PT
-104,246,26,False,3PT
103,241,26,False,3PT
-26,13,2,False,2PT
-23,8,2,True,2PT
17,22,2,True,2PT
-100,24,10,False,2PT
9,19,2,False,2PT
-44,3,4,False,2PT
10,13,1,True,2PT
11,55,5,True,2PT
-62,14,6,True,2PT
31,46,5,True,2PT
-11,62,6,False,2PT
55,36,6,True,2PT
-36,24,4,False,2PT
-86,80,11,False,2PT
-10,-4,1,True,2PT
-59,60,8,True,2PT
-55,54,7,False,2PT
-38,26,4,False,2PT
56,274,27,False,3PT
10,47,4,True,2PT
-7,2,0,True,2PT
18,8,1,True,2PT
-16,13,2,True,2PT
-31,36,4,False,2PT
-241,42,24,False,3PT
-48,55,7,False,2PT
-32,42,5,False,2PT
-29,69,7,False,2PT
80,75,10,False,2PT
16,5,1,True,2PT
-29,93,9,False,2PT
2,14,1,True,2PT
-49,29,5,False,2PT
-5,9,1,True,2PT
-10,15,1,True,2PT
0,0,0,True,2PT
6,27,2,True,2PT
0,0,0,True,2PT
-87,44,9,True,2PT
9,264,26,False,3PT
-7,-4,0,True,2PT
-39,31,4,False,2PT
-20,9,2,False,2PT
-15,11,1,False,2PT
76,237,24,False,3PT
0,0,0,False,2PT
-36,5,3,False,2PT
22,37,4,False,2PT
-34,120,12,False,2PT
0,0,0,True,2PT
-4,15,1,True,2PT
-27,7,2,False,2PT
0,0,0,True,2PT
-4,21,2,True,2PT
10,8,1,True,2PT
-23,8,2,False,2PT
99,-7,9,True,2PT
0,0,0,True,2PT
-112,220,24,False,3PT
0,0,0,True,2PT
47,96,10,False,2PT
12,13,1,True,2PT
-23,38,4,True,2PT
0,0,0,False,2PT
-36,3,3,True,2PT
-17,13,2,False,2PT
6,12,1,True,2PT
12,16,2,True,2PT
15,17,2,True,2PT
4,15,1,False,2PT
27,16,3,True,2PT
-25,20,3,False,2PT
0,0,0,True,2PT
-20,17,2,True,2PT
-51,115,12,False,2PT
-58,30,6,True,2PT
-49,47,6,True,2PT
9,-4,0,False,2PT
-6,26,2,False,2PT
0,0,0,False,2PT
-29,18,3,True,2PT
17,50,5,True,2PT
-159,202,25,False,3PT
32,23,3,True,2PT
-26,47,5,False,2PT
1,36,3,True,2PT
-38,6,3,True,2PT
-4,51,5,False,2PT
29,29,4,True,2PT
23,45,5,True,2PT
157,96,18,True,2PT
-10,4,1,True,2PT
5,48,4,True,2PT
9,-1,0,True,2PT
-109,153,18,True,2PT
0,0,0,True,2PT
0,0,0,True,2PT
-4,108,10,False,2PT
-18,42,4,True,2PT
-27,30,4,True,2PT
7,27,2,True,2PT
-31,22,3,True,2PT
-78,21,8,False,2PT
-94,42,10,False,2PT
-1,80,8,False,2PT
-5,18,1,True,2PT
0,0,0,True,2PT
-2,8,0,True,2PT
-58,17,6,True,2PT
87,116,14,False,2PT
0,5,0,True,2PT
-20,4,2,True,2PT
0,4,0,True,2PT
16,10,1,False,2PT
-55,5,5,False,2PT
1,3,0,False,2PT
0,0,0,True,2PT
-39,21,4,True,2PT
-2,36,3,False,2PT
-31,40,5,True,2PT
39,57,6,False,2PT
0,0,0,True,2PT
23,7,2,False,2PT
-7,7,0,True,2PT
-5,11,1,True,2PT
-10,22,2,True,2PT
-64,10,6,True,2PT
-1,10,1,True,2PT
33,41,5,False,2PT
-33,18,3,False,2PT
-64,71,9,True,2PT
7,26,2,False,2PT
-1,15,1,False,2PT
29,17,3,False,2PT
9,11,1,True,2PT
-32,8,3,False,2PT
-50,21,5,False,2PT
7,5,0,False,2PT
10,5,1,False,2PT
16,45,4,False,2PT
-127,30,13,False,2PT
-42,40,5,True,2PT
-9,8,1,True,2PT
6,7,0,True,2PT
0,10,1,True,2PT
0,60,6,False,2PT
26,12,2,False,2PT
-1,38,3,False,2PT
2,209,20,True,2PT
51,17,5,False,2PT
9,10,1,True,2PT
-61,-4,6,False,2PT
21,9,2,False,2PT
-18,31,3,False,2PT
1,23,2,False,2PT
-54,20,5,True,2PT
4,15,1,True,2PT
-124,30,12,True,2PT
-28,59,6,False,2PT
23,-2,2,True,2PT
0,0,0,False,2PT
0,0,0,True,2PT
29,6,2,True,2PT
-205,164,26,True,3PT
-50,26,5,False,2PT
56,265,27,False,3PT
25,7,2,True,2PT
-11,13,1,False,2PT
27,28,3,False,2PT
-15,16,2,True,2PT
0,25,2,True,2PT
-5,31,3,True,2PT
-38,67,7,False,2PT
-7,3,0,True,2PT
-15,17,2,True,2PT
2,-6,0,True,2PT
-44,15,4,False,2PT
-2,6,0,True,2PT
-45,26,5,False,2PT
-13,5,1,True,2PT
1,31,3,True,2PT
0,0,0,True,2PT
-83,241,25,False,3PT
5,88,8,False,2PT
0,0,0,True,2PT
121,27,12,False,2PT
0,0,0,False,2PT
20,12,2,True,2PT
11,11,1,True,2PT
33,36,4,False,2PT
12,9,1,False,2PT
2,6,0,True,2PT
-6,15,1,False,2PT
0,0,0,False,2PT
10,17,1,True,2PT
10,10,1,True,2PT
2,13,1,True,2PT
0,10,1,True,2PT
0,8,0,True,2PT
0,0,0,True,2PT
-20,5,2,True,2PT
-4,43,4,False,2PT
9,1,0,True,2PT
-9,9,1,True,2PT
7,5,0,True,2PT
-7,-1,0,True,2PT
-39,21,4,True,2PT
-36,15,3,False,2PT
-1,4,0,True,2PT
31,15,3,True,2PT
-53,106,11,False,2PT
7,68,6,False,2PT
4,16,1,True,2PT
-59,22,6,True,2PT
-4,10,1,True,2PT
-6,4,0,True,2PT
5,-4,0,True,2PT
-5,12,1,True,2PT
0,1,0,True,2PT
0,0,0,False,2PT
6,13,1,True,2PT
9,8,1,True,2PT
4,23,2,False,2PT
-5,10,1,True,2PT
-23,23,3,True,2PT
-1,31,3,True,2PT
6,26,2,True,2PT
0,50,5,True,2PT
-21,15,2,False,2PT
39,68,7,False,2PT
9,92,9,True,2PT
-6,-1,0,True,2PT
-34,11,3,True,2PT
-7,9,1,True,2PT
-32,0,3,False,2PT
82,71,10,True,2PT
10,34,3,True,2PT
-49,8,4,False,2PT
0,0,0,True,2PT
0,0,0,True,2PT
39,101,10,False,2PT
-11,0,1,True,2PT
9,20,2,False,2PT
-10,0,1,True,2PT
-38,22,4,False,2PT
23,13,2,True,2PT
34,10,3,True,2PT
10,26,2,False,2PT
16,16,2,True,2PT
5,13,1,False,2PT
-42,13,4,True,2PT
0,0,0,True,2PT
-16,0,1,False,2PT
-6,13,1,True,2PT
-7,21,2,False,2PT
40,48,6,True,2PT
4,9,0,False,2PT
0,0,0,True,2PT
2,63,6,True,2PT
-33,20,3,False,2PT
-6,16,1,False,2PT
-17,37,4,True,2PT
-16,253,25,True,3PT
12,12,1,False,2PT
-16,59,6,True,2PT
-25,20,3,True,2PT
21,37,4,False,2PT
-6,0,0,True,2PT
-11,9,1,False,2PT
-13,42,4,False,2PT
-28,11,3,True,2PT
10,77,7,False,2PT
-1,4,0,True,2PT
-77,6,7,False,2PT
-58,31,6,False,2PT
-6,4,0,True,2PT
36,1,3,True,2PT
0,10,1,True,2PT
1,6,0,True,2PT
1,-10,1,True,2PT
-22,13,2,False,2PT
-18,-1,1,False,2PT
2,0,0,True,2PT
-15,6,1,True,2PT
-64,135,14,False,2PT
-18,47,5,True,2PT
-5,16,1,False,2PT
-20,8,2,False,2PT
-7,2,0,True,2PT
-2,1,0,False,2PT
1,22,2,True,2PT
56,42,7,True,2PT
21,24,3,False,2PT
17,54,5,True,2PT
-32,46,5,False,2PT
39,85,9,False,2PT
4,7,0,True,2PT
-1,12,1,True,2PT
-4,6,0,True,2PT
49,-1,4,True,2PT
4,6,0,True,2PT
-88,46,9,True,2PT
134,133,18,True,2PT
2,13,1,False,2PT
-1,-6,0,True,2PT
6,50,5,True,2PT
-2,55,5,False,2PT
1,174,17,True,2PT
9,51,5,True,2PT
-10,17,1,True,2PT
-36,19,4,False,2PT
9,8,1,True,2PT
-34,31,4,False,2PT
-9,104,10,False,2PT
-102,184,21,False,2PT
-25,36,4,False,2PT
0,0,0,True,2PT
12,-5,1,True,2PT
11,62,6,False,2PT
37,17,4,True,2PT
-17,26,3,True,2PT
16,51,5,True,2PT
-7,14,1,False,2PT
-28,13,3,False,2PT
0,0,0,True,2PT
0,0,0,True,2PT
1,-4,0,True,2PT
36,6,3,False,2PT
43,73,8,False,2PT
-22,138,13,False,2PT
-31,43,5,True,2PT
-34,42,5,True,2PT
12,122,12,True,2PT
6,42,4,False,2PT
47,52,7,False,2PT
0,0,0,False,2PT
-17,-2,1,False,2PT
-39,55,6,False,2PT
6,34,3,True,2PT
22,25,3,True,2PT
-12,29,3,True,2PT
-15,3,1,True,2PT
-12,16,2,True,2PT
0,0,0,False,2PT
-99,55,11,False,2PT
-18,194,19,False,2PT
-10,10,1,True,2PT
0,27,2,False,2PT
33,16,3,True,2PT
-36,16,3,False,2PT
-15,24,2,True,2PT
-29,35,4,False,2PT
-44,29,5,False,2PT
23,20,3,True,2PT
-25,21,3,False,2PT
0,0,0,False,2PT
12,40,4,True,2PT
-4,41,4,True,2PT
-36,21,4,True,2PT
-55,19,5,True,2PT
-53,11,5,True,2PT
-74,57,9,False,2PT
-45,15,4,False,2PT
2,75,7,False,2PT
-34,16,3,True,2PT
-29,54,6,True,2PT
33,56,6,True,2PT
10,3,1,False,2PT
0,0,0,True,2PT
0,0,0,True,2PT
-33,12,3,True,2PT
-114,232,25,False,3PT
-82,50,9,True,2PT
-39,17,4,True,2PT
-21,18,2,True,2PT
-6,8,1,True,2PT
0,0,0,False,2PT
2,-4,0,True,2PT
-4,16,1,True,2PT
34,1,3,False,2PT
0,0,0,True,2PT
6,8,1,True,2PT
-6,11,1,True,2PT
-80,21,8,False,2PT
-78,17,7,True,2PT
0,0,0,True,2PT
-20,9,2,True,2PT
25,51,5,True,2PT
-2,0,0,True,2PT
7,5,0,True,2PT
-9,0,0,False,2PT
0,0,0,True,2PT
-6,-5,0,True,2PT
-20,253,25,True,3PT
-2,60,6,False,2PT
5,10,1,True,2PT
-55,20,5,False,2PT
0,0,0,True,2PT
-1,8,0,True,2PT
-4,-2,0,True,2PT
-23,5,2,True,2PT
-1,56,5,True,2PT
4,0,0,True,2PT
11,103,10,False,2PT
-1,4,0,False,2PT
0,17,1,False,2PT
-5,15,1,True,2PT
20,21,2,False,2PT
-99,32,10,True,2PT
83,252,26,False,3PT
-20,1,2,True,2PT
-33,43,5,False,2PT
-2,-4,0,True,2PT
11,-4,1,True,2PT
-9,27,2,False,2PT
15,7,1,True,2PT
-48,43,6,True,2PT
-7,15,1,True,2PT
-4,0,0,True,2PT
62,162,17,False,2PT
0,0,0,True,2PT
-70,247,25,False,3PT
-10,75,7,True,2PT
0,0,0,True,2PT
47,16,4,False,2PT
33,13,3,True,2PT
9,3,0,True,2PT
1,84,8,False,2PT
45,42,6,True,2PT
55,58,7,True,2PT
0,8,0,True,2PT
56,40,6,False,2PT
0,0,0,False,2PT
56,32,6,True,2PT
40,20,4,True,2PT
-45,38,5,False,2PT
58,58,8,False,2PT
22,8,2,False,2PT
-64,33,7,False,2PT
-2,0,0,True,2PT
0,0,0,False,2PT
49,115,12,False,2PT
-4,46,4,True,2PT
2,56,5,False,2PT
-28,37,4,False,2PT
1,12,1,True,2PT
-4,113,11,False,2PT
-7,-1,0,True,2PT
-36,32,4,False,2PT
72,136,15,False,2PT
-4,16,1,True,2PT
-21,57,6,False,2PT
-9,6,1,True,2PT
20,30,3,True,2PT
0,0,0,False,2PT
0,0,0,False,2PT
2,103,10,True,2PT
-37,14,3,False,2PT
0,0,0,False,2PT
-34,1,3,True,2PT
-7,32,3,False,2PT
-66,73,9,False,2PT
22,6,2,False,2PT
36,67,7,False,2PT
1,7,0,True,2PT
5,7,0,True,2PT
5,11,1,False,2PT
-9,11,1,True,2PT
-6,52,5,False,2PT
-37,58,6,False,2PT
11,10,1,False,2PT
-9,-11,1,True,2PT
4,0,0,False,2PT
31,15,3,True,2PT
0,0,0,True,2PT
0,113,11,False,2PT
11,12,1,True,2PT
-51,39,6,False,2PT
29,113,11,True,2PT
-12,0,1,True,2PT
-12,12,1,False,2PT
81,238,25,False,3PT
13,2,1,True,2PT
0,0,0,False,2PT
-59,11,6,False,2PT
0,0,0,True,2PT
0,0,0,True,2PT
7,1,0,False,2PT
-21,48,5,False,2PT
21,35,4,False,2PT
0,0,0,True,2PT
-53,20,5,False,2PT
4,-6,0,True,2PT
10,29,3,False,2PT
13,-1,1,True,2PT
-40,64,7,False,2PT
-6,55,5,False,2PT
2,98,9,True,2PT
-21,10,2,False,2PT
0,0,0,True,2PT
-6,5,0,True,2PT
5,6,0,True,2PT
7,151,15,False,2PT
-11,10,1,True,2PT
-72,182,19,True,2PT
-51,32,6,False,2PT
-29,9,3,False,2PT
0,0,0,False,2PT
7,11,1,True,2PT
-7,54,5,False,2PT
16,104,10,False,2PT
28,109,11,False,2PT
1,4,0,True,2PT
-6,8,1,True,2PT
-9,8,1,True,2PT
4,88,8,False,2PT
16,7,1,False,2PT
6,25,2,True,2PT
-11,31,3,True,2PT
-2,68,6,False,2PT
-11,36,3,True,2PT
4,18,1,True,2PT
0,0,0,True,2PT
0,0,0,True,2PT
-23,26,3,False,2PT
-22,4,2,True,2PT
7,37,3,True,2PT
13,17,2,True,2PT
-25,17,3,True,2PT
-20,16,2,True,2PT
23,10,2,False,2PT
-32,258,25,False,3PT
-39,29,4,False,2PT
10,31,3,True,2PT
54,27,6,False,2PT
5,25,2,False,2PT
-33,25,4,False,2PT
-23,111,11,True,2PT
-25,59,6,True,2PT
42,15,4,True,2PT
-81,60,10,False,2PT
-37,44,5,True,2PT
1,8,0,True,2PT
-1,-3,0,False,2PT
-9,4,0,True,2PT
4,27,2,True,2PT
78,231,24,False,3PT
-4,16,1,True,2PT
-21,32,3,True,2PT
-45,108,11,True,2PT
51,35,6,False,2PT
9,9,1,True,2PT
-12,29,3,True,2PT
-12,48,4,False,2PT
-17,84,8,False,2PT
34,43,5,False,2PT
-7,39,3,True,2PT
47,162,16,False,2PT
29,68,7,False,2PT
2,42,4,False,2PT
0,0,0,True,2PT
1,8,0,True,2PT
18,12,2,False,2PT
-37,81,8,True,2PT
27,5,2,True,2PT
-25,18,3,False,2PT
-4,-1,0,True,2PT
0,0,0,False,2PT
