loc_x,loc_y,shot_distance,shot_made,shot_type
91,236,25,True,3PT
-94,22,9,True,2PT
-195,159,25,True,3PT
118,225,25,False,3PT
1,-3,0,True,2PT
-20,15,2,False,2PT
-232,106,25,False,3PT
10,7,1,False,2PT
103,57,11,False,2PT
7,99,9,False,2PT
0,20,2,False,2PT
10,9,1,True,2PT
-208,152,25,False,3PT
-42,9,4,True,2PT
-2,9,0,True,2PT
42,58,7,False,2PT
-28,34,4,True,2PT
9,6,1,False,2PT
-28,56,6,True,2PT
-5,-2,0,True,2PT
169,226,28,False,3PT
129,215,25,True,3PT
-152,201,25,True,3PT
-105,152,18,False,2PT
-157,193,24,True,3PT
125,227,25,False,3PT
-9,15,1,True,2PT
232,63,24,False,3PT
-232,-2,23,False,3PT
-6,8,1,True,2PT
232,41,23,True,3PT
-27,75,7,False,2PT
-12,0,1,False,2PT
6,288,28,True,3PT
-178,181,25,False,3PT
179,176,25,True,3PT
12,90,9,True,2PT
-195,175,26,True,3PT
-147,265,30,True,3PT
-197,169,25,False,3PT
-85,260,27,False,3PT
11,7,1,True,2PT
-225,38,22,False,3PT
17,62,6,True,2PT
-1,258,25,False,3PT
-9,1,0,True,2PT
9,62,6,False,2PT
9,8,1,True,2PT
-136,237,27,True,3PT
-45,284,28,True,3PT
-164,181,24,False,3PT
-55,59,8,False,2PT
-145,224,26,False,3PT
-12,13,1,True,2PT
58,264,27,False,3PT
-13,17,2,False,2PT
227,4,22,False,3PT
-205,165,26,False,3PT
-20,8,2,True,2PT
6,47,4,False,2PT
-113,236,26,False,3PT
-225,-28,22,False,3PT
-51,122,13,False,2PT
-13,1,1,True,2PT
-9,38,3,True,2PT
5,24,2,True,2PT
-233,-8,23,False,3PT
37,254,25,True,3PT
81,259,27,False,3PT
38,257,25,True,3PT
29,47,5,False,2PT
-223,13,22,False,3PT
23,22,3,True,2PT
32,110,11,False,2PT
26,54,5,True,2PT
-9,11,1,False,2PT
-15,27,3,True,2PT
-26,61,6,False,2PT
-225,42,22,True,3PT
227,58,23,False,3PT
15,-4,1,False,2PT
23,93,9,True,2PT
-141,218,25,False,3PT
-26,266,26,True,3PT
-15,30,3,False,2PT
26,13,2,True,2PT
-59,50,7,False,2PT
-26,57,6,False,2PT
26,101,10,True,2PT
-225,107,24,True,3PT
-2,100,10,True,2PT
2,68,6,False,2PT
6,33,3,True,2PT
-147,278,31,False,3PT
25,256,25,True,3PT
23,250,25,False,3PT
191,215,28,True,3PT
-151,218,26,True,3PT
94,178,20,True,2PT
-228,58,23,False,3PT
60,52,7,False,2PT
26,3,2,True,2PT
-4,8,0,True,2PT
-167,177,24,False,3PT
7,0,0,False,2PT
-129,10,12,False,2PT
-207,167,26,False,3PT
13,22,2,True,2PT
-105,247,26,True,3PT
-45,20,4,False,2PT
6,4,0,False,2PT
-17,140,14,True,2PT
162,205,26,True,3PT
16,10,1,True,2PT
-32,20,3,False,2PT
125,225,25,False,3PT
13,27,2,True,2PT
-178,25,17,False,2PT
105,249,27,True,3PT
-26,29,3,True,2PT
1,28,2,False,2PT
61,232,23,True,3PT
-99,231,25,True,3PT
-49,251,25,True,3PT
-162,35,16,False,2PT
-224,121,25,False,3PT
