loc_x,loc_y,shot_distance,shot_made,shot_type
116,240,26,False,3PT
-13,0,1,True,2PT
56,98,11,False,2PT
98,240,25,True,3PT
223,-16,22,True,3PT
130,228,26,False,3PT
205,162,26,False,3PT
87,15,8,False,2PT
23,261,26,True,3PT
1,29,2,False,2PT
-127,227,26,False,3PT
-175,218,27,True,3PT
-60,14,6,True,2PT
-141,200,24,False,3PT
64,258,26,False,3PT
-12,8,1,True,2PT
159,200,25,True,3PT
-158,207,26,False,3PT
13,23,2,False,2PT
184,196,26,False,3PT
4,8,0,False,2PT
222,136,26,True,3PT
48,100,11,True,2PT
121,239,26,False,3PT
4,31,3,False,2PT
0,0,0,False,2PT
99,257,27,True,3PT
-123,237,26,False,3PT
114,236,26,True,3PT
-20,10,2,False,2PT
0,64,6,True,2PT
-10,10,1,True,2PT
-225,17,22,False,3PT
12,26,2,True,2PT
9,85,8,True,2PT
-196,169,25,False,3PT
179,215,27,False,3PT
-105,236,25,False,3PT
184,201,27,False,3PT
224,-7,22,True,3PT
0,0,0,True,2PT
-151,209,25,False,3PT
-126,241,27,True,3PT
-11,4,1,True,2PT
58,252,25,True,3PT
-10,80,8,False,2PT
-6,9,1,False,2PT
-131,215,25,True,3PT
-12,4,1,False,2PT
-235,16,23,True,3PT
169,220,27,False,3PT
-237,68,24,False,3PT
-7,5,0,False,2PT
225,29,22,True,3PT
-186,204,27,False,3PT
243,21,24,False,3PT
-11,247,24,True,3PT
0,99,9,True,2PT
-239,4,23,False,3PT
-28,14,3,False,2PT
153,213,26,False,3PT
-2,3,0,True,2PT
-228,-10,22,False,3PT
-9,7,1,False,2PT
229,78,24,True,3PT
-162,230,28,True,3PT
138,247,28,False,3PT
50,86,9,False,2PT
-81,256,26,True,3PT
-225,-28,22,True,3PT
-65,26,7,False,2PT
-141,-8,14,True,2PT
-165,206,26,False,3PT
11,59,6,False,2PT
-93,247,26,False,3PT
110,237,26,False,3PT
108,239,26,False,3PT
-23,12,2,True,2PT
-15,26,3,True,2PT
10,24,2,True,2PT
44,77,8,False,2PT
-80,245,25,False,3PT
-206,172,26,False,3PT
-86,38,9,True,2PT
-147,223,26,True,3PT
227,8,22,False,3PT
38,116,12,False,2PT
-232,-7,23,True,3PT
-78,280,29,True,3PT
-37,67,7,False,2PT
20,107,10,False,2PT
-151,225,27,False,3PT
222,45,22,False,3PT
126,142,18,True,2PT
221,117,25,False,3PT
147,210,25,True,3PT
-16,79,8,False,2PT
-6,-4,0,True,2PT
-10,-10,1,False,2PT
-47,16,4,False,2PT
142,264,29,False,3PT
-17,31,3,False,2PT
210,153,25,False,3PT
229,-5,22,False,3PT
-92,257,27,False,3PT
229,31,23,True,3PT
2,62,6,False,2PT
-15,248,24,True,3PT
157,224,27,False,3PT
-1,25,2,False,2PT
-89,240,25,False,3PT
-108,113,15,False,2PT
-116,264,28,False,3PT
88,28,9,False,2PT
-28,25,3,False,2PT
44,84,9,False,2PT
47,95,10,True,2PT
15,48,5,False,2PT
2,258,25,True,3PT
-214,117,24,False,3PT
-42,150,15,False,2PT
6,110,11,False,2PT
-179,179,25,False,3PT
-10,18,2,False,2PT
-225,39,22,True,3PT
118,230,25,True,3PT
-5,46,4,False,2PT
-7,0,0,True,2PT
-20,283,28,False,3PT
-13,21,2,False,2PT
-18,88,8,False,2PT
114,238,26,True,3PT
-162,237,28,False,3PT
-137,238,27,True,3PT
-7,73,7,False,2PT
-233,41,23,False,3PT
11,-2,1,False,2PT
-65,37,7,True,2PT
-235,-18,23,True,3PT
10,3,1,False,2PT
-23,96,9,False,2PT
213,128,24,True,3PT
-5,85,8,False,2PT
20,5,2,False,2PT
10,78,7,False,2PT
137,240,27,False,3PT
0,0,0,False,2PT
86,233,24,False,3PT
-129,228,26,False,3PT
62,209,21,True,2PT
9,13,1,False,2PT
-2,8,0,True,2PT
-127,232,26,False,3PT
1,39,3,False,2PT
0,0,0,False,2PT
-4,13,1,True,2PT
-33,94,9,False,2PT
9,-2,0,False,2PT
-2,6,0,False,2PT
-62,80,10,False,2PT
-153,194,24,False,3PT
54,59,7,True,2PT
6,1,0,True,2PT
49,60,7,False,2PT
91,240,25,False,3PT
157,194,24,False,3PT
1,9,0,False,2PT
-2,93,9,False,2PT
132,241,27,True,3PT
-185,173,25,False,3PT
132,158,20,False,2PT
-132,225,26,False,3PT
0,0,0,True,2PT
16,25,2,False,2PT
127,225,25,True,3PT
-184,173,25,True,3PT
36,8,3,True,2PT
-108,221,24,True,3PT
-163,183,24,True,3PT
-234,0,23,True,3PT
26,13,2,True,2PT
-17,31,3,False,2PT
102,236,25,False,3PT
-5,8,0,True,2PT
-18,158,15,True,2PT
176,199,26,False,3PT
26,54,5,False,2PT
127,228,26,False,3PT
-1,294,29,False,3PT
134,209,24,False,3PT
140,222,26,False,3PT
2,59,5,False,2PT
184,178,25,False,3PT
116,8,11,True,2PT
-109,248,27,False,3PT
227,18,22,False,3PT
39,38,5,False,2PT
132,218,25,True,3PT
70,248,25,True,3PT
-44,21,4,False,2PT
-34,19,3,False,2PT
20,256,25,False,3PT
81,198,21,False,2PT
-10,63,6,False,2PT
76,267,27,False,3PT
56,27,6,False,2PT
59,59,8,False,2PT
-126,215,24,True,3PT
37,26,4,False,2PT
-125,251,28,False,3PT
22,53,5,False,2PT
-157,199,25,False,3PT
56,254,26,False,3PT
61,257,26,False,3PT
131,214,25,False,3PT
225,89,24,False,3PT
-93,158,18,False,2PT
-45,286,28,True,3PT
-172,184,25,True,3PT
47,30,5,False,2PT
-230,34,23,True,3PT
-4,72,7,False,2PT
6,-7,0,True,2PT
-9,36,3,True,2PT
232,37,23,True,3PT
-60,248,25,False,3PT
162,210,26,True,3PT
5,10,1,True,2PT
25,37,4,False,2PT
233,52,23,False,3PT
-13,6,1,True,2PT
-115,239,26,True,3PT
-185,181,25,True,3PT
-4,0,0,True,2PT
-31,262,26,True,3PT
167,197,25,False,3PT
-31,13,3,True,2PT
6,85,8,True,2PT
59,247,25,False,3PT
-53,288,29,False,3PT
11,281,28,False,3PT
190,167,25,True,3PT
91,267,28,True,3PT
-36,24,4,False,2PT
21,50,5,False,2PT
-77,247,25,False,3PT
-32,16,3,True,2PT
20,20,2,False,2PT
-17,154,15,False,2PT
-169,225,28,False,3PT
59,252,25,True,3PT
-1,11,1,True,2PT
33,259,26,False,3PT
-223,6,22,False,3PT
0,0,0,False,2PT
186,225,29,False,3PT
199,224,29,False,3PT
45,271,27,False,3PT
-191,159,24,False,3PT
-239,32,24,False,3PT
-25,10,2,True,2PT
10,5,1,True,2PT
-20,18,2,False,2PT
0,0,0,True,2PT
-27,281,28,False,3PT
7,6,0,True,2PT
189,164,25,False,3PT
136,215,25,False,3PT
-70,260,26,True,3PT
93,243,26,True,3PT
86,256,27,False,3PT
124,230,26,True,3PT
-17,18,2,True,2PT
14,71,7,False,2PT
-67,42,7,True,2PT
22,25,3,False,2PT
-5,4,0,True,2PT
-185,196,26,False,3PT
-9,12,1,False,2PT
-11,10,1,False,2PT
-178,205,27,False,3PT
10,46,4,False,2PT
-89,296,30,False,3PT
40,79,8,False,2PT
-27,265,26,False,3PT
-51,126,13,False,2PT
-234,10,23,True,3PT
-16,11,1,False,2PT
-184,205,27,True,3PT
38,300,30,False,3PT
172,197,26,False,3PT
-234,4,23,False,3PT
11,1,1,False,2PT
-162,201,25,True,3PT
148,10,14,True,2PT
-234,-8,23,False,3PT
156,202,25,True,3PT
-178,179,25,True,3PT
31,116,12,True,2PT
-229,29,23,False,3PT
12,21,2,False,2PT
-112,221,24,False,3PT
-105,225,24,True,3PT
-23,-4,2,True,2PT
146,200,24,True,3PT
75,13,7,False,2PT
-86,275,28,True,3PT
138,210,25,False,3PT
51,25,5,False,2PT
150,224,26,False,3PT
-47,6,4,True,2PT
21,16,2,True,2PT
48,32,5,True,2PT
-240,21,24,False,3PT
-34,31,4,True,2PT
-147,228,27,False,3PT
-232,0,23,False,3PT
-5,12,1,True,2PT
-159,197,25,False,3PT
34,77,8,False,2PT
-124,213,24,False,3PT
7,15,1,True,2PT
-97,239,25,True,3PT
-103,273,29,False,3PT
233,58,24,True,3PT
17,4,1,False,2PT
23,257,25,False,3PT
-114,237,26,True,3PT
18,151,15,True,2PT
83,257,27,False,3PT
230,106,25,False,3PT
142,202,24,False,3PT
-170,185,25,True,3PT
230,-16,23,False,3PT
245,-1,24,False,3PT
-136,241,27,True,3PT
243,-24,24,False,3PT
2,79,7,True,2PT
-87,244,25,True,3PT
167,227,28,True,3PT
140,216,25,False,3PT
-114,15,11,False,2PT
43,255,25,False,3PT
224,4,22,False,3PT
185,183,26,True,3PT
11,49,5,True,2PT
12,270,27,False,3PT
-180,233,29,False,3PT
-189,178,25,False,3PT
-20,23,3,False,2PT
-152,223,26,False,3PT
119,230,25,False,3PT
-227,64,23,False,3PT
-159,184,24,False,3PT
-208,136,24,True,3PT
140,220,26,False,3PT
16,56,5,False,2PT
227,62,23,False,3PT
148,210,25,False,3PT
127,227,26,True,3PT
9,262,26,True,3PT
-135,226,26,False,3PT
0,0,0,False,2PT
103,234,25,False,3PT
136,56,14,True,2PT
-37,11,3,False,2PT
-83,245,25,False,3PT
4,-2,0,True,2PT
-234,52,23,False,3PT
102,237,25,True,3PT
-176,221,28,True,3PT
-36,248,25,False,3PT
-7,85,8,False,2PT
-76,64,9,True,2PT
147,225,26,False,3PT
28,277,27,False,3PT
-65,146,15,True,2PT
-241,47,24,True,3PT
-44,111,11,True,2PT
72,256,26,False,3PT
0,0,0,True,2PT
-100,240,26,True,3PT
21,0,2,False,2PT
31,130,13,False,2PT
-99,243,26,False,3PT
219,128,25,False,3PT
0,0,0,False,2PT
194,169,25,False,3PT
-74,68,10,False,2PT
-211,124,24,False,3PT
-4,31,3,True,2PT
4,-6,0,True,2PT
-207,134,24,False,3PT
196,155,24,False,3PT
62,16,6,False,2PT
162,211,26,False,3PT
181,190,26,False,3PT
-228,26,22,False,3PT
81,31,8,False,2PT
-9,3,0,False,2PT
164,221,27,False,3PT
158,242,28,False,3PT
183,199,27,False,3PT
-229,-15,22,False,3PT
173,220,27,False,3PT
-235,8,23,False,3PT
21,7,2,True,2PT
-6,32,3,False,2PT
-108,229,25,False,3PT
0,38,3,True,2PT
108,267,28,False,3PT
-5,63,6,False,2PT
159,201,25,True,3PT
12,251,25,False,3PT
-7,-1,0,True,2PT
-225,17,22,False,3PT
-92,236,25,False,3PT
-227,130,26,False,3PT
9,8,1,False,2PT
-175,194,26,False,3PT
-2,8,0,True,2PT
16,273,27,True,3PT
105,22,10,True,2PT
-7,291,29,True,3PT
-218,132,25,True,3PT
170,225,28,True,3PT
-214,124,24,False,3PT
-2,9,0,True,2PT
221,115,24,False,3PT
132,254,28,True,3PT
-10,295,29,True,3PT
-37,53,6,False,2PT
-38,8,3,False,2PT
-27,8,2,False,2PT
208,185,27,False,3PT
27,27,3,True,2PT
9,298,29,False,3PT
-2,32,3,False,2PT
225,127,25,True,3PT
-164,200,25,False,3PT
-6,11,1,False,2PT
175,225,28,False,3PT
2,0,0,False,2PT
20,69,7,True,2PT
157,219,26,False,3PT
-59,241,24,False,3PT
-185,176,25,False,3PT
130,226,26,True,3PT
-12,5,1,False,2PT
-148,247,28,True,3PT
105,232,25,False,3PT
54,256,26,False,3PT
25,14,2,False,2PT
-194,153,24,True,3PT
-12,6,1,True,2PT
59,29,6,False,2PT
1,36,3,True,2PT
194,174,26,False,3PT
-152,249,29,False,3PT
-147,215,26,False,3PT
-109,229,25,True,3PT
130,214,25,False,3PT
28,47,5,False,2PT
-137,206,24,False,3PT
5,3,0,True,2PT
-116,242,26,True,3PT
21,92,9,True,2PT
17,23,2,True,2PT
234,22,23,True,3PT
-159,200,25,True,3PT
-132,246,27,False,3PT
124,239,26,False,3PT
18,9,2,True,2PT
157,216,26,True,3PT
-228,109,25,True,3PT
-76,248,25,False,3PT
1,89,8,False,2PT
227,119,25,False,3PT
