loc_x,loc_y,shot_distance,shot_made,shot_type
17,14,2,True,2PT
-7,153,15,True,2PT
-82,55,9,True,2PT
80,104,13,False,2PT
-172,185,25,False,3PT
0,34,3,False,2PT
228,29,22,False,3PT
-69,30,7,True,2PT
20,245,24,False,3PT
4,27,2,True,2PT
-18,6,1,True,2PT
47,60,7,False,2PT
-239,33,24,True,3PT
-88,210,22,True,2PT
43,53,6,False,2PT
28,31,4,False,2PT
-99,236,25,True,3PT
38,5,3,True,2PT
60,116,13,False,2PT
-26,-2,2,False,2PT
29,57,6,False,2PT
0,158,15,False,2PT
18,19,2,False,2PT
11,16,1,False,2PT
-6,152,15,True,2PT
-26,29,3,False,2PT
-25,206,20,False,2PT
-1,27,2,True,2PT
108,39,11,True,2PT
28,26,3,True,2PT
44,26,5,True,2PT
9,165,16,False,2PT
27,0,2,True,2PT
5,14,1,False,2PT
48,158,16,False,2PT
16,-5,1,True,2PT
-49,29,5,False,2PT
86,239,25,False,3PT
-13,48,4,False,2PT
56,179,18,False,2PT
-2,25,2,True,2PT
-233,2,23,False,3PT
5,172,17,False,2PT
-150,215,26,False,3PT
-131,225,26,True,3PT
13,4,1,False,2PT
17,13,2,True,2PT
-62,151,16,False,2PT
-18,30,3,False,2PT
37,173,17,False,2PT
-40,38,5,False,2PT
-104,249,26,False,3PT
-56,126,13,True,2PT
172,202,26,True,3PT
-11,39,4,False,2PT
32,32,4,True,2PT
-75,60,9,False,2PT
104,243,26,True,3PT
6,15,1,False,2PT
-6,245,24,False,3PT
-9,14,1,False,2PT
153,197,24,False,3PT
4,146,14,True,2PT
167,179,24,False,3PT
-58,109,12,True,2PT
56,39,6,False,2PT
-44,29,5,False,2PT
-2,8,0,True,2PT
-21,7,2,True,2PT
5,36,3,False,2PT
-1,232,23,False,2PT
18,152,15,False,2PT
-54,73,9,False,2PT
-145,85,16,False,2PT
-2,5,0,True,2PT
110,227,25,False,3PT
-202,158,25,False,3PT
5,169,16,False,2PT
48,59,7,False,2PT
-130,211,24,True,3PT
-123,230,26,False,3PT
1,125,12,False,2PT
-27,16,3,False,2PT
-96,160,18,False,2PT
-23,18,2,False,2PT
10,8,1,True,2PT
-83,229,24,False,3PT
15,158,15,False,2PT
216,118,24,False,3PT
7,30,3,False,2PT
19,3,1,True,2PT
-134,129,18,True,2PT
-5,6,0,False,2PT
-50,134,14,False,2PT
233,4,23,False,3PT
-12,18,2,False,2PT
36,29,4,False,2PT
5,186,18,False,2PT
-234,17,23,True,3PT
