loc_x,loc_y,shot_distance,shot_made,shot_type
-17,6,1,False,2PT
200,153,25,False,3PT
-179,173,24,False,3PT
27,8,2,True,2PT
-156,-11,15,True,2PT
34,35,4,True,2PT
34,75,8,True,2PT
-1,0,0,True,2PT
-228,-15,22,True,3PT
188,172,25,False,3PT
20,260,26,False,3PT
116,240,26,False,3PT
-15,56,5,False,2PT
127,230,26,False,3PT
0,35,3,True,2PT
-7,-5,0,True,2PT
1,25,2,False,2PT
4,3,0,True,2PT
31,261,26,True,3PT
-13,0,1,True,2PT
11,11,1,True,2PT
-16,13,2,False,2PT
15,67,6,False,2PT
156,201,25,False,3PT
225,14,22,True,3PT
56,98,11,False,2PT
227,72,23,False,3PT
98,240,25,True,3PT
132,226,26,True,3PT
-132,226,26,True,3PT
116,241,26,False,3PT
-229,-11,22,False,3PT
11,14,1,True,2PT
-1,6,0,True,2PT
-7,11,1,True,2PT
9,11,1,True,2PT
10,16,1,True,2PT
-157,204,25,True,3PT
-20,258,25,True,3PT
6,260,26,False,3PT
-208,130,24,True,3PT
83,243,25,True,3PT
-233,-15,23,False,3PT
-238,-10,23,False,3PT
6,270,27,True,3PT
26,92,9,False,2PT
51,254,25,True,3PT
-9,5,1,False,2PT
-7,13,1,False,2PT
-127,254,28,True,3PT
-120,92,15,False,2PT
21,21,2,False,2PT
10,0,1,False,2PT
16,16,2,False,2PT
7,121,12,False,2PT
69,253,26,False,3PT
223,-16,22,True,3PT
-2,16,1,True,2PT
-28,10,2,True,2PT
-38,80,8,True,2PT
205,125,24,True,3PT
-31,11,3,True,2PT
4,5,0,True,2PT
-15,76,7,False,2PT
-18,97,9,True,2PT
93,231,24,False,3PT
-53,43,6,False,2PT
-6,17,1,False,2PT
15,5,1,True,2PT
185,195,26,True,3PT
22,25,3,False,2PT
-114,239,26,False,3PT
-135,239,27,False,3PT
4,8,0,True,2PT
-38,32,4,False,2PT
-125,235,26,True,3PT
-10,21,2,True,2PT
130,228,26,False,3PT
-230,-27,23,False,3PT
-6,75,7,True,2PT
5,27,2,True,2PT
-9,5,1,True,2PT
-97,306,32,False,3PT
-40,58,7,True,2PT
227,34,22,False,3PT
-10,16,1,True,2PT
-1,16,1,False,2PT
-5,19,1,True,2PT
89,23,9,True,2PT
33,267,26,False,3PT
-10,14,1,True,2PT
-135,230,26,False,3PT
17,252,25,False,3PT
16,178,17,True,2PT
31,16,3,False,2PT
-16,73,7,False,2PT
15,268,26,True,3PT
-66,95,11,True,2PT
-206,143,25,True,3PT
205,162,26,False,3PT
116,236,26,False,3PT
15,256,25,True,3PT
31,17,3,True,2PT
83,240,25,False,3PT
15,261,26,False,3PT
221,187,28,False,3PT
-60,57,8,True,2PT
59,4,5,False,2PT
87,15,8,False,2PT
23,261,26,True,3PT
-12,19,2,True,2PT
-10,79,7,True,2PT
142,237,27,False,3PT
-13,8,1,True,2PT
1,266,26,False,3PT
232,81,24,True,3PT
-239,45,24,False,3PT
-13,11,1,False,2PT
-159,221,27,True,3PT
-25,136,13,False,2PT
12,75,7,False,2PT
4,35,3,True,2PT
184,4,18,False,2PT
-221,130,25,False,3PT
87,246,26,True,3PT
-9,11,1,True,2PT
1,29,2,False,2PT
-15,-2,1,True,2PT
-10,6,1,True,2PT
11,5,1,False,2PT
0,0,0,True,2PT
-110,153,18,True,2PT
21,16,2,False,2PT
-212,7,21,False,2PT
-12,46,4,False,2PT
2,22,2,False,2PT
-221,141,26,False,3PT
9,18,2,True,2PT
-64,132,14,False,2PT
27,15,3,False,2PT
0,15,1,True,2PT
4,13,1,True,2PT
-157,222,27,True,3PT
0,4,0,True,2PT
20,16,2,False,2PT
2,33,3,False,2PT
-203,223,30,False,3PT
-127,227,26,False,3PT
29,17,3,False,2PT
-229,78,24,True,3PT
233,-6,23,False,3PT
-38,78,8,True,2PT
6,10,1,False,2PT
0,0,0,True,2PT
1,17,1,True,2PT
5,17,1,True,2PT
4,13,1,True,2PT
40,26,4,True,2PT
-175,218,27,True,3PT
125,227,25,False,3PT
-230,89,24,False,3PT
-36,44,5,True,2PT
-66,2,6,True,2PT
234,7,23,False,3PT
71,256,26,False,3PT
26,13,2,True,2PT
-1,11,1,True,2PT
-208,201,28,False,3PT
-61,36,7,False,2PT
7,16,1,True,2PT
10,25,2,True,2PT
-16,16,2,False,2PT
-149,207,25,False,3PT
23,16,2,True,2PT
223,3,22,True,3PT
146,208,25,False,3PT
1,13,1,True,2PT
233,31,23,False,3PT
6,6,0,True,2PT
-10,9,1,True,2PT
7,15,1,False,2PT
7,9,1,True,2PT
-60,14,6,True,2PT
31,11,3,False,2PT
7,4,0,True,2PT
-141,200,24,False,3PT
134,216,25,False,3PT
25,9,2,True,2PT
-12,11,1,False,2PT
185,198,27,False,3PT
-129,208,24,False,3PT
71,32,7,True,2PT
107,240,26,True,3PT
199,153,25,True,3PT
9,69,6,False,2PT
-11,13,1,False,2PT
-53,4,5,False,2PT
-10,5,1,False,2PT
-205,161,26,False,3PT
5,256,25,True,3PT
-32,251,25,False,3PT
31,36,4,True,2PT
-148,229,27,False,3PT
11,11,1,False,2PT
11,0,1,True,2PT
64,258,26,False,3PT
66,250,25,False,3PT
-18,14,2,False,2PT
6,58,5,True,2PT
-18,6,1,True,2PT
22,32,3,False,2PT
-11,11,1,True,2PT
-13,3,1,True,2PT
-12,25,2,True,2PT
12,43,4,True,2PT
17,24,2,False,2PT
197,157,25,False,3PT
-238,15,23,False,3PT
-16,15,2,False,2PT
-132,151,20,False,2PT
-168,200,26,True,3PT
-4,10,1,False,2PT
-152,232,27,False,3PT
-219,137,25,False,3PT
-12,8,1,True,2PT
-229,70,23,True,3PT
159,200,25,True,3PT
-233,-5,23,False,3PT
7,10,1,True,2PT
230,65,23,False,3PT
9,-1,0,False,2PT
5,16,1,False,2PT
1,-3,0,True,2PT
0,11,1,False,2PT
82,230,24,False,3PT
126,226,25,False,3PT
246,7,24,False,3PT
-104,233,25,False,3PT
6,7,0,False,2PT
16,7,1,False,2PT
-207,152,25,False,3PT
-55,264,26,False,3PT
6,251,25,False,3PT
83,241,25,False,3PT
-185,178,25,True,3PT
-6,11,1,False,2PT
-158,207,26,False,3PT
2,16,1,True,2PT
0,65,6,False,2PT
1,6,0,True,2PT
-129,230,26,False,3PT
228,-6,22,True,3PT
5,6,0,True,2PT
-179,199,26,True,3PT
6,4,0,True,2PT
-4,4,0,True,2PT
-227,-11,22,True,3PT
104,242,26,False,3PT
-12,6,1,False,2PT
22,254,25,False,3PT
195,174,26,False,3PT
-114,237,26,True,3PT
-228,-15,22,False,3PT
-16,10,1,True,2PT
-33,22,3,False,2PT
-119,99,15,False,2PT
2,11,1,True,2PT
77,253,26,False,3PT
229,33,23,False,3PT
-9,13,1,True,2PT
1,29,2,False,2PT
-4,26,2,True,2PT
1,11,1,True,2PT
11,10,1,True,2PT
-55,86,10,False,2PT
10,20,2,True,2PT
112,241,26,True,3PT
6,22,2,True,2PT
9,18,2,False,2PT
0,0,0,True,2PT
13,23,2,False,2PT
184,196,26,False,3PT
-17,31,3,True,2PT
-229,47,23,False,3PT
232,21,23,False,3PT
4,8,0,False,2PT
-221,133,25,False,3PT
222,136,26,True,3PT
49,183,18,True,2PT
5,17,1,True,2PT
-2,88,8,True,2PT
-6,15,1,True,2PT
-78,39,8,True,2PT
4,33,3,False,2PT
238,5,23,False,3PT
-4,21,2,False,2PT
-229,26,23,True,3PT
-6,110,11,True,2PT
-4,22,2,True,2PT
-130,116,17,False,2PT
58,70,9,False,2PT
10,86,8,True,2PT
225,-8,22,False,3PT
-1,18,1,True,2PT
-7,15,1,True,2PT
145,222,26,False,3PT
-18,32,3,False,2PT
-11,17,2,True,2PT
104,246,26,False,3PT
6,22,2,False,2PT
-22,118,12,True,2PT
1,17,1,True,2PT
-2,11,1,True,2PT
71,245,25,True,3PT
12,266,26,False,3PT
-197,94,21,False,2PT
6,8,1,False,2PT
179,192,26,False,3PT
-227,-2,22,False,3PT
130,225,25,True,3PT
-178,190,26,True,3PT
-186,171,25,False,3PT
154,210,26,False,3PT
0,0,0,True,2PT
81,248,26,False,3PT
-224,13,22,False,3PT
5,4,0,True,2PT
-6,5,0,True,2PT
9,19,2,False,2PT
-4,11,1,True,2PT
-2,15,1,True,2PT
230,0,23,False,3PT
4,5,0,True,2PT
10,-1,1,True,2PT
9,13,1,True,2PT
-135,243,27,False,3PT
43,255,25,False,3PT
48,100,11,True,2PT
121,239,26,False,3PT
7,9,1,False,2PT
4,31,3,False,2PT
0,0,0,False,2PT
7,11,1,True,2PT
-172,195,26,False,3PT
156,218,26,False,3PT
0,13,1,True,2PT
-10,8,1,False,2PT
-10,252,25,False,3PT
173,198,26,True,3PT
12,-8,1,True,2PT
5,47,4,False,2PT
-1,6,0,False,2PT
-93,232,24,True,3PT
-5,15,1,True,2PT
2,11,1,False,2PT
-59,242,24,False,3PT
235,26,23,False,3PT
-232,41,23,False,3PT
0,11,1,True,2PT
-13,10,1,True,2PT
-31,271,27,False,3PT
-53,13,5,True,2PT
-1,13,1,True,2PT
12,73,7,True,2PT
-7,52,5,False,2PT
0,0,0,False,2PT
-100,5,10,False,2PT
150,159,21,False,2PT
-16,9,1,False,2PT
98,30,10,True,2PT
5,16,1,False,2PT
178,187,25,True,3PT
224,0,22,True,3PT
31,257,25,True,3PT
199,169,26,False,3PT
13,261,26,True,3PT
13,5,1,True,2PT
-1,9,0,True,2PT
-61,15,6,False,2PT
33,8,3,False,2PT
167,211,26,False,3PT
-49,57,7,True,2PT
-12,14,1,False,2PT
6,57,5,True,2PT
224,66,23,False,3PT
0,0,0,False,2PT
-6,4,0,True,2PT
-32,261,26,True,3PT
83,243,25,False,3PT
225,19,22,False,3PT
-102,190,21,True,2PT
7,82,8,True,2PT
223,4,22,False,3PT
16,11,1,False,2PT
0,0,0,False,2PT
154,211,26,True,3PT
-17,8,1,True,2PT
-2,5,0,True,2PT
-156,204,25,True,3PT
0,3,0,False,2PT
103,239,26,False,3PT
15,21,2,True,2PT
-21,50,5,False,2PT
-6,136,13,False,2PT
2,13,1,True,2PT
197,155,25,False,3PT
9,14,1,False,2PT
-16,8,1,False,2PT
-5,6,0,False,2PT
15,7,1,True,2PT
2,74,7,False,2PT
228,1,22,True,3PT
21,254,25,True,3PT
12,254,25,False,3PT
11,7,1,True,2PT
-224,-6,22,False,3PT
27,6,2,False,2PT
62,8,6,False,2PT
12,69,7,True,2PT
-229,-5,22,False,3PT
25,4,2,True,2PT
-230,12,23,False,3PT
99,257,27,True,3PT
235,41,23,True,3PT
-10,23,2,False,2PT
-11,13,1,False,2PT
-13,6,1,True,2PT
-158,199,25,False,3PT
28,1,2,False,2PT
205,147,25,False,3PT
25,7,2,False,2PT
-2,7,0,True,2PT
-123,237,26,False,3PT
-232,-19,23,False,3PT
-224,-19,22,False,3PT
65,247,25,False,3PT
37,-5,3,True,2PT
-228,-11,22,False,3PT
6,37,3,True,2PT
10,-3,1,False,2PT
-10,112,11,True,2PT
25,79,8,False,2PT
120,16,12,True,2PT
127,10,12,False,2PT
17,6,1,False,2PT
-10,81,8,True,2PT
-11,0,1,True,2PT
11,18,2,True,2PT
1,8,0,True,2PT
-4,155,15,False,2PT
-105,232,25,False,3PT
227,19,22,False,3PT
-229,-6,22,False,3PT
-225,-6,22,False,3PT
-201,151,25,True,3PT
-18,63,6,False,2PT
-31,22,3,False,2PT
-15,16,2,False,2PT
-26,6,2,False,2PT
-233,40,23,False,3PT
-48,247,25,False,3PT
-13,252,25,True,3PT
-228,31,23,False,3PT
-96,8,9,True,2PT
-16,14,2,True,2PT
-9,11,1,True,2PT
114,236,26,True,3PT
12,14,1,True,2PT
-32,26,4,False,2PT
-20,10,2,False,2PT
-28,11,3,False,2PT
0,0,0,False,2PT
0,0,0,True,2PT
17,27,3,True,2PT
11,15,1,True,2PT
-28,29,4,False,2PT
74,13,7,False,2PT
-18,78,8,False,2PT
-4,6,0,True,2PT
-114,230,25,True,3PT
-5,17,1,True,2PT
-81,171,18,False,2PT
-4,13,1,True,2PT
224,110,24,False,3PT
9,13,1,True,2PT
37,55,6,False,2PT
223,106,24,False,3PT
26,36,4,True,2PT
-36,127,13,False,2PT
0,64,6,True,2PT
-10,10,1,True,2PT
-1,11,1,True,2PT
141,14,14,True,2PT
-225,17,22,False,3PT
-7,15,1,False,2PT
-16,61,6,False,2PT
-7,43,4,False,2PT
-4,9,0,False,2PT
0,0,0,True,2PT
-16,80,8,True,2PT
48,73,8,False,2PT
174,196,26,True,3PT
2,274,27,True,3PT
-145,218,26,False,3PT
12,76,7,True,2PT
-110,242,26,False,3PT
12,26,2,True,2PT
40,54,6,True,2PT
2,33,3,False,2PT
0,18,1,True,2PT
-157,202,25,False,3PT
17,53,5,False,2PT
27,7,2,True,2PT
-11,246,24,False,3PT
86,252,26,False,3PT
13,36,3,True,2PT
-224,20,22,False,3PT
25,170,17,False,2PT
12,15,1,True,2PT
18,79,8,False,2PT
44,63,7,False,2PT
2,23,2,True,2PT
232,17,23,True,3PT
228,104,25,True,3PT
-12,15,1,False,2PT
58,21,6,False,2PT
9,85,8,True,2PT
-189,178,25,False,3PT
-185,174,25,True,3PT
228,36,23,True,3PT
76,-4,7,True,2PT
5,6,0,False,2PT
-10,1,1,True,2PT
-91,227,24,False,3PT
0,13,1,True,2PT
-9,89,8,False,2PT
7,13,1,True,2PT
-2,13,1,True,2PT
-179,182,25,False,3PT
-12,14,1,True,2PT
-2,5,0,True,2PT
-16,219,21,False,2PT
13,61,6,True,2PT
-229,-16,22,False,3PT
29,11,3,True,2PT
129,235,26,False,3PT
-196,169,25,False,3PT
179,215,27,False,3PT
-59,267,27,False,3PT
-181,134,22,False,2PT
224,26,22,True,3PT
-105,236,25,False,3PT
235,3,23,True,3PT
-12,0,1,True,2PT
6,9,1,True,2PT
-11,5,1,True,2PT
-211,137,25,False,3PT
-157,204,25,False,3PT
2,10,1,True,2PT
243,13,24,False,3PT
-167,200,26,True,3PT
-165,183,24,False,3PT
-6,153,15,False,2PT
-42,35,5,False,2PT
7,24,2,False,2PT
25,105,10,True,2PT
-228,-23,22,False,3PT
-58,27,6,True,2PT
-145,215,25,False,3PT
184,201,27,False,3PT
9,253,25,False,3PT
-16,6,1,True,2PT
224,-7,22,True,3PT
-6,266,26,True,3PT
-163,197,25,False,3PT
-12,26,2,False,2PT
0,0,0,True,2PT
-151,209,25,False,3PT
-4,63,6,True,2PT
-75,254,26,True,3PT
37,6,3,False,2PT
-87,244,25,True,3PT
12,256,25,False,3PT
-92,252,26,False,3PT
9,4,0,True,2PT
98,236,25,True,3PT
-5,7,0,True,2PT
-7,7,0,False,2PT
2,258,25,True,3PT
50,1,5,True,2PT
5,6,0,True,2PT
7,6,0,True,2PT
82,25,8,False,2PT
2,10,1,True,2PT
-23,247,24,False,3PT
-214,136,25,True,3PT
