loc_x,loc_y,shot_distance,shot_made,shot_type
31,261,26,True,3PT
156,201,25,False,3PT
116,241,26,False,3PT
-28,10,2,True,2PT
185,195,26,True,3PT
31,17,3,True,2PT
15,261,26,False,3PT
-13,8,1,True,2PT
1,266,26,False,3PT
29,17,3,False,2PT
0,0,0,True,2PT
7,4,0,True,2PT
185,198,27,False,3PT
107,240,26,True,3PT
199,153,25,True,3PT
6,251,25,False,3PT
2,16,1,True,2PT
22,254,25,False,3PT
-16,10,1,True,2PT
0,0,0,True,2PT
-229,47,23,False,3PT
-221,133,25,False,3PT
5,17,1,True,2PT
7,11,1,True,2PT
167,211,26,False,3PT
-12,14,1,False,2PT
224,66,23,False,3PT
83,243,25,False,3PT
225,19,22,False,3PT
-10,23,2,False,2PT
-158,199,25,False,3PT
-28,11,3,False,2PT
11,15,1,True,2PT
-18,78,8,False,2PT
-114,230,25,True,3PT
-5,17,1,True,2PT
-4,13,1,True,2PT
27,7,2,True,2PT
228,104,25,True,3PT
-59,267,27,False,3PT
-181,134,22,False,2PT
0,0,0,False,2PT
0,0,0,False,2PT
175,183,25,False,3PT
28,258,25,False,3PT
152,216,26,False,3PT
-25,4,2,True,2PT
-2,-3,0,True,2PT
-10,7,1,True,2PT
0,0,0,True,2PT
42,256,25,False,3PT
12,7,1,True,2PT
-6,267,26,False,3PT
1,10,1,True,2PT
76,248,25,False,3PT
-191,176,25,True,3PT
-1,6,0,True,2PT
-167,200,26,True,3PT
0,4,0,True,2PT
-138,199,24,False,3PT
4,8,0,True,2PT
230,-7,23,False,3PT
223,41,22,True,3PT
-108,229,25,True,3PT
-170,199,26,False,3PT
246,-24,24,False,3PT
225,-4,22,True,3PT
-234,15,23,True,3PT
100,239,25,True,3PT
-134,227,26,True,3PT
5,4,0,True,2PT
0,0,0,True,2PT
-188,177,25,True,3PT
0,0,0,True,2PT
-178,166,24,False,3PT
0,0,0,False,2PT
28,27,3,False,2PT
-2,5,0,True,2PT
138,210,25,False,3PT
0,5,0,True,2PT
58,252,25,True,3PT
32,-3,3,True,2PT
48,242,24,False,3PT
-12,10,1,False,2PT
-208,15,20,False,2PT
0,0,0,False,2PT
0,44,4,False,2PT
-45,258,26,False,3PT
94,243,26,True,3PT
12,20,2,False,2PT
112,239,26,True,3PT
-2,37,3,False,2PT
221,155,26,False,3PT
82,250,26,True,3PT
34,251,25,False,3PT
36,257,25,False,3PT
228,-1,22,False,3PT
-227,-2,22,True,3PT
50,255,25,False,3PT
69,271,27,False,3PT
58,260,26,True,3PT
-44,26,5,True,2PT
-49,275,27,False,3PT
-94,251,26,True,3PT
136,221,25,True,3PT
-15,18,2,True,2PT
50,31,5,False,2PT
96,241,25,True,3PT
119,197,23,True,2PT
-225,22,22,False,3PT
16,27,3,False,2PT
-38,13,4,True,2PT
36,253,25,False,3PT
146,204,25,False,3PT
223,10,22,True,3PT
228,32,23,False,3PT
156,206,25,False,3PT
0,0,0,True,2PT
50,62,7,False,2PT
110,222,24,False,3PT
-2,11,1,False,2PT
127,218,25,True,3PT
-4,10,1,True,2PT
-12,309,30,False,3PT
-21,20,2,True,2PT
-151,232,27,False,3PT
18,23,2,False,2PT
229,-4,22,False,3PT
7,23,2,True,2PT
-13,78,7,False,2PT
103,237,25,False,3PT
0,0,0,False,2PT
96,233,25,False,3PT
-233,-8,23,True,3PT
-75,254,26,True,3PT
-114,220,24,False,3PT
18,3,1,True,2PT
-96,236,25,True,3PT
-13,12,1,True,2PT
0,0,0,True,2PT
112,226,25,False,3PT
235,90,25,False,3PT
-4,17,1,True,2PT
-114,225,25,False,3PT
10,16,1,True,2PT
-18,16,2,False,2PT
31,264,26,False,3PT
230,-4,23,False,3PT
-228,24,22,True,3PT
102,245,26,True,3PT
0,0,0,False,2PT
241,-5,24,False,3PT
9,13,1,True,2PT
210,144,25,True,3PT
-132,246,27,False,3PT
10,7,1,True,2PT
-232,-11,23,True,3PT
-118,226,25,True,3PT
-2,13,1,False,2PT
0,0,0,False,2PT
227,74,23,False,3PT
11,272,27,False,3PT
-230,28,23,False,3PT
-55,253,25,False,3PT
-137,210,25,True,3PT
7,38,3,False,2PT
-237,-10,23,True,3PT
86,238,25,False,3PT
6,8,1,True,2PT
-234,-22,23,True,3PT
-148,218,26,False,3PT
-2,11,1,True,2PT
232,-12,23,True,3PT
-4,10,1,True,2PT
66,246,25,False,3PT
120,239,26,False,3PT
-11,3,1,True,2PT
0,0,0,False,2PT
9,12,1,True,2PT
43,28,5,False,2PT
-184,179,25,False,3PT
2,4,0,False,2PT
172,180,24,False,3PT
9,6,1,True,2PT
-7,13,1,True,2PT
70,247,25,False,3PT
0,0,0,True,2PT
126,228,26,True,3PT
-49,277,28,False,3PT
225,-13,22,False,3PT
-89,254,26,False,3PT
6,10,1,True,2PT
2,55,5,True,2PT
7,12,1,True,2PT
-134,217,25,False,3PT
-157,203,25,True,3PT
184,42,18,True,2PT
1,9,0,True,2PT
0,14,1,True,2PT
120,235,26,True,3PT
-67,83,10,False,2PT
0,0,0,False,2PT
0,0,0,False,2PT
43,258,26,False,3PT
-4,11,1,False,2PT
12,74,7,True,2PT
83,245,25,False,3PT
-61,8,6,False,2PT
16,10,1,False,2PT
-9,0,0,True,2PT
229,-11,22,False,3PT
-18,12,2,True,2PT
-108,241,26,False,3PT
98,233,25,False,3PT
243,4,24,False,3PT
-21,7,2,True,2PT
-39,42,5,False,2PT
-18,20,2,True,2PT
-181,176,25,False,3PT
69,48,8,False,2PT
81,254,26,False,3PT
-12,26,2,True,2PT
-12,11,1,True,2PT
-1,42,4,True,2PT
-76,226,23,False,2PT
-161,197,25,False,3PT
-219,129,25,False,3PT
230,-10,23,True,3PT
-121,233,26,True,3PT
0,0,0,False,2PT
0,0,0,True,2PT
70,236,24,False,3PT
-233,-13,23,False,3PT
-235,-10,23,False,3PT
-21,257,25,False,3PT
-229,23,23,False,3PT
-18,60,6,False,2PT
-228,2,22,False,3PT
234,17,23,False,3PT
-107,225,24,False,3PT
78,239,25,True,3PT
146,195,24,True,3PT
58,258,26,False,3PT
-118,218,24,True,3PT
223,3,22,True,3PT
33,51,6,True,2PT
235,-15,23,True,3PT
-2,6,0,True,2PT
-13,13,1,True,2PT
-163,193,25,True,3PT
-157,202,25,False,3PT
-126,236,26,False,3PT
-157,158,22,False,2PT
-130,223,25,True,3PT
22,4,2,False,2PT
31,11,3,False,2PT
-82,204,21,False,2PT
-143,211,25,False,3PT
-76,251,26,True,3PT
-1,73,7,False,2PT
-1,5,0,True,2PT
20,46,5,True,2PT
97,240,25,False,3PT
25,13,2,False,2PT
119,221,25,True,3PT
20,22,2,False,2PT
-5,10,1,True,2PT
115,225,25,True,3PT
11,20,2,True,2PT
119,227,25,True,3PT
4,15,1,True,2PT
-223,109,24,False,3PT
15,253,25,False,3PT
183,198,26,True,3PT
13,38,4,True,2PT
-238,-15,23,False,3PT
-4,16,1,True,2PT
6,12,1,True,2PT
213,165,26,True,3PT
-2,5,0,True,2PT
80,243,25,False,3PT
0,0,0,False,2PT
-131,210,24,True,3PT
-4,-5,0,True,2PT
233,11,23,True,3PT
-17,6,1,True,2PT
197,157,25,False,3PT
-234,-3,23,True,3PT
-233,0,23,False,3PT
-17,8,1,True,2PT
232,-21,23,True,3PT
9,10,1,False,2PT
209,28,21,False,2PT
-6,-26,2,False,2PT
59,274,28,True,3PT
234,121,26,True,3PT
16,-12,2,True,2PT
53,273,27,False,3PT
-78,240,25,True,3PT
165,215,27,False,3PT
-224,-16,22,False,3PT
189,192,26,True,3PT
-16,273,27,True,3PT
5,27,2,True,2PT
23,15,2,True,2PT
0,15,1,True,2PT
-9,37,3,False,2PT
-237,11,23,False,3PT
17,20,2,True,2PT
51,18,5,False,2PT
4,22,2,True,2PT
229,25,23,False,3PT
6,-8,1,True,2PT
17,1,1,True,2PT
167,204,26,False,3PT
-1,3,0,True,2PT
-1,15,1,True,2PT
21,4,2,False,2PT
-160,180,24,False,3PT
-53,247,25,True,3PT
138,218,25,False,3PT
0,0,0,False,2PT
-230,-5,23,False,3PT
76,244,25,True,3PT
5,267,26,True,3PT
-5,1,0,True,2PT
13,263,26,True,3PT
1,1,0,True,2PT
-229,-7,22,True,3PT
6,14,1,False,2PT
172,199,26,False,3PT
33,253,25,False,3PT
11,21,2,False,2PT
16,11,1,True,2PT
1,8,0,True,2PT
229,-1,22,False,3PT
0,0,0,True,2PT
-21,261,26,False,3PT
-69,254,26,True,3PT
120,231,26,True,3PT
76,261,27,False,3PT
116,237,26,False,3PT
27,50,5,False,2PT
234,43,23,False,3PT
235,11,23,False,3PT
-138,228,26,True,3PT
-48,269,27,False,3PT
5,267,26,False,3PT
31,25,3,False,2PT
-9,36,3,False,2PT
-37,263,26,False,3PT
-211,155,26,False,3PT
17,5,1,True,2PT
-235,48,23,True,3PT
230,29,23,False,3PT
-69,272,28,False,3PT
-170,195,25,False,3PT
-229,-13,22,False,3PT
136,222,26,False,3PT
20,11,2,False,2PT
10,17,1,False,2PT
78,243,25,False,3PT
-6,9,1,True,2PT
230,64,23,True,3PT
-126,220,25,True,3PT
162,211,26,False,3PT
195,62,20,True,2PT
-9,38,3,True,2PT
-13,32,3,False,2PT
35,40,5,True,2PT
-1,11,1,True,2PT
65,179,19,False,2PT
12,5,1,True,2PT
-227,-18,22,False,3PT
152,214,26,False,3PT
-1,8,0,True,2PT
233,3,23,False,3PT
154,205,25,False,3PT
5,25,2,True,2PT
65,243,25,False,3PT
162,191,25,True,3PT
-105,231,25,True,3PT
0,0,0,True,2PT
-94,244,26,True,3PT
-11,6,1,True,2PT
-6,101,10,True,2PT
-168,191,25,False,3PT
81,239,25,True,3PT
228,14,22,False,3PT
12,3,1,True,2PT
232,-11,23,True,3PT
156,230,27,False,3PT
-54,263,26,False,3PT
-11,30,3,False,2PT
116,220,24,False,3PT
11,15,1,True,2PT
107,232,25,True,3PT
-21,14,2,False,2PT
-12,16,2,False,2PT
33,1,3,False,2PT
9,14,1,False,2PT
-107,231,25,False,3PT
11,58,5,True,2PT
-9,10,1,True,2PT
