loc_x,loc_y,shot_distance,shot_made,shot_type
5,-3,0,True,2PT
-18,-1,1,True,2PT
-29,3,2,True,2PT
-232,63,24,False,3PT
-232,-11,23,False,3PT
-36,24,4,True,2PT
76,62,9,False,2PT
-18,9,2,True,2PT
230,34,23,False,3PT
10,28,2,True,2PT
-228,18,22,False,3PT
-225,79,23,False,3PT
-12,10,1,True,2PT
-9,7,1,False,2PT
-4,11,1,True,2PT
-230,26,23,True,3PT
233,32,23,False,3PT
-9,5,1,True,2PT
239,21,23,False,3PT
-20,19,2,True,2PT
-77,53,9,False,2PT
-40,10,4,True,2PT
-221,145,26,False,3PT
-29,11,3,True,2PT
-235,-15,23,False,3PT
2,4,0,True,2PT
-18,17,2,True,2PT
-1,8,0,True,2PT
6,26,2,False,2PT
12,34,3,True,2PT
-153,253,29,False,3PT
4,17,1,True,2PT
233,32,23,False,3PT
-44,-7,4,True,2PT
-54,30,6,True,2PT
-5,20,2,False,2PT
77,247,25,True,3PT
0,17,1,True,2PT
-1,0,0,True,2PT
-6,17,1,False,2PT
11,-3,1,True,2PT
-230,12,23,True,3PT
2,7,0,True,2PT
-230,-12,23,False,3PT
223,-1,22,True,3PT
0,14,1,True,2PT
0,0,0,True,2PT
240,12,24,False,3PT
-16,12,2,True,2PT
-1,5,0,True,2PT
237,-11,23,True,3PT
233,-11,23,True,3PT
140,227,26,False,3PT
4,10,1,True,2PT
-23,258,25,True,3PT
196,169,25,False,3PT
150,205,25,False,3PT
-235,59,24,False,3PT
6,18,1,True,2PT
-228,147,27,False,3PT
234,26,23,False,3PT
42,55,6,False,2PT
-17,17,2,True,2PT
10,5,1,True,2PT
188,183,26,False,3PT
116,243,26,False,3PT
-26,8,2,False,2PT
-233,-6,23,False,3PT
-15,12,1,True,2PT
229,15,22,True,3PT
-36,34,4,False,2PT
27,29,3,False,2PT
-21,16,2,True,2PT
-33,25,4,False,2PT
-31,51,5,False,2PT
0,0,0,True,2PT
50,253,25,False,3PT
29,38,4,False,2PT
-35,12,3,True,2PT
-16,14,2,True,2PT
16,16,2,True,2PT
-16,16,2,True,2PT
-224,50,22,False,3PT
12,15,1,True,2PT
-2,285,28,False,3PT
5,7,0,True,2PT
7,42,4,False,2PT
0,0,0,True,2PT
-230,26,23,True,3PT
1,33,3,True,2PT
0,41,4,True,2PT
0,33,3,False,2PT
21,16,2,True,2PT
-208,142,25,False,3PT
-33,41,5,False,2PT
-153,204,25,False,3PT
-4,9,0,True,2PT
-2,17,1,True,2PT
191,199,27,False,3PT
13,34,3,True,2PT
-67,58,8,True,2PT
-230,20,23,False,3PT
-22,0,2,True,2PT
230,19,23,False,3PT
36,27,4,False,2PT
9,15,1,False,2PT
-230,-20,23,False,3PT
237,73,24,True,3PT
-229,-14,22,True,3PT
-5,8,0,True,2PT
-6,16,1,False,2PT
229,-10,22,True,3PT
1,0,0,True,2PT
-4,6,0,True,2PT
-98,246,26,False,3PT
0,0,0,True,2PT
7,3,0,True,2PT
-16,62,6,True,2PT
-10,251,25,False,3PT
-2,22,2,False,2PT
224,-8,22,False,3PT
10,5,1,True,2PT
-9,-7,1,True,2PT
-20,255,25,True,3PT
4,5,0,True,2PT
-228,9,22,False,3PT
-2,13,1,False,2PT
12,5,1,False,2PT
5,67,6,False,2PT
72,251,26,False,3PT
185,174,25,True,3PT
0,7,0,False,2PT
-25,116,11,True,2PT
4,23,2,False,2PT
232,-6,23,True,3PT
1,58,5,True,2PT
-15,10,1,True,2PT
0,0,0,True,2PT
7,6,0,True,2PT
222,119,25,False,3PT
26,14,2,False,2PT
-241,89,25,False,3PT
-26,22,3,True,2PT
-241,68,25,False,3PT
-15,25,2,True,2PT
-1,28,2,True,2PT
-15,16,2,True,2PT
120,254,28,False,3PT
-25,18,3,True,2PT
-47,18,5,False,2PT
203,157,25,True,3PT
-102,231,25,False,3PT
1,27,2,False,2PT
9,253,25,False,3PT
-9,138,13,False,2PT
16,24,2,True,2PT
36,251,25,True,3PT
-1,5,0,True,2PT
-4,-1,0,True,2PT
85,264,27,False,3PT
228,-29,22,False,3PT
-17,34,3,False,2PT
-237,29,23,True,3PT
115,29,11,False,2PT
224,-16,22,False,3PT
-36,149,15,False,2PT
10,26,2,False,2PT
-17,15,2,True,2PT
-197,155,25,False,3PT
6,12,1,True,2PT
232,12,23,False,3PT
0,0,0,True,2PT
13,252,25,True,3PT
4,20,2,True,2PT
151,204,25,True,3PT
-6,5,0,True,2PT
-2,173,17,True,2PT
-27,256,25,False,3PT
39,249,25,False,3PT
-37,245,24,True,3PT
-36,264,26,False,3PT
0,0,0,True,2PT
