loc_x,loc_y,shot_distance,shot_made,shot_type
200,153,25,False,3PT
-1,0,0,True,2PT
132,226,26,True,3PT
-229,-11,22,False,3PT
-233,-15,23,False,3PT
51,254,25,True,3PT
-7,13,1,False,2PT
-15,76,7,False,2PT
-6,17,1,False,2PT
15,5,1,True,2PT
-10,16,1,True,2PT
-5,19,1,True,2PT
-10,14,1,True,2PT
-12,19,2,True,2PT
232,81,24,True,3PT
4,35,3,True,2PT
11,5,1,False,2PT
-203,223,30,False,3PT
-229,78,24,True,3PT
125,227,25,False,3PT
-230,89,24,False,3PT
-66,2,6,True,2PT
-149,207,25,False,3PT
-129,208,24,False,3PT
-13,3,1,True,2PT
-12,25,2,True,2PT
230,65,23,False,3PT
9,-1,0,False,2PT
0,11,1,False,2PT
6,7,0,False,2PT
-207,152,25,False,3PT
2,11,1,True,2PT
-11,17,2,True,2PT
179,192,26,False,3PT
-186,171,25,False,3PT
81,248,26,False,3PT
235,26,23,False,3PT
-232,41,23,False,3PT
-13,10,1,True,2PT
-1,13,1,True,2PT
-6,4,0,True,2PT
-102,190,21,True,2PT
-5,6,0,False,2PT
-224,-6,22,False,3PT
-13,6,1,True,2PT
205,147,25,False,3PT
-2,7,0,True,2PT
-228,-11,22,False,3PT
6,37,3,True,2PT
127,10,12,False,2PT
-11,0,1,True,2PT
-105,232,25,False,3PT
-18,63,6,False,2PT
-15,16,2,False,2PT
-233,40,23,False,3PT
13,36,3,True,2PT
-10,1,1,True,2PT
-91,227,24,False,3PT
-229,-16,22,False,3PT
-6,153,15,False,2PT
7,24,2,False,2PT
-228,-23,22,False,3PT
-16,6,1,True,2PT
-92,252,26,False,3PT
-7,7,0,False,2PT
2,258,25,True,3PT
7,6,0,True,2PT
-23,247,24,False,3PT
-18,31,3,True,2PT
-120,222,25,True,3PT
10,15,1,False,2PT
137,210,25,True,3PT
13,9,1,True,2PT
10,14,1,True,2PT
-7,22,2,False,2PT
0,0,0,False,2PT
-224,103,24,True,3PT
6,105,10,False,2PT
6,13,1,True,2PT
9,6,1,True,2PT
-9,8,1,True,2PT
-222,37,22,True,3PT
-228,10,22,True,3PT
123,218,25,False,3PT
11,5,1,True,2PT
-103,109,14,False,2PT
4,8,0,True,2PT
225,54,23,False,3PT
-229,36,23,False,3PT
-10,31,3,False,2PT
