loc_x,loc_y,shot_distance,shot_made,shot_type
1,25,2,False,2PT
-9,5,1,False,2PT
-120,92,15,False,2PT
21,21,2,False,2PT
17,252,25,False,3PT
83,240,25,False,3PT
-60,57,8,True,2PT
-10,6,1,True,2PT
0,0,0,True,2PT
21,16,2,False,2PT
-212,7,21,False,2PT
7,16,1,True,2PT
10,25,2,True,2PT
23,16,2,True,2PT
134,216,25,False,3PT
71,32,7,True,2PT
-18,14,2,False,2PT
1,-3,0,True,2PT
126,226,25,False,3PT
0,65,6,False,2PT
-55,86,10,False,2PT
-17,31,3,True,2PT
49,183,18,True,2PT
225,-8,22,False,3PT
-1,18,1,True,2PT
6,22,2,False,2PT
1,17,1,True,2PT
5,4,0,True,2PT
12,-8,1,True,2PT
-7,52,5,False,2PT
6,57,5,True,2PT
15,21,2,True,2PT
9,14,1,False,2PT
15,7,1,True,2PT
2,74,7,False,2PT
228,1,22,True,3PT
25,4,2,True,2PT
-225,-6,22,False,3PT
-201,151,25,True,3PT
17,27,3,True,2PT
-28,29,4,False,2PT
-16,61,6,False,2PT
-7,43,4,False,2PT
-16,80,8,True,2PT
-9,89,8,False,2PT
6,9,1,True,2PT
-11,5,1,True,2PT
-6,266,26,True,3PT
-12,26,2,False,2PT
98,236,25,True,3PT
-5,7,0,True,2PT
-92,248,26,False,3PT
-4,258,25,False,3PT
2,1,0,False,2PT
-40,10,4,True,2PT
18,10,2,True,2PT
-229,8,22,True,3PT
9,2,0,True,2PT
51,8,5,False,2PT
-10,5,1,True,2PT
-9,13,1,False,2PT
1,17,1,False,2PT
-4,7,0,True,2PT
34,257,25,True,3PT
7,11,1,False,2PT
5,74,7,True,2PT
-88,243,25,False,3PT
5,-1,0,True,2PT
-4,5,0,True,2PT
-5,17,1,False,2PT
-11,17,2,False,2PT
-10,1,1,True,2PT
16,5,1,False,2PT
-18,68,7,False,2PT
-82,5,8,False,2PT
-13,14,1,True,2PT
20,7,2,False,2PT
-13,10,1,True,2PT
6,-3,0,True,2PT
-13,0,1,False,2PT
6,17,1,False,2PT
36,10,3,True,2PT
-175,195,26,False,3PT
-1,1,0,True,2PT
-4,6,0,True,2PT
130,213,24,False,3PT
-12,3,1,False,2PT
-2,13,1,True,2PT
67,31,7,False,2PT
-66,30,7,False,2PT
-126,221,25,False,3PT
9,1,0,True,2PT
-10,-2,1,True,2PT
89,43,9,False,2PT
135,205,24,False,3PT
96,231,25,False,3PT
2,8,0,True,2PT
42,13,4,True,2PT
11,11,1,False,2PT
26,12,2,True,2PT
-16,4,1,False,2PT
-9,-1,0,True,2PT
-107,20,10,False,2PT
-7,104,10,True,2PT
11,50,5,True,2PT
12,-5,1,False,2PT
66,8,6,False,2PT
-11,10,1,True,2PT
60,47,7,False,2PT
17,17,2,True,2PT
-26,27,3,False,2PT
-45,22,5,True,2PT
4,-2,0,False,2PT
-142,218,26,False,3PT
-7,13,1,True,2PT
-4,71,7,False,2PT
-21,89,9,True,2PT
126,222,25,False,3PT
28,44,5,False,2PT
11,4,1,True,2PT
10,6,1,True,2PT
18,1,1,True,2PT
16,18,2,True,2PT
22,16,2,True,2PT
6,73,7,False,2PT
113,94,14,True,2PT
-54,13,5,False,2PT
5,108,10,True,2PT
118,22,12,True,2PT
21,11,2,True,2PT
-21,11,2,False,2PT
228,9,22,False,3PT
-10,109,10,False,2PT
-53,137,14,True,2PT
21,8,2,True,2PT
-229,13,22,True,3PT
9,11,1,True,2PT
92,243,25,True,3PT
12,17,2,True,2PT
0,41,4,True,2PT
11,12,1,True,2PT
2,-9,0,True,2PT
11,8,1,False,2PT
124,227,25,False,3PT
-10,42,4,True,2PT
12,8,1,True,2PT
-5,9,1,True,2PT
235,7,23,True,3PT
-234,15,23,True,3PT
53,102,11,True,2PT
31,128,13,True,2PT
38,93,10,False,2PT
-11,14,1,False,2PT
-6,8,1,True,2PT
72,62,9,True,2PT
0,0,0,True,2PT
-26,17,3,False,2PT
6,-2,0,False,2PT
233,14,23,False,3PT
-2,8,0,False,2PT
-60,244,25,False,3PT
10,-5,1,True,2PT
4,0,0,False,2PT
0,0,0,True,2PT
-11,-10,1,True,2PT
2,-5,0,True,2PT
36,106,11,False,2PT
-222,-12,22,False,3PT
-13,12,1,True,2PT
-11,8,1,True,2PT
9,38,3,False,2PT
-5,23,2,True,2PT
131,226,26,False,3PT
-21,11,2,True,2PT
16,13,2,True,2PT
55,16,5,True,2PT
-12,13,1,False,2PT
-230,-13,23,True,3PT
1,2,0,False,2PT
33,249,25,False,3PT
49,7,4,False,2PT
-33,11,3,False,2PT
-10,-3,1,True,2PT
-12,7,1,True,2PT
-66,186,19,False,2PT
-23,0,2,False,2PT
-18,0,1,True,2PT
-69,210,22,False,2PT
-6,11,1,True,2PT
-4,14,1,True,2PT
-235,71,24,True,3PT
-2,13,1,True,2PT
-12,10,1,True,2PT
9,6,1,True,2PT
5,2,0,True,2PT
13,70,7,True,2PT
16,168,16,True,2PT
-31,43,5,False,2PT
-222,-6,22,False,3PT
175,194,26,False,3PT
25,13,2,False,2PT
69,254,26,False,3PT
7,5,0,True,2PT
-65,149,16,True,2PT
23,7,2,False,2PT
29,102,10,False,2PT
-127,218,25,False,3PT
38,74,8,False,2PT
-1,40,4,False,2PT
-12,11,1,False,2PT
11,4,1,True,2PT
-2,8,0,True,2PT
-5,8,0,True,2PT
-2,11,1,True,2PT
-22,16,2,False,2PT
-132,232,26,False,3PT
38,17,4,False,2PT
-112,37,11,True,2PT
34,98,10,True,2PT
