subject,scope,fga,fg_pct,efg_pct,zones_rated,zones_grey,rated_fga_share_pct,min_zone_fga
Chicago Bulls,Chicago attempts,7417,46.9,54.7,7,5,95.6,400
Matas Buzelis,"Full season, all teams",963,46.3,55.3,7,5,98.0,20
Norman Powell,"Full season, all teams",895,47.0,55.8,9,3,96.8,20
Josh Giddey,"Full season, all teams",717,44.8,52.0,6,6,91.6,20
Tre Jones,"Full season, all teams",617,55.3,58.6,6,6,94.5,20
Nic Claxton,"Full season, all teams",583,57.1,57.4,2,10,92.3,20
Patrick Williams,"Full season, all teams",478,37.2,47.2,7,5,95.6,20
Isaac Okoro,"Full season, all teams",459,46.0,53.9,6,6,97.4,20
Rob Dillingham,"Full season, all teams",412,39.6,44.7,6,6,85.7,20
Jalen Smith,"Full season, all teams",404,48.3,58.4,7,5,97.8,20
Leonard Miller,"Full season, all teams",262,55.3,61.5,5,7,88.5,20
