subject,scope,zone,fga,fgm,fg,lg_fg,fg_rel,fga_share_pct,lg_fga_share_pct,pps,lg_pps,point_value,rated
Chicago Bulls,Chicago attempts,Restricted Area,2612,1651,0.6321,0.6709,-3.8844,35.2164,28.4167,1.2642,1.3419,2,True
Chicago Bulls,Chicago attempts,In The Paint (Non-RA),1188,524,0.4411,0.4452,-0.4082,16.0173,20.2058,0.8822,0.8903,2,True
Chicago Bulls,Chicago attempts,Left Baseline,56,26,0.4643,0.4261,3.8153,0.7550,1.4702,0.9286,0.8523,2,False
Chicago Bulls,Chicago attempts,Left Mid-Range,77,28,0.3636,0.3942,-3.0546,1.0382,2.3371,0.7273,0.7884,2,False
Chicago Bulls,Chicago attempts,Center Mid-Range,78,25,0.3205,0.4260,-10.5529,1.0516,2.2673,0.6410,0.8521,2,False
Chicago Bulls,Chicago attempts,Right Mid-Range,52,21,0.4038,0.4184,-1.4531,0.7011,2.3786,0.8077,0.8368,2,False
Chicago Bulls,Chicago attempts,Right Baseline,67,33,0.4925,0.4276,6.4980,0.9033,1.4140,0.9851,0.8551,2,False
Chicago Bulls,Chicago attempts,Left Corner 3,464,160,0.3448,0.3866,-4.1750,6.2559,5.6160,1.0345,1.1597,3,True
Chicago Bulls,Chicago attempts,Left Wing 3,856,306,0.3575,0.3543,0.3223,11.5411,10.9199,1.0724,1.0628,3,True
Chicago Bulls,Chicago attempts,Top of Key 3,857,308,0.3594,0.3478,1.1569,11.5545,10.2441,1.0782,1.0435,3,True
Chicago Bulls,Chicago attempts,Right Wing 3,696,226,0.3247,0.3482,-2.3460,9.3838,9.5013,0.9741,1.0445,3,True
Chicago Bulls,Chicago attempts,Right Corner 3,414,168,0.4058,0.3857,2.0108,5.5818,5.2291,1.2174,1.1571,3,True
Matas Buzelis,"Full season, all teams",Restricted Area,349,225,0.6447,0.6709,-2.6228,36.2409,28.4167,1.2894,1.3419,2,True
Matas Buzelis,"Full season, all teams",In The Paint (Non-RA),100,40,0.4000,0.4452,-4.5160,10.3842,20.2058,0.8000,0.8903,2,True
Matas Buzelis,"Full season, all teams",Left Baseline,1,0,0.0000,0.4261,-42.6133,0.1038,1.4702,0.0000,0.8523,2,False
Matas Buzelis,"Full season, all teams",Left Mid-Range,4,2,0.5000,0.3942,10.5818,0.4154,2.3371,1.0000,0.7884,2,False
Matas Buzelis,"Full season, all teams",Center Mid-Range,7,3,0.4286,0.4260,0.2530,0.7269,2.2673,0.8571,0.8521,2,False
