# Captured 2026-08-13 for the @chicagobullsdata national-TV history post.
# Grain: one row per Bulls regular-season schedule release.
# Definition: games assigned to the NBA's primary U.S. national partners at schedule release.
# 2010-11 through 2024-25: ABC, ESPN, TNT. 2025-26 onward: ABC, ESPN,
# NBC, NBCSN, Peacock, Prime Video. NBA TV, WGN America, local broadcasts,
# playoffs, and later flex additions/removals are excluded.
# Counts are games, not network labels. A simulcast is counted once.
# 2020-21 is the exception to one release per season: the NBA published the
# pandemic schedule in two halves, so its row combines the original first- and
# second-half announcements (one ESPN game plus two ESPN games).
# The source PDFs named below were archived here until 2026-08-20, when they were removed:
# 24 files, 209 MB, all public documents cited by name and URL. They remain in git history and
# any one can be restored with:  git show 0d4b2fa:<path-to-pdf> > out.pdf
season,abc,espn,tnt,nbc,nbcsn,peacock,prime_video,total,release_type,source_url,secondary_source_url,source_note
2010-11,2,9,7,0,0,0,0,18,full,https://www.nba.com/bulls/news/tvschedule_100902.html,,Official Bulls release lists ABC 2 / ESPN 9 / TNT 7; excludes NBA TV 9 and WGN America 15.
2011-12,5,10,7,0,0,0,0,22,full,https://www.nba.com/bulls/bulls-announce-2011-12-regular-season-schedule-christmas-day-opener.html,,Official Bulls release lists ABC 5 / ESPN 10 / TNT 7; excludes NBA TV 4 and WGN America 10.
2012-13,2,10,7,0,0,0,0,19,full,https://www.nba.com/bulls/news/chicago-bulls-announce-2012-13-schedule.html,,Official Bulls release lists ABC 2 / ESPN 10 / TNT 7; excludes NBA TV 7.
2013-14,5,10,9,0,0,0,0,24,full,https://www.nba.com/bulls/news/bulls-announce-2013-14-television-schedule.html,,Official Bulls release lists ABC 5 / ESPN 10 / TNT 9; excludes NBA TV 9 and WGN America 15.
2014-15,5,10,10,0,0,0,0,25,full,https://www.nba.com/bulls/news/bulls-announce-2014-15-television-schedule,,Official Bulls release lists ABC 5 / ESPN 10 / TNT 10; excludes NBA TV 5 and WGN America 7.
2015-16,5,8,10,0,0,0,0,23,full,https://www.nba.com/bulls/news/chicago-bulls-announce-2015-16-schedule,,Official Bulls release lists ABC 5 / ESPN 8 / TNT 10; excludes NBA TV 9.
2016-17,4,12,9,0,0,0,0,25,full,https://www.nba.com/bulls/news/chicago-bulls-announce-2016-17-schedule,https://pr.nba.com/nba-schedule-2016-17-season/,Official Bulls release lists ABC 4 / ESPN 12 / TNT 9; excludes NBA TV 9.
2017-18,0,1,0,0,0,0,0,1,full,https://www.nba.com/bulls/news/bulls-announce-2017-18-television-schedule,https://www.nba.com/news/2017-18-schedule-required-viewing,Official Bulls TV release assigns 81 games locally; the archived Bulls media-guide schedule and official NBA feature identify the remaining Feb. 10 Minnesota-at-Chicago game on ESPN. Excludes four NBA TV games.
2018-19,0,1,1,0,0,0,0,2,full,https://www.nba.com/bulls/news/bulls-announce-2018-19-television-schedule,https://www.nba.com/news/nba-schedule-2018-19-christmas-day-mlk-day-opening-week-games-official-release,Official Bulls release lists the TNT opener at Philadelphia and one ESPN home game vs. Philadelphia; every other game was assigned locally. A later-flexed ESPN game is excluded.
2019-20,0,1,0,0,0,0,0,1,full,https://www.nba.com/bulls/news/top-10-home-games-2019-20-season,https://www.nba.com/bulls/news/bulls-announce-2019-20-regular-season-schedule,Official Bulls story identifies one scheduled ESPN appearance.
2020-21,0,3,0,0,0,0,0,3,split,https://www.nba.com/bulls/news/chicago-bulls-announce-first-half-regular-season-schedule,https://cdn.nba.com/manage/2021/02/2020-21-SECOND-HALF-SCHEDULE.pdf,The Bulls first-half article announces the split schedule but does not state a national count. The two archived first-party schedule PDFs contain one Bulls ESPN game in the first half and two in the second half.
2021-22,0,4,1,0,0,0,0,5,full,https://www.nba.com/news/nba-releases-schedule-2021-22-season,https://www.nba.com/news/nba-schedule-team-by-team-2021-22,No usable Bulls schedule-release article was found. The archived official Bulls media-guide schedule directly labels four ESPN games and one TNT game; excludes seven NBA TV games and later flex additions.
2022-23,0,7,3,0,0,0,0,10,full,https://www.nba.com/bulls/news/bulls-announce-2022-23-regular-season-schedule,https://www.nba.com/news/nba-unveils-2022-23-regular-season-schedule,Official Bulls release lists ESPN 7 / TNT 3; excludes NBA TV 4. The archived official NBA team schedule reproduces all 10 qualifying rows.
2023-24,0,3,1,0,0,0,0,4,full,https://www.nba.com/bulls/news/chicago-bulls-announce-2023-24-regular-season-schedule,https://cdn.nba.com/teams/uploads/sites/1610612741/2023/08/Bulls_2324_Schedule_230817.pdf,Official Bulls release lists ESPN 3 / TNT 1; excludes NBA TV 3. The dated Bulls schedule PDF reproduces all four qualifying rows.
2024-25,0,2,0,0,0,0,0,2,full,https://www.nba.com/bulls/news/chicago-bulls-announce-2024-25-regular-season-schedule,https://cdn.nba.com/teams/uploads/sites/1610612741/2024/08/Bulls_2425_Schedule_081524.pdf,Official Bulls release lists two ESPN games and three NBA TV games; NBA TV is excluded. The original dated Bulls PDF reproduces both qualifying rows.
2025-26,0,1,0,0,0,1,1,3,full,https://www.nba.com/bulls/news/bulls-announce-2025-26-regular-season-schedule,https://pr.nba.com/wp-content/uploads/sites/46/2025/08/2025-26-NBA-Regular-Season-National-Games-Schedule-8-14-25.pdf,Official Bulls release names three qualifying games: one ESPN / one Peacock / one Prime Video game. The dated NBA national-games PDF independently reproduces them.
2026-27,0,1,0,1,0,1,0,3,full,https://www.nba.com/bulls/news/chicago-bulls-announce-schedule-for-2026-27-regular-season,https://pr.nba.com/wp-content/uploads/sites/46/2026/08/2026-27-NBA-Regular-Season-Schedule-By-Team.pdf,Official Bulls release names three qualifying games: one NBC / one Peacock / one ESPN game. The dated NBA team schedule independently reproduces them; simulcasts count once.
