season,season_label,player_id,player_name,draft_year,draft_round,draft_number,draft_label,draft_caption,games,minutes,mpg,ppg,rpg,apg,spg,bpg,ts_pct_relative,tov_per_game,tov_pct,tov_pct_relative,ts_pct,ws,bpm,net_rating,net_on_off,impact
2026,2025-26,1642950,Lachlan Olbrich,2025,2,55,PK55,"2025, #55 pick",37,344.2216666666667,9.30328828828829,2.4054054054054053,3.027027027027027,1.135135135135135,0.32432432432432434,0.21621621621621623,-11.099999999999998,0.43243243243243246,14.466546112115733,1.312146112115732,0.47,0.5,-3.4,2.3,17.0,
2025,2024-25,1641824,Matas Buzelis,2024,1,11,PK11,"2024, #11 pick",80,1511.295,18.8911875,8.6,3.475,0.9875,0.3625,0.9375,-0.5000000000000004,0.925,10.938331461006328,-2.124068538993672,0.571,1.9,-2.5,-1.7,-1.1,-1.1
2024,2023-24,1641763,Julian Phillips,2023,2,35,PK35,"2023, #35 pick",40,322.55,8.06375,2.225,0.9,0.325,0.175,0.175,-5.899999999999994,0.25,10.486577181208053,-1.8724228187919465,0.521,0.2,-5.3,0.4,-0.2,
2022,2021-22,1630245,Ayo Dosunmu,2021,2,38,PK38,"2021, #38 pick",77,2109.641666666667,27.397943722943726,8.818181818181818,2.779220779220779,3.324675324675325,0.7792207792207793,0.37662337662337664,3.0000000000000027,1.4025974025974026,15.945195771570306,3.914895771570306,0.596,3.0,-2.0,-5.0,-9.6,-9.6
2021,2020-21,1630172,Patrick Williams,2020,1,4,PK4,"2020, #4 pick",71,1983.3566666666663,27.934600938967133,9.225352112676056,4.605633802816901,1.3943661971830985,0.9014084507042254,0.647887323943662,-0.9999999999999898,1.380281690140845,14.390602055800294,1.799402055800293,0.562,2.5,-2.4,-7.1,-13.5,-13.5
2020,2019-20,1629632,Coby White,2019,1,7,PK7,"2019, #7 pick",65,1674.0,25.753846153846155,13.215384615384615,3.5384615384615383,2.6923076923076925,0.7538461538461538,0.09230769230769231,-5.899999999999994,1.676923076923077,11.380721683929169,-0.9508783160708312,0.506,0.9,-2.9,-4.4,-2.8,-2.8
2020,2019-20,1629655,Daniel Gafford,2019,2,38,PK38,"2019, #38 pick",43,609.0533333333333,14.164031007751937,5.116279069767442,2.4651162790697674,0.4883720930232558,0.3023255813953488,1.302325581395349,12.10000000000001,0.6744186046511628,15.311510031678985,2.979910031678985,0.686,1.9,-1.3,-1.9,1.2,
2019,2018-19,1628976,Wendell Carter Jr.,2018,1,7,PK7,"2018, #7 pick",44,1109.8,25.222727272727273,10.340909090909092,6.9772727272727275,1.7727272727272727,0.5909090909090909,1.3181818181818181,-1.9000000000000017,1.4772727272727273,13.394329047148041,1.0679290471480414,0.541,1.9,-1.6,-11.7,-6.6,-6.6
2019,2018-19,1628990,Chandler Hutchison,2018,1,22,PK22,"2018, #22 pick",44,894.615,20.33215909090909,5.204545454545454,4.204545454545454,0.7727272727272727,0.5227272727272727,0.13636363636363635,-5.300000000000004,0.5681818181818182,9.971282705807274,-2.355117294192725,0.507,0.6,-3.9,-5.6,3.8,3.8
2018,2017-18,1628374,Lauri Markkanen,2017,1,7,PK7,"2017, #7 pick",68,2020.02,29.706176470588236,15.191176470588236,7.470588235294118,1.161764705882353,0.5735294117647058,0.5882352941176471,-0.40000000000000036,1.2205882352941178,8.152921299752466,-4.962478700247534,0.552,3.3,-0.2,-9.0,-4.5,-4.5
