season,season_label,player_id,player_name,games,minutes,minutes_per_game,possessions,points,rebounds,assists,steals,blocks,turnovers,field_goal_attempts,free_throw_attempts,net_rating,ppg,points_per_75,pra,pra_per_75,obpm,dbpm,bpm,vorp,ws,ts_pct,qualified_0,qualified_300,qualified_500,qualified_750,qualified_1000,rank_bpm_0,rank_vorp_0,rank_ppg_0,rank_pra_per_75_0,rank_bpm_300,rank_vorp_300,rank_ppg_300,rank_pra_per_75_300,rank_bpm_500,rank_vorp_500,rank_ppg_500,rank_pra_per_75_500,rank_bpm_750,rank_vorp_750,rank_ppg_750,rank_pra_per_75_750,rank_bpm_1000,rank_vorp_1000,rank_ppg_1000,rank_pra_per_75_1000,rim_fga,paint_non_rim_fga,midrange_fga,left_corner_three_fga,right_corner_three_fga,above_break_three_fga,backcourt_fga,three_fga,shot_zone_fga,rim_attempt_share,three_attempt_share,team_wins,team_losses,team_games,previous_team_wins,previous_team_games,team_win_change,team_win_pct,previous_team_win_pct,team_win_pct_change,rank_ws_0,rank_ws_300,rank_ws_500,rank_ws_750,rank_ws_1000,rpg,apg,mpg,ts_pct_relative,pra_total,pra_pg,key,net_on_off,impact,draft_year,draft_number,draft_caption,rank
2015,2014-15,202703,Nikola Mirotic,82,1654.121666666667,20.172215447154475,3256,833,404,97,54,54,89,624,284,5.0,10.158536585365852,19.18765356265356,1334,30.72788697788698,1.4,1.0,2.3,1.8,5.7,0.556,True,True,True,True,True,2.0,1.0,8.0,2.0,1.0,1.0,8.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,8.0,1.0,182,34,95,48.0,46.0,218,1.0,313.0,624.0,0.2916666666666667,0.5016025641025641,50,32,82,48.0,82.0,2.0,0.6097560975609756,0.5853658536585366,0.024390243902439,1.0,1.0,1.0,1.0,1.0,4.926829268292683,1.1829268292682926,20.172215447154475,2.200000000000002,1334,16.26829268292683,nikola mirotic,4.0,4.0,2011,23,"2011, #23 pick",1
2005,2004-05,2732,Ben Gordon,82,2013.0933333333332,24.54991869918699,3991,1235,215,164,53,10,186,1056,270,4.2,15.060975609756095,23.208469055374593,1614,30.330744174392382,1.0,-0.3,0.7,1.4,3.5,0.526,True,True,True,True,True,5.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,185,147,393,42.0,54.0,233,2.0,331.0,1056.0,0.1751893939393939,0.3134469696969697,47,35,82,23.0,82.0,24.0,0.573170731707317,0.2804878048780488,0.2926829268292682,7.0,7.0,7.0,7.0,7.0,2.6219512195121952,2.0,24.54991869918699,-0.340559133995022,1614,19.682926829268293,ben gordon,4.6,4.6,2004,3,"2004, #3 pick",2
2018,2017-18,1628374,Lauri Markkanen,68,2020.02,29.706176470588236,4183,1033,508,79,39,40,83,862,166,-9.0,15.191176470588236,18.52139612718145,1620,29.0461391345924,1.0,-1.2,-0.2,0.9,3.3,0.552,True,True,True,True,True,9.0,5.0,2.0,5.0,5.0,5.0,2.0,3.0,4.0,5.0,2.0,3.0,4.0,5.0,2.0,3.0,4.0,5.0,2.0,3.0,236,79,146,27.0,21.0,352,1.0,401.0,862.0,0.2737819025522042,0.4651972157772622,27,55,82,41.0,82.0,-14.0,0.3292682926829268,0.5,-0.1707317073170731,8.0,8.0,8.0,8.0,8.0,7.470588235294118,1.161764705882353,29.706176470588236,-0.40000000000000036,1620,23.823529411764707,lauri markkanen,-4.5,-4.5,2017,7,"2017, #7 pick",3
2009,2008-09,201565,Derrick Rose,81,3000.048333333333,37.03763374485597,5907,1361,317,512,66,18,202,1208,250,-1.8,16.80246913580247,17.28034535297105,2190,27.80599288979177,1.1,-1.5,-0.4,1.2,4.9,0.516,True,True,True,True,True,11.0,4.0,1.0,7.0,7.0,4.0,1.0,5.0,6.0,4.0,1.0,5.0,6.0,4.0,1.0,4.0,6.0,4.0,1.0,4.0,484,130,522,4.0,6.0,55,7.0,72.0,1208.0,0.4006622516556291,0.0596026490066225,41,41,82,33.0,82.0,8.0,0.5,0.4024390243902439,0.097560975609756,2.0,2.0,2.0,2.0,2.0,3.9135802469135803,6.320987654320987,37.03763374485597,-2.8384860318264926,2190,27.037037037037038,derrick rose,-8.0,-8.0,2008,1,"2008, #1 pick",4
2016,2015-16,1626171,Bobby Portis Jr.,62,1102.08,17.77548387096774,2234,436,337,52,25,22,54,436,66,-7.6,7.032258064516129,14.637421665174577,825,27.69695613249776,-1.5,-1.8,-3.3,-0.4,1.5,0.469,True,True,True,True,True,36.0,62.0,18.0,9.0,27.0,34.0,18.0,6.0,25.0,27.0,17.0,6.0,24.0,23.0,17.0,5.0,19.0,17.0,17.0,5.0,157,76,151,7.0,1.0,43,1.0,52.0,436.0,0.360091743119266,0.1192660550458715,42,40,82,50.0,82.0,-8.0,0.5121951219512195,0.6097560975609756,-0.097560975609756,21.0,21.0,21.0,20.0,18.0,5.435483870967742,0.8387096774193549,17.77548387096774,-7.200000000000006,825,13.306451612903226,bobby portis,-8.6,-8.6,2015,22,"2015, #22 pick",5
2019,2018-19,1628976,Wendell Carter Jr.,44,1109.8,25.222727272727273,2282,455,307,78,26,58,65,371,112,-11.7,10.340909090909092,14.95398773006135,840,27.607361963190183,-2.2,0.6,-1.6,0.1,1.9,0.541,True,True,True,True,True,18.0,11.0,7.0,10.0,13.0,11.0,7.0,7.0,11.0,10.0,7.0,7.0,10.0,10.0,7.0,6.0,9.0,9.0,7.0,6.0,163,85,91,10.0,4.0,18,0.0,32.0,371.0,0.4393530997304582,0.0862533692722372,22,60,82,27.0,82.0,-5.0,0.2682926829268293,0.3292682926829268,-0.0609756097560975,15.0,15.0,15.0,15.0,13.0,6.9772727272727275,1.7727272727272727,25.222727272727273,-1.9000000000000017,840,19.09090909090909,wendell carter,-6.6,-6.6,2018,7,"2018, #7 pick",6
2005,2004-05,2736,Luol Deng,61,1661.07,27.23065573770492,3277,711,322,135,48,27,118,645,162,5.2,11.655737704918034,16.27250534025023,1168,26.731766859932865,0.2,1.0,1.2,1.3,3.0,0.496,True,True,True,True,True,4.0,3.0,6.0,12.0,2.0,3.0,6.0,8.0,2.0,3.0,6.0,8.0,2.0,3.0,6.0,7.0,2.0,3.0,6.0,7.0,230,66,232,16.0,31.0,70,0.0,117.0,645.0,0.3565891472868217,0.1813953488372093,47,35,82,23.0,82.0,24.0,0.573170731707317,0.2804878048780488,0.2926829268292682,9.0,9.0,9.0,9.0,9.0,5.278688524590164,2.2131147540983607,27.230655737704918,-3.3405591339950247,1168,19.147540983606557,luol deng,6.3,6.3,2004,7,"2004, #7 pick",7
2020,2019-20,1629632,Coby White,65,1674.0,25.753846153846155,3573,859,230,175,49,6,109,792,129,-4.4,13.215384615384616,18.03106633081444,1264,26.532325776658272,-1.3,-1.6,-2.9,-0.4,0.9,0.506,True,True,True,True,True,34.0,62.0,4.0,14.0,26.0,34.0,4.0,10.0,24.0,27.0,4.0,9.0,23.0,23.0,4.0,8.0,18.0,17.0,4.0,8.0,228,78,110,41.0,15.0,319,1.0,376.0,792.0,0.2878787878787879,0.4747474747474747,22,43,65,22.0,82.0,,0.3384615384615385,0.2682926829268293,0.0701688555347092,25.0,25.0,23.0,22.0,20.0,3.5384615384615383,2.6923076923076925,25.753846153846155,-5.899999999999994,1264,19.446153846153845,coby white,-2.8,-2.8,2019,7,"2019, #7 pick",8
2001,2000-01,2033,Marcus Fizer,72,1581.3533333333332,21.96324074074074,3033,683,313,76,30,19,124,646,161,-13.1,9.48611111111111,16.88921859545005,1072,26.508407517309596,-3.3,-2.8,-6.1,-1.6,-0.7,0.476,True,True,True,True,True,60.0,76.0,10.0,15.0,45.0,46.0,10.0,11.0,37.0,38.0,10.0,10.0,32.0,32.0,10.0,9.0,23.0,23.0,10.0,9.0,213,122,272,0.0,4.0,33,2.0,39.0,646.0,0.3297213622291021,0.0603715170278637,15,67,82,17.0,82.0,-2.0,0.1829268292682926,0.2073170731707317,-0.024390243902439,74.0,45.0,37.0,31.0,22.0,4.347222222222222,1.0555555555555556,21.96324074074074,-4.185674254031246,1072,14.88888888888889,marcus fizer,-6.2,-6.2,2000,4,"2000, #4 pick",9
2002,2001-02,2201,Eddy Curry,72,1150.7783333333334,15.983032407407409,2238,483,272,25,16,53,69,377,160,-10.6,6.708333333333333,16.18632707774799,780,26.13941018766756,-2.4,-1.9,-4.4,-0.7,1.8,0.54,True,True,True,True,True,48.0,74.0,19.0,17.0,37.0,44.0,19.0,13.0,33.0,36.0,18.0,12.0,29.0,31.0,18.0,11.0,21.0,22.0,18.0,10.0,248,61,68,0.0,0.0,0,0.0,0.0,377.0,0.6578249336870027,0.0,21,61,82,15.0,82.0,6.0,0.2560975609756097,0.1829268292682926,0.073170731707317,18.0,18.0,18.0,17.0,15.0,3.7777777777777777,0.3472222222222222,15.983032407407409,1.97102512042312,780,10.833333333333334,eddy curry,-2.9,-2.9,2001,4,"2001, #4 pick",10
