season,season_label,player_id,player_name,games,minutes,minutes_per_game,possessions,points,rebounds,assists,steals,blocks,turnovers,field_goal_attempts,free_throw_attempts,net_rating,ppg,points_per_75,pra,pra_per_75,obpm,dbpm,bpm,vorp,ws,ts_pct,qualified_0,qualified_300,qualified_500,qualified_750,qualified_1000,rank_bpm_0,rank_vorp_0,rank_ppg_0,rank_pra_per_75_0,rank_bpm_300,rank_vorp_300,rank_ppg_300,rank_pra_per_75_300,rank_bpm_500,rank_vorp_500,rank_ppg_500,rank_pra_per_75_500,rank_bpm_750,rank_vorp_750,rank_ppg_750,rank_pra_per_75_750,rank_bpm_1000,rank_vorp_1000,rank_ppg_1000,rank_pra_per_75_1000,rim_fga,paint_non_rim_fga,midrange_fga,left_corner_three_fga,right_corner_three_fga,above_break_three_fga,backcourt_fga,three_fga,shot_zone_fga,rim_attempt_share,three_attempt_share,team_wins,team_losses,team_games,previous_team_wins,previous_team_games,team_win_change,team_win_pct,previous_team_win_pct,team_win_pct_change,rank_ws_0,rank_ws_300,rank_ws_500,rank_ws_750,rank_ws_1000
2001,2000-01,2033,Marcus Fizer,72,1581.3533333333332,21.96324074074074,3033,683,313,76,30,19,124,646,161,-13.1,9.48611111111111,16.88921859545005,1072,26.508407517309596,-3.3,-2.8,-6.1,-1.6,-0.7,0.476,True,True,True,True,True,60.0,76.0,10.0,15.0,45.0,46.0,10.0,11.0,37.0,38.0,10.0,10.0,32.0,32.0,10.0,9.0,23.0,23.0,10.0,9.0,213,122,272,0.0,4.0,33,2.0,39.0,646.0,0.32972136222910214,0.06037151702786378,15,67,82,17.0,82.0,-2.0,0.18292682926829268,0.2073170731707317,-0.02439024390243902,74.0,45.0,37.0,31.0,22.0
2001,2000-01,2037,Jamal Crawford,61,1046.621666666667,17.157732240437163,2028,282,89,141,43,14,85,304,34,-12.4,4.622950819672131,10.428994082840237,512,18.93491124260355,-2.9,-1.5,-4.4,-0.6,-0.9,0.442,True,True,True,True,True,48.0,72.0,34.0,54.0,37.0,42.0,32.0,39.0,33.0,34.0,31.0,34.0,29.0,30.0,28.0,29.0,21.0,21.0,22.0,22.0,41,25,121,3.0,5.0,108,1.0,117.0,304.0,0.13486842105263158,0.3848684210526316,15,67,82,17.0,82.0,-2.0,0.18292682926829268,0.2073170731707317,-0.02439024390243902,76.0,46.0,38.0,32.0,23.0
2001,2000-01,2064,Khalid El-Amin,50,935.335,18.7067,1792,314,81,145,48,2,54,311,72,-9.3,6.28,13.141741071428571,540,22.600446428571427,-1.7,-0.7,-2.4,-0.1,0.6,0.458,True,True,True,True,False,27.0,34.0,21.0,32.0,19.0,19.0,21.0,24.0,17.0,17.0,20.0,21.0,16.0,16.0,20.0,19.0,,,,,82,35,111,9.0,2.0,72,0.0,83.0,311.0,0.26366559485530544,0.26688102893890675,15,67,82,17.0,82.0,-2.0,0.18292682926829268,0.2073170731707317,-0.02439024390243902,31.0,31.0,29.0,26.0,
2001,2000-01,2062,A.J. Guyton,33,628.5383333333333,19.04661616161616,1173,198,36,64,9,5,24,192,18,-11.0,6.0,12.659846547314578,298,19.053708439897697,-0.8,-3.2,-4.0,-0.3,0.3,0.495,True,True,True,False,False,43.0,56.0,24.0,52.0,34.0,29.0,24.0,38.0,31.0,25.0,23.0,33.0,,,,,,,,,15,9,99,11.0,8.0,50,0.0,69.0,192.0,0.078125,0.359375,15,67,82,17.0,82.0,-2.0,0.18292682926829268,0.2073170731707317,-0.02439024390243902,39.0,38.0,35.0,,
2001,2000-01,1434,Dragan Tarlac,43,599.0566666666666,13.931550387596898,1149,103,122,31,7,19,38,99,33,-15.5,2.395348837209302,6.723237597911227,256,16.710182767624023,-6.2,-1.1,-7.3,-0.8,-0.2,0.454,True,True,True,False,False,64.0,75.0,53.0,63.0,46.0,45.0,43.0,44.0,38.0,37.0,38.0,38.0,,,,,,,,,25,39,35,0.0,0.0,0,0.0,0.0,99.0,0.25252525252525254,0.0,15,67,82,17.0,82.0,-2.0,0.18292682926829268,0.2073170731707317,-0.02439024390243902,72.0,43.0,36.0,,
2001,2000-01,2053,Dalibor Bagaric,35,259.945,7.427,516,47,56,10,9,16,21,65,28,-9.2,1.3428571428571427,6.8313953488372094,113,16.424418604651162,-8.9,-1.2,-10.0,-0.5,-0.7,0.304,True,False,False,False,False,72.0,68.0,69.0,64.0,,,,,,,,,,,,,,,,,24,17,23,1.0,0.0,0,,1.0,65.0,0.36923076923076925,0.015384615384615385,15,67,82,17.0,82.0,-2.0,0.18292682926829268,0.2073170731707317,-0.02439024390243902,74.0,,,,
2001,2000-01,2063,Jake Voskuhl,16,143.96166666666667,8.997604166666667,275,30,34,5,5,6,12,25,14,-21.0,1.875,8.181818181818182,69,18.818181818181817,-8.7,-1.2,-9.9,-0.3,0.0,0.481,True,False,False,False,False,71.0,56.0,62.0,55.0,,,,,,,,,,,,,,,,,13,9,3,0.0,0.0,0,0.0,0.0,25.0,0.52,0.0,15,67,82,17.0,82.0,-2.0,0.18292682926829268,0.2073170731707317,-0.02439024390243902,52.0,,,,
2001,2000-01,1864,Steve Goodrich,12,131.85166666666666,10.987638888888888,240,19,21,6,2,1,8,18,7,-3.3,1.5833333333333333,5.9375,46,14.375,-4.9,-2.6,-7.5,-0.2,-0.1,0.451,True,False,False,False,False,67.0,47.0,68.0,70.0,,,,,,,,,,,,,,,,,11,1,3,0.0,1.0,2,0.0,3.0,18.0,0.6111111111111112,0.16666666666666666,15,67,82,17.0,82.0,-2.0,0.18292682926829268,0.2073170731707317,-0.02439024390243902,64.0,,,,
2002,2001-02,2239,Trenton Hassell,78,2235.5783333333334,28.661260683760684,4281,681,255,172,55,44,101,628,114,-10.6,8.73076923076923,11.93062368605466,1108,19.41135248773651,-1.7,-1.0,-2.7,-0.4,1.5,0.502,True,True,True,True,True,33.0,62.0,14.0,49.0,25.0,34.0,14.0,36.0,23.0,27.0,14.0,31.0,22.0,23.0,14.0,27.0,17.0,17.0,14.0,21.0,152,41,271,24.0,10.0,127,3.0,164.0,628.0,0.24203821656050956,0.2611464968152866,21,61,82,15.0,82.0,6.0,0.25609756097560976,0.18292682926829268,0.07317073170731708,21.0,21.0,21.0,20.0,18.0
2002,2001-02,2199,Tyson Chandler,71,1392.8166666666666,19.617136150234742,2734,436,343,54,28,93,99,304,222,-7.1,6.140845070422535,11.960497439648867,833,22.851133869787855,-3.3,-0.2,-3.5,-0.5,1.8,0.543,True,True,True,True,True,40.0,68.0,23.0,30.0,31.0,39.0,23.0,23.0,28.0,31.0,22.0,20.0,26.0,27.0,22.0,18.0,20.0,20.0,20.0,17.0,205,43,56,0.0,0.0,0,0.0,0.0,304.0,0.6743421052631579,0.0,21,61,82,15.0,82.0,6.0,0.25609756097560976,0.18292682926829268,0.07317073170731708,18.0,18.0,18.0,17.0,15.0
