season_label,player_id,onoff_player_name,minutes_on,net_rating_on,minutes_off,net_rating_off,net_rating_on_off
2007-08,200769,"Brown, Shannon",22.0,-46.1,1370.0,-2.8,-43.300000000000004
2007-08,2736,"Deng, Luol",2128.0,-3.6,1833.0,-2.4,-1.2000000000000002
2007-08,2768,"Duhon, Chris",1490.0,-1.9,2471.0,-3.5,1.6
2007-08,201242,"Gardner, Thomas",45.0,-8.4,728.0,-5.3,-3.1000000000000005
2007-08,2400,"Gooden, Drew",558.0,-5.5,834.0,-1.5,-4.0
2007-08,2732,"Gordon, Ben",2291.0,-5.5,1670.0,0.4,-5.9
2007-08,201189,"Gray, Aaron",613.0,-0.6,3348.0,-3.3,2.6999999999999997
2007-08,1559,"Griffin, Adrian",222.0,3.0,2347.0,-3.4,6.4
2007-08,2550,"Hinrich, Kirk",2380.0,-2.5,1581.0,-3.3,0.7999999999999998
2007-08,1716,"Hughes, Larry",810.0,-4.6,582.0,-2.2,-2.3999999999999995
2007-08,2751,"Khryapa, Viktor",105.0,5.0,2315.0,-3.2,8.2
2007-08,201193,"Nichols, Demetris",30.0,-24.2,3158.0,-2.3,-21.9
2007-08,201149,"Noah, Joakim",1534.0,-0.4,2427.0,-4.6,4.199999999999999
2007-08,2804,"Nocioni, Andres",2021.0,-2.3,1940.0,-3.7,1.4000000000000004
2007-08,200757,"Sefolosha, Thabo",1436.0,-2.8,2525.0,-3.2,0.40000000000000036
2007-08,200759,"Simmons, Cedric",19.0,-28.2,1373.0,-3.0,-25.2
2007-08,693,"Smith, Joe",1146.0,-3.2,1423.0,-2.2,-1.0
2007-08,200748,"Thomas, Tyrus",1330.0,-0.7,2631.0,-4.2,3.5
2007-08,1112,"Wallace, Ben",1627.0,-4.3,942.0,-1.0,-3.3
2008-09,2736,"Deng, Luol",1665.0,-0.6,2321.0,0.3,-0.8999999999999999
2008-09,2400,"Gooden, Drew",918.0,-4.6,1709.0,0.2,-4.8
2008-09,2732,"Gordon, Ben",2999.0,0.1,987.0,-1.2,1.3
2008-09,201189,"Gray, Aaron",715.0,-3.1,3271.0,0.7,-3.8
2008-09,2550,"Hinrich, Kirk",1339.0,7.5,2647.0,-4.5,12.0
2008-09,1716,"Hughes, Larry",792.0,-4.2,1835.0,0.0,-4.2
2008-09,283,"Hunter, Lindsey",266.0,-8.3,3336.0,0.6,-8.9
2008-09,2669,"Johnson, Linton",42.0,-17.4,731.0,3.7,-21.099999999999998
2008-09,1802,"Miller, Brad",746.0,6.4,613.0,-2.7,9.100000000000001
2008-09,201193,"Nichols, Demetris",5.0,92.9,475.0,-0.5,93.4
2008-09,201149,"Noah, Joakim",1938.0,2.1,2048.0,-2.1,4.2
2008-09,2804,"Nocioni, Andres",1278.0,2.7,1349.0,-5.5,8.2
2008-09,101194,"Roberson, Anthony",23.0,2.7,1336.0,2.0,0.7000000000000002
2008-09,201565,"Rose, Derrick",3000.0,-1.8,986.0,5.8,-7.6
2008-09,2422,"Salmons, John",979.0,-0.3,380.0,6.6,-6.8999999999999995
