season,season_label,player_id,player_name,team_id,team_abbreviation,age,nickname,restricted_area_fgm,restricted_area_fga,restricted_area_fg_pct,in_the_paint_non_ra_fgm,in_the_paint_non_ra_fga,in_the_paint_non_ra_fg_pct,mid_range_fgm,mid_range_fga,mid_range_fg_pct,left_corner_3_fgm,left_corner_3_fga,left_corner_3_fg_pct,right_corner_3_fgm,right_corner_3_fga,right_corner_3_fg_pct,above_the_break_3_fgm,above_the_break_3_fga,above_the_break_3_fg_pct,backcourt_fgm,backcourt_fga,backcourt_fg_pct,corner_3_fgm,corner_3_fga,corner_3_fg_pct
2001,2000-01,2062,A.J. Guyton,1610612741,CHI,23.0,A.J.,9,15,0.6,5,9,0.556,37,99,0.374,4.0,11.0,0.364,3.0,8.0,0.375,20,50,0.4,0.0,0.0,0.0,7.0,19.0,0.368
2001,2000-01,2053,Dalibor Bagaric,1610612741,CHI,20.0,Dalibor,9,24,0.375,6,17,0.353,2,23,0.087,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,,,,0.0,1.0,0.0
2001,2000-01,1434,Dragan Tarlac,1610612741,CHI,28.0,Dragan,12,25,0.48,18,39,0.462,9,35,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,2000-01,2063,Jake Voskuhl,1610612741,CHI,23.0,Jake,8,13,0.615,2,9,0.222,1,3,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,2000-01,2037,Jamal Crawford,1610612741,CHI,21.0,Jamal,16,41,0.39,8,25,0.32,42,121,0.347,1.0,3.0,0.333,3.0,5.0,0.6,37,108,0.343,0.0,1.0,0.0,4.0,8.0,0.5
2001,2000-01,2064,Khalid El-Amin,1610612741,CHI,22.0,Khalid,29,82,0.354,11,35,0.314,48,111,0.432,2.0,9.0,0.222,1.0,2.0,0.5,24,72,0.333,0.0,0.0,0.0,3.0,11.0,0.273
2001,2000-01,2033,Marcus Fizer,1610612741,CHI,22.0,Marcus,129,213,0.606,42,122,0.344,97,272,0.357,0.0,0.0,0.0,1.0,4.0,0.25,9,33,0.273,0.0,2.0,0.0,1.0,4.0,0.25
2001,2000-01,1864,Steve Goodrich,1610612741,CHI,25.0,Steve,5,11,0.455,0,1,0.0,1,3,0.333,0.0,0.0,0.0,1.0,1.0,1.0,0,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2002,2001-02,2201,Eddy Curry,1610612741,CHI,19.0,Eddy,149,248,0.601,16,61,0.262,24,68,0.353,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,2001-02,2369,Norman Richardson,1610612741,CHI,24.0,Norman,4,8,0.5,0,0,0.0,2,7,0.286,1.0,3.0,0.333,2.0,4.0,0.5,1,1,1.0,,,,3.0,7.0,0.429
2002,2001-02,2239,Trenton Hassell,1610612741,CHI,23.0,Trenton,92,152,0.605,16,41,0.39,99,271,0.365,6.0,24.0,0.25,3.0,10.0,0.3,51,127,0.402,0.0,3.0,0.0,9.0,34.0,0.265
2002,2001-02,2199,Tyson Chandler,1610612741,CHI,19.0,Tyson,117,205,0.571,13,43,0.302,21,56,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2002-03,2398,Jay Williams,1610612741,CHI,21.0,Jay,111,210,0.529,41,101,0.406,56,172,0.326,6.0,19.0,0.316,10.0,25.0,0.4,49,158,0.31,0.0,0.0,0.0,16.0,44.0,0.364
2003,2002-03,2437,Lonny Baxter,1610612741,CHI,24.0,Lonny,75,133,0.564,15,46,0.326,6,25,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2002-03,2427,Roger Mason Jr.,1610612741,CHI,22.0,Roger,0,0,0.0,0,3,0.0,5,10,0.5,0.0,0.0,0.0,4.0,6.0,0.667,2,12,0.167,,,,4.0,6.0,0.667
2004,2003-04,2550,Kirk Hinrich,1610612741,CHI,23.0,Kirk,73,176,0.415,36,77,0.468,65,202,0.322,18.0,47.0,0.383,12.0,24.0,0.5,114,296,0.385,0,1,0.0,30.0,71.0,0.423
2004,2003-04,2669,Linton Johnson,1610612741,CHI,24.0,Linton,39,66,0.591,2,16,0.125,24,88,0.273,1.0,5.0,0.2,2.0,8.0,0.25,4,19,0.211,0,1,0.0,3.0,13.0,0.231
2004,2003-04,2648,Ronald Dupree,1610612741,CHI,23.0,Ronald,55,107,0.514,16,33,0.485,36,133,0.271,2.0,4.0,0.5,2.0,4.0,0.5,0,1,0.0,0,0,0.0,4.0,8.0,0.5
2005,2004-05,2804,Andres Nocioni,1610612741,CHI,25.0,Andres,95,185,0.514,44,112,0.393,77,207,0.372,0.0,5.0,0.0,12.0,31.0,0.387,13,61,0.213,0,0,0.0,12.0,36.0,0.333
2005,2004-05,2732,Ben Gordon,1610612741,CHI,22.0,Ben,75,185,0.405,69,147,0.469,156,393,0.397,20.0,42.0,0.476,26.0,54.0,0.481,88,233,0.378,0,2,0.0,46.0,96.0,0.479
2005,2004-05,2768,Chris Duhon,1610612741,CHI,22.0,Chris,48,130,0.369,19,48,0.396,12,46,0.261,10.0,23.0,0.435,5.0,16.0,0.313,78,224,0.348,0,1,0.0,15.0,39.0,0.385
2005,2004-05,2876,Jared Reiner,1610612741,CHI,23.0,Jared,3,10,0.3,2,6,0.333,5,14,0.357,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2005,2004-05,2736,Luol Deng,1610612741,CHI,20.0,Luol,145,230,0.63,19,66,0.288,85,232,0.366,5.0,16.0,0.313,11.0,31.0,0.355,15,70,0.214,0,0,0.0,16.0,47.0,0.34
2006,2005-06,101188,Eddie Basden,1610612741,CHI,23.0,Eddie,12,20,0.6,0,4,0.0,2,6,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0,4,0.0,,,,1.0,3.0,0.333
2006,2005-06,101195,Luke Schenscher,1610612741,CHI,24.0,Luke,9,12,0.75,6,12,0.5,1,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,,,0.0,0.0,0.0
2006,2005-06,2450,Randy Holcomb,1610612741,CHI,26.0,Randy,0,0,0.0,0,0,0.0,1,1,1.0,0.0,0.0,0.0,,,,0,0,0.0,,,,0.0,0.0,0.0
2006,2005-06,101211,Stephen Graham,1610612739,CLE,24.0,Stephen,0,0,0.0,0,0,0.0,0,1,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0,2,0.0,,,,1.0,2.0,0.5
2007,2006-07,200757,Thabo Sefolosha,1610612741,CHI,23.0,Thabo,48,87,0.552,8,21,0.381,38,106,0.358,4.0,8.0,0.5,4.0,7.0,0.571,7,27,0.259,0,0,0.0,8.0,15.0,0.533
2007,2006-07,200748,Tyrus Thomas,1610612741,CHI,20.0,Tyrus,111,185,0.6,8,32,0.25,15,63,0.238,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0.0,0,0,0.0,0.0,1.0,0.0
2008,2007-08,201189,Aaron Gray,1610612741,CHI,23.0,Aaron,67,120,0.558,27,57,0.474,9,27,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2007-08,201193,Demetris Nichols,1610612741,CHI,23.0,Demetris,1,1,1.0,0,0,0.0,1,4,0.25,1.0,2.0,0.5,1.0,1.0,1.0,1,7,0.143,,,,2.0,3.0,0.667
2008,2007-08,201149,Joakim Noah,1610612741,CHI,23.0,Joakim,155,276,0.562,17,54,0.315,5,36,0.139,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2007-08,201242,Thomas Gardner,1610612741,CHI,23.0,Thomas,2,4,0.5,1,2,0.5,3,5,0.6,1.0,2.0,0.5,1.0,1.0,1.0,1,9,0.111,,,,2.0,3.0,0.667
2009,2008-09,201565,Derrick Rose,1610612741,CHI,20.0,Derrick,279,484,0.576,47,130,0.362,232,522,0.444,0.0,4.0,0.0,3.0,6.0,0.5,13,55,0.236,0,7,0.0,3.0,10.0,0.3
2010,2009-10,201949,James Johnson,1610612741,CHI,23.0,James,63,105,0.6,4,13,0.308,13,46,0.283,5.0,12.0,0.417,5.0,10.0,0.5,5,23,0.217,0,1,0.0,10.0,22.0,0.455
2010,2009-10,201959,Taj Gibson,1610612741,CHI,25.0,Taj,176,305,0.577,42,91,0.462,93,233,0.399,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2011,2010-11,201600,Omer Asik,1610612741,CHI,24.0,Omer,75,135,0.556,2,5,0.4,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2012,2011-12,202710,Jimmy Butler III,1610612741,CHI,22.0,Jimmy,18,34,0.529,2,10,0.2,10,24,0.417,1.0,2.0,0.5,0.0,1.0,0.0,1,8,0.125,0,0,0.0,1.0,3.0,0.333
2013,2012-13,203104,Marquis Teague,1610612741,CHI,20.0,Marquis,24,49,0.49,5,13,0.385,10,28,0.357,1.0,1.0,1.0,0.0,1.0,0.0,3,21,0.143,0,0,0.0,1.0,2.0,0.5
2014,2013-14,203513,Erik Murphy,1610612741,CHI,23.0,Erik,1,1,1.0,1,4,0.25,1,5,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0,2,0.0,0,0,0.0,0.0,1.0,0.0
2014,2013-14,203503,Tony Snell,1610612741,CHI,22.0,Tony,30,61,0.492,15,31,0.484,27,66,0.409,8.0,20.0,0.4,6.0,26.0,0.231,43,132,0.326,0,0,0.0,14.0,46.0,0.304
2015,2014-15,203946,Cameron Bairstow,1610612741,CHI,24.0,Cameron,1,5,0.2,0,1,0.0,2,8,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2015,2014-15,203926,Doug McDermott,1610612741,CHI,23.0,Doug,24,44,0.545,1,8,0.125,5,14,0.357,1.0,4.0,0.25,1.0,3.0,0.333,11,34,0.324,0,0,0.0,2.0,7.0,0.286
2015,2014-15,202703,Nikola Mirotic,1610612741,CHI,24.0,Nikola,111,182,0.61,6,34,0.176,37,95,0.389,16.0,48.0,0.333,16.0,46.0,0.348,67,218,0.307,0,1,0.0,32.0,94.0,0.34
2016,2015-16,1626171,Bobby Portis Jr.,1610612741,CHI,21.0,Bobby,89,157,0.567,28,76,0.368,53,151,0.351,0.0,7.0,0.0,0.0,1.0,0.0,16,43,0.372,0,1,0.0,0.0,8.0,0.0
2016,2015-16,1626245,Cristiano Felicio,1610612741,CHI,23.0,Cristiano,30,46,0.652,0,4,0.0,10,18,0.556,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,0,0,0.0,0.0,0.0,0.0
2017,2016-17,1627756,Denzel Valentine,1610612741,CHI,23.0,Denzel,12,24,0.5,8,29,0.276,9,27,0.333,18.0,32.0,0.563,10.0,34.0,0.294,45,141,0.319,0,1,0.0,28.0,66.0,0.424
