season,season_label,team_wins,team_losses,team_games
2000,1999-00,17,65,82
2001,2000-01,15,67,82
2002,2001-02,21,61,82
2003,2002-03,30,52,82
2004,2003-04,23,59,82
2005,2004-05,47,35,82
2006,2005-06,41,41,82
2007,2006-07,49,33,82
2008,2007-08,33,49,82
2009,2008-09,41,41,82
2010,2009-10,41,41,82
2011,2010-11,62,20,82
2012,2011-12,50,16,66
2013,2012-13,45,37,82
2014,2013-14,48,34,82
2015,2014-15,50,32,82
2016,2015-16,42,40,82
2017,2016-17,41,41,82
2018,2017-18,27,55,82
2019,2018-19,22,60,82
2020,2019-20,22,43,65
2021,2020-21,31,41,72
2022,2021-22,46,36,82
2023,2022-23,40,42,82
2024,2023-24,39,43,82
2025,2024-25,39,43,82
2026,2025-26,31,51,82
