season,season_label,league_rookie_tov_pct
2001,2000-01,14.7944
2002,2001-02,14.5883
2003,2002-03,15.1315
2004,2003-04,13.9595
2005,2004-05,14.5278
2006,2005-06,14.9721
2007,2006-07,13.3685
2008,2007-08,14.1467
2009,2008-09,13.6863
2010,2009-10,13.2287
2011,2010-11,13.5297
2012,2011-12,13.8587
2013,2012-13,12.9459
2014,2013-14,15.8114
2015,2014-15,13.9276
2016,2015-16,12.7551
2017,2016-17,14.0934
2018,2017-18,13.1154
2019,2018-19,12.3264
2020,2019-20,12.3316
2021,2020-21,12.5912
2022,2021-22,12.0303
2023,2022-23,11.709
2024,2023-24,12.359
2025,2024-25,13.0624
2026,2025-26,13.1544
