season,season_label,player_id,player_name,games,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goal_attempts,free_throw_attempts,net_rating
2001,2000-01,2062,A.J. Guyton,33,628.5383333333333,198,36,64,9,5,24,192,18,-11.0
2001,2000-01,1950,Andy Panko,1,0.5516666666666666,0,0,0,0,0,0,0,0,0.0
2001,2000-01,1609,Art Long,9,18.69,0,8,1,0,3,2,4,2,-25.2
2001,2000-01,2073,Brian Cardinal,15,124.26166666666667,31,23,3,7,2,9,31,18,-13.6
2001,2000-01,2036,Chris Mihm,59,1164.9966666666667,446,280,16,20,53,80,391,126,-2.7
2001,2000-01,2084,Chris Porter,51,1145.0166666666667,440,189,61,45,6,59,445,141,-11.6
2001,2000-01,2042,Courtney Alexander,65,1373.9116666666666,618,143,62,45,5,75,573,150,-10.1
2001,2000-01,2053,Dalibor Bagaric,35,259.945,47,56,10,9,16,21,65,28,-9.2
2001,2000-01,2061,Dan Langhi,33,240.67833333333334,90,41,4,7,1,8,99,29,-8.9
2001,2000-01,2082,Dan McClintock,6,58.46666666666667,18,17,1,0,2,3,18,5,-19.0
2001,2000-01,2091,Daniel Santiago,54,579.66,170,102,11,17,21,47,134,61,1.4
2001,2000-01,2032,Darius Miles,81,2139.1633333333334,761,477,99,51,125,147,630,238,1.6
2001,2000-01,2128,David Vanterpool,22,410.14,122,37,66,23,3,37,110,50,0.1
2001,2000-01,2052,DeShawn Stevenson,40,295.6933333333333,89,28,18,10,2,28,91,38,0.4
2001,2000-01,2035,DerMarr Johnson,78,1309.915,397,178,64,43,30,93,390,87,-6.4
2001,2000-01,2046,Desmond Mason,78,1523.5283333333334,463,249,63,39,20,53,439,91,-1.0
2001,2000-01,2051,Donnell Harvey,18,63.876666666666665,22,20,2,3,1,7,14,16,-11.4
2001,2000-01,1434,Dragan Tarlac,43,599.0566666666666,103,122,31,7,19,38,99,33,-15.5
2001,2000-01,2109,Eddie Gill,8,152.225,39,9,24,4,1,10,41,5,-14.1
2001,2000-01,2067,Eddie House,50,544.805,251,42,52,13,0,35,247,35,-0.3
2001,2000-01,2059,Eduardo Najera,40,432.59166666666664,131,95,27,13,8,17,111,33,-5.7
2001,2000-01,2057,Erick Barkley,8,37.35666666666667,19,3,6,2,0,5,22,0,-8.4
2001,2000-01,2123,Garth Joseph,4,15.7,2,2,1,0,1,2,5,2,-31.3
2001,2000-01,2069,Hanno Mottola,73,988.685,319,174,25,11,9,67,277,90,-11.6
2001,2000-01,2045,Hedo Turkoglu,74,1248.8116666666667,391,210,69,52,24,55,335,112,5.4
2001,2000-01,1956,Ira Newble,27,182.055,54,35,6,2,4,7,55,16,-16.5
2001,2000-01,2074,Jabari Smith,9,65.79,26,8,6,4,0,3,22,6,-1.5
2001,2000-01,2054,Jake Tsakalidis,57,946.625,256,242,19,10,55,66,215,91,-2.3
2001,2000-01,2063,Jake Voskuhl,16,143.96166666666667,30,34,5,5,6,12,25,14,-21.0
2001,2000-01,2048,Jamaal Magloire,74,1097.425,339,295,27,18,78,61,271,145,2.8
2001,2000-01,2037,Jamal Crawford,61,1046.6216666666667,282,89,141,43,14,85,304,34,-12.4
2001,2000-01,1554,Jamal Robinson,6,71.66166666666666,6,11,2,6,0,3,22,0,-6.9
2001,2000-01,2044,Jason Collier,23,218.92333333333335,71,37,6,2,3,11,71,24,-13.3
2001,2000-01,2078,Jason Hart,1,9.916666666666666,2,0,1,0,0,2,1,0,-11.0
2001,2000-01,2040,Jerome Moiso,24,136.455,35,42,3,3,4,18,30,26,-2.9
2001,2000-01,2038,Joel Przybilla,33,267.0566666666667,27,71,2,3,30,13,35,11,-8.0
2001,2000-01,2030,Kenyon Martin,68,2273.3233333333333,814,502,131,78,113,138,777,192,-6.2
2001,2000-01,2039,Keyon Dooling,76,1240.0666666666666,449,89,177,41,11,94,362,179,0.0
2001,2000-01,2064,Khalid El-Amin,50,935.335,314,81,145,48,2,54,311,72,-9.3
2001,2000-01,2068,Lavor Postell,26,168.11,59,25,5,4,2,17,54,27,1.1
2001,2000-01,1924,Lee Nailon,42,467.50166666666667,164,92,24,9,5,27,136,43,2.0
2001,2000-01,2055,Mamadou N'diaye,3,9.433333333333334,4,2,0,0,0,0,4,2,3.1
2001,2000-01,1531,Marc Jackson,48,1407.3733333333332,633,361,59,34,27,93,508,192,-8.5
2001,2000-01,2033,Marcus Fizer,72,1581.3533333333332,683,313,76,30,19,124,646,161,-13.1
2001,2000-01,1548,Mark Blount,64,1099.155,248,231,32,39,76,62,200,66,-2.1
2001,2000-01,2058,Mark Madsen,70,636.8783333333333,137,152,24,8,8,27,113,37,-5.3
2001,2000-01,2043,Mateen Cleaves,78,1265.7883333333334,422,132,207,49,1,139,400,137,-3.5
2001,2000-01,2072,Michael Redd,6,35.05166666666667,13,4,1,1,0,1,19,6,-12.8
2001,2000-01,2034,Mike Miller,82,2388.935,975,327,140,51,19,97,845,128,3.3
2001,2000-01,2130,Mike Penberthy,53,846.6183333333333,267,63,71,22,2,34,222,31,-1.6
2001,2000-01,2065,Mike Smith,17,179.47666666666666,51,22,10,5,3,7,59,16,-6.6
2001,2000-01,2050,Morris Peterson,80,1810.575,747,259,105,63,20,78,673,145,2.8
2001,2000-01,2071,Olumide Oyedeji,30,220.48,45,67,2,7,10,11,37,12,11.5
2001,2000-01,2101,Paul McPherson,55,593.355,262,79,38,25,4,47,216,58,0.5
2001,2000-01,2143,Pepe Sanchez,29,148.13166666666666,20,15,41,11,1,6,28,2,-1.9
2001,2000-01,2047,Quentin Richardson,76,1356.0533333333333,613,257,62,42,7,64,525,158,-4.5
2001,2000-01,1952,Raja Bell,5,30.026666666666667,5,1,0,1,0,2,7,0,9.2
