player_id,nba_player_name,draft_year,draft_round,draft_number
1434,Dragan Tarlac,1995,2,31
2033,Marcus Fizer,2000,1,4
2037,Jamal Crawford,2000,1,8
2062,A.J. Guyton,2000,2,32
2064,Khalid El-Amin,2000,2,34
2199,Tyson Chandler,2001,1,2
2201,Eddy Curry,2001,1,4
2239,Trenton Hassell,2001,2,29
2398,Jay Williams,2002,1,2
2437,Lonny Baxter,2002,2,43
2550,Kirk Hinrich,2003,1,7
2648,Ronald Dupree,Undrafted,Undrafted,Undrafted
2669,Linton Johnson,Undrafted,Undrafted,Undrafted
2732,Ben Gordon,2004,1,3
2736,Luol Deng,2004,1,7
2768,Chris Duhon,2004,2,38
2804,Andres Nocioni,Undrafted,Undrafted,Undrafted
200748,Tyrus Thomas,2006,1,4
200757,Thabo Sefolosha,2006,1,13
201149,Joakim Noah,2007,1,9
201189,Aaron Gray,2007,2,49
201565,Derrick Rose,2008,1,1
201600,Omer Asik,2008,2,36
201949,James Johnson,2009,1,16
201959,Taj Gibson,2009,1,26
202703,Nikola Mirotic,2011,1,23
202710,Jimmy Butler III,2011,1,30
203104,Marquis Teague,2012,1,29
203503,Tony Snell,2013,1,20
203926,Doug McDermott,2014,1,11
1626171,Bobby Portis Jr.,2015,1,22
1626245,Cristiano Felicio,Undrafted,Undrafted,Undrafted
1627756,Denzel Valentine,2016,1,14
1627835,Paul Zipser,2016,2,48
1627853,Ryan Arcidiacono,Undrafted,Undrafted,Undrafted
1628374,Lauri Markkanen,2017,1,7
1628469,Antonio Blakeney,Undrafted,Undrafted,Undrafted
1628976,Wendell Carter Jr.,2018,1,7
1628990,Chandler Hutchison,2018,1,22
1629632,Coby White,2019,1,7
1629655,Daniel Gafford,2019,2,38
1630172,Patrick Williams,2020,1,4
1630245,Ayo Dosunmu,2021,2,38
1641763,Julian Phillips,2023,2,35
1641824,Matas Buzelis,2024,1,11
1642950,Lachlan Olbrich,2025,2,55
