composite_rank,average_category_rank,season,season_label,player_id,player_name,games,minutes,ppg,rpg,apg,steals_per_game,blocks_per_game,stocks_per_game,ts_pct,ws,rank_ppg,rank_rpg,rank_apg,rank_stocks_per_game,rank_ts_pct,rank_ws,team_record,team_wins,team_losses,team_games,team_win_change,team_win_pct_change,season_end_year,league_ts_pct,relative_ts_pp,rank_relative_ts,era_adjusted_average_rank,era_adjusted_composite_rank
5.0,7.416666666666667,2004,2003-04,2550,Kirk Hinrich,76,2709.2683333333334,12.039473684210526,3.4078947368421053,6.802631578947368,1.3289473684210527,0.27631578947368424,1.605263157894737,0.51,4.1,5.0,16.0,1.0,5.0,13.0,4.5,23-59,23,59,82,-7.0,-0.08536585365853655,2004,0.51619672389625,-0.6196723896250034,9.0,6.75,1.0
1.0,7.0,2015,2014-15,202703,Nikola Mirotic,82,1654.121666666667,10.158536585365853,4.926829268292683,1.1829268292682926,0.6585365853658537,0.6585365853658537,1.3170731707317074,0.556,5.7,8.0,7.0,14.0,8.0,4.0,1.0,50-32,50,32,82,2.0,0.024390243902439046,2015,0.534,2.200000000000002,3.0,6.833333333333333,2.0
3.0,7.166666666666667,2009,2008-09,201565,Derrick Rose,81,3000.048333333333,16.80246913580247,3.9135802469135803,6.320987654320987,0.8148148148148148,0.2222222222222222,1.037037037037037,0.516,4.9,1.0,12.0,2.0,14.0,12.0,2.0,41-41,41,41,82,8.0,0.09756097560975607,2009,0.5443848603182649,-2.8384860318264926,14.0,7.5,3.0
3.0,7.166666666666667,2018,2017-18,1628374,Lauri Markkanen,68,2020.02,15.191176470588236,7.470588235294118,1.161764705882353,0.5735294117647058,0.5882352941176471,1.161764705882353,0.552,3.3,2.0,1.0,15.0,12.0,5.0,8.0,27-55,27,55,82,-14.0,-0.17073170731707316,2018,0.556,-0.40000000000000036,7.0,7.5,3.0
2.0,7.083333333333333,2019,2018-19,1628976,Wendell Carter Jr.,44,1109.8,10.340909090909092,6.9772727272727275,1.7727272727272727,0.5909090909090909,1.3181818181818181,1.9090909090909092,0.541,1.9,7.0,3.0,11.0,1.0,7.0,13.5,22-60,22,60,82,-5.0,-0.06097560975609756,2019,0.56,-1.9000000000000017,12.0,7.916666666666667,5.0
6.0,8.333333333333334,2010,2009-10,201959,Taj Gibson,82,2203.5816666666665,8.963414634146341,7.451219512195122,0.8536585365853658,0.6097560975609756,1.2682926829268293,1.8780487804878048,0.521,4.7,12.0,2.0,20.0,2.0,11.0,3.0,41-41,41,41,82,0.0,0.0,2010,0.543,-2.200000000000002,13.0,8.666666666666666,6.0
9.0,9.5,2008,2007-08,201149,Joakim Noah,74,1533.715,6.594594594594595,5.621621621621622,1.135135135135135,0.918918918918919,0.8648648648648649,1.7837837837837838,0.539,3.8,19.0,4.0,16.0,3.0,9.0,6.0,33-49,33,49,82,-16.0,-0.19512195121951215,2008,0.5402422462662976,-0.1242246266297542,5.0,8.833333333333334,7.0
8.0,9.416666666666666,2005,2004-05,2736,Luol Deng,61,1661.07,11.655737704918034,5.278688524590164,2.2131147540983607,0.7868852459016393,0.4426229508196721,1.2295081967213115,0.496,3.0,6.0,6.0,8.0,11.0,16.0,9.5,47-35,47,35,82,24.0,0.2926829268292682,2005,0.5294055913399502,-3.3405591339950247,15.0,9.25,8.0
10.0,9.916666666666666,2022,2021-22,1630245,Ayo Dosunmu,77,2109.641666666667,8.818181818181818,2.779220779220779,3.324675324675325,0.7792207792207793,0.37662337662337664,1.155844155844156,0.596,3.0,13.0,18.0,5.0,13.0,1.0,9.5,46-36,46,36,82,,0.13042005420054203,2022,0.566,3.0000000000000027,1.0,9.916666666666666,9.0
7.0,9.083333333333334,2021,2020-21,1630172,Patrick Williams,71,1983.3566666666663,9.225352112676056,4.605633802816901,1.3943661971830985,0.9014084507042254,0.647887323943662,1.5492957746478873,0.562,2.5,11.0,10.0,13.0,6.0,3.0,11.5,31-41,31,41,72,,0.0920940170940171,2021,0.572,-0.9999999999999898,10.0,10.25,10.0
11.0,11.5,2005,2004-05,2732,Ben Gordon,82,2013.0933333333332,15.060975609756097,2.6219512195121952,2.0,0.6463414634146342,0.12195121951219512,0.7682926829268293,0.526,3.5,3.0,19.0,10.0,20.0,10.0,7.0,47-35,47,35,82,24.0,0.2926829268292682,2005,0.5294055913399502,-0.340559133995022,6.0,10.833333333333334,11.0
13.0,12.583333333333334,2002,2001-02,2199,Tyson Chandler,71,1392.8166666666666,6.140845070422535,4.830985915492958,0.7605633802816901,0.39436619718309857,1.3098591549295775,1.704225352112676,0.543,1.8,20.0,8.0,22.0,4.0,6.0,15.5,21-61,21,61,82,6.0,0.07317073170731708,2002,0.5202897487957688,2.27102512042312,2.0,11.916666666666666,12.0
12.0,12.083333333333334,2025,2024-25,1641824,Matas Buzelis,80,1511.295,8.6,3.475,0.9875,0.3625,0.9375,1.3,0.571,1.9,15.0,15.0,18.0,9.0,2.0,13.5,39-43,39,43,82,0.0,0.0,2025,0.576,-0.5000000000000004,8.0,13.083333333333334,13.0
15.0,13.5,2003,2002-03,2398,Jay Williams,75,1961.19,9.52,2.6,4.666666666666667,1.1466666666666667,0.22666666666666666,1.3733333333333333,0.472,0.8,9.0,20.0,4.0,7.0,20.0,21.0,30-52,30,52,82,9.0,0.1097560975609756,2003,0.5193584617606707,-4.735846176067071,18.0,13.166666666666666,14.0
