# Source: https://www.2kratings.com/teams/chicago-bulls and each linked player page
# Captured: 2026-08-28 America/Chicago
# page_has_2k27_launch_rating means the player page explicitly calls the listed OVR the NBA 2K27 launch rating
rank,player_name,nba_2k27_ovr,page_has_2k27_launch_rating,six_groups_available,nba_2k26_rating_available
1,Norman Powell,84,TRUE,TRUE,TRUE
2,Josh Giddey,84,TRUE,TRUE,TRUE
3,Matas Buzelis,81,TRUE,TRUE,TRUE
4,Nicolas Claxton,80,TRUE,TRUE,TRUE
5,Tre Jones,79,TRUE,TRUE,TRUE
6,Caleb Wilson,77,TRUE,TRUE,FALSE
7,Jalen Smith,76,TRUE,TRUE,TRUE
8,Zach Collins,75,TRUE,TRUE,TRUE
9,Isaac Okoro,75,TRUE,TRUE,TRUE
10,Patrick Williams,74,TRUE,TRUE,TRUE
11,Leonard Miller,74,TRUE,TRUE,TRUE
12,Robert Dillingham,73,TRUE,TRUE,TRUE
13,Noa Essengue,72,TRUE,TRUE,TRUE
14,Dailyn Swain,71,TRUE,TRUE,FALSE
15,Tobe Awaka,68,TRUE,TRUE,FALSE
16,Jaylin Sellers,68,TRUE,TRUE,FALSE
