rank,franchise,team,conference,metric,threshold,qualifying_player_games,meetings,rate_per_100,minimum_meetings,coverage_start,coverage_end,percentage_rank
15,UTA,Jazz,West,points,25.0,38,50,76.0,40,2000-01,2025-26,1
1,NYK,Knicks,East,points,25.0,67,93,72.04301075268818,40,2000-01,2025-26,2
16,MEM,Grizzlies,West,points,25.0,36,52,69.23076923076923,40,2000-01,2025-26,3
17,OKC,Thunder,West,points,25.0,34,51,66.66666666666666,40,2000-01,2025-26,4
18,NOP,Pelicans,West,points,25.0,34,53,64.15094339622641,40,2000-01,2025-26,5
3,WAS,Wizards,East,points,25.0,59,92,64.13043478260869,40,2000-01,2025-26,6
19,DEN,Nuggets,West,points,25.0,31,49,63.26530612244898,40,2000-01,2025-26,7
20,LAL,Lakers,West,points,25.0,31,50,62.0,40,2000-01,2025-26,8
21,PHX,Suns,West,points,25.0,31,50,62.0,40,2000-01,2025-26,9
22,DAL,Mavericks,West,points,25.0,31,51,60.78431372549019,40,2000-01,2025-26,10
23,POR,Trail Blazers,West,points,25.0,31,51,60.78431372549019,40,2000-01,2025-26,11
24,GSW,Warriors,West,points,25.0,31,51,60.78431372549019,40,2000-01,2025-26,12
2,DET,Pistons,East,points,25.0,61,103,59.22330097087378,40,2000-01,2025-26,13
25,SAC,Kings,West,points,25.0,30,52,57.692307692307686,40,2000-01,2025-26,14
5,TOR,Raptors,East,points,25.0,54,94,57.446808510638306,40,2000-01,2025-26,15
26,MIN,Timberwolves,West,points,25.0,29,51,56.86274509803921,40,2000-01,2025-26,16
7,CHA,Hornets,East,points,25.0,50,88,56.81818181818182,40,2000-01,2025-26,17
8,MIA,Heat,East,points,25.0,50,92,54.347826086956516,40,2000-01,2025-26,18
4,IND,Pacers,East,points,25.0,55,102,53.92156862745098,40,2000-01,2025-26,19
9,ATL,Hawks,East,points,25.0,50,94,53.191489361702125,40,2000-01,2025-26,20
10,ORL,Magic,East,points,25.0,48,91,52.74725274725275,40,2000-01,2025-26,21
6,MIL,Bucks,East,points,25.0,54,103,52.42718446601942,40,2000-01,2025-26,22
27,HOU,Rockets,West,points,25.0,26,50,52.0,40,2000-01,2025-26,23
12,PHI,76ers,East,points,25.0,46,91,50.54945054945055,40,2000-01,2025-26,24
13,BOS,Celtics,East,points,25.0,46,91,50.54945054945055,40,2000-01,2025-26,25
14,BKN,Nets,East,points,25.0,46,91,50.54945054945055,40,2000-01,2025-26,26
11,CLE,Cavaliers,East,points,25.0,47,102,46.07843137254902,40,2000-01,2025-26,27
28,LAC,Clippers,West,points,25.0,23,50,46.0,40,2000-01,2025-26,28
29,SAS,Spurs,West,points,25.0,17,51,33.33333333333333,40,2000-01,2025-26,29
