rank,franchise,team,rate_per_100,elite_player_games,meetings,relative_to_all,threshold,minimum_meetings,coverage_start,coverage_end
1,SAC,Kings,13.461538461538462,7,52,2.231837606837607,30.0,40,2000-01,2025-26
2,LAL,Lakers,12.0,6,50,1.9895238095238095,30.0,40,2000-01,2025-26
3,LAC,Clippers,10.0,5,50,1.6579365079365078,30.0,40,2000-01,2025-26
4,GSW,Warriors,9.803921568627452,5,51,1.6254279489573606,30.0,40,2000-01,2025-26
5,MIL,Bucks,8.737864077669903,9,103,1.4486823855755893,30.0,40,2000-01,2025-26
6,SAS,Spurs,7.8431372549019605,4,51,1.3003423591658885,30.0,40,2000-01,2025-26
7,MIN,Timberwolves,7.8431372549019605,4,51,1.3003423591658885,30.0,40,2000-01,2025-26
8,POR,Trail Blazers,7.8431372549019605,4,51,1.3003423591658885,30.0,40,2000-01,2025-26
9,DET,Pistons,7.766990291262135,8,103,1.2877176760671905,30.0,40,2000-01,2025-26
10,PHI,76ers,7.6923076923076925,7,91,1.2753357753357752,30.0,40,2000-01,2025-26
11,ATL,Hawks,7.446808510638298,7,94,1.2346335697399526,30.0,40,2000-01,2025-26
12,TOR,Raptors,7.446808510638298,7,94,1.2346335697399526,30.0,40,2000-01,2025-26
13,CHA,Hornets,6.8181818181818175,6,88,1.1304112554112553,30.0,40,2000-01,2025-26
14,BOS,Celtics,6.593406593406594,6,91,1.0931449502878074,30.0,40,2000-01,2025-26
15,WAS,Wizards,6.521739130434782,6,92,1.081262939958592,30.0,40,2000-01,2025-26
16,MEM,Grizzlies,5.769230769230769,3,52,0.9565018315018314,30.0,40,2000-01,2025-26
17,NOP,Pelicans,5.660377358490567,3,53,0.9384546271338724,30.0,40,2000-01,2025-26
18,MIA,Heat,5.434782608695652,5,92,0.9010524499654934,30.0,40,2000-01,2025-26
19,IND,Pacers,4.901960784313726,5,102,0.8127139744786803,30.0,40,2000-01,2025-26
20,HOU,Rockets,4.0,2,50,0.6631746031746031,30.0,40,2000-01,2025-26
21,PHX,Suns,4.0,2,50,0.6631746031746031,30.0,40,2000-01,2025-26
22,CLE,Cavaliers,3.9215686274509802,4,102,0.6501711795829442,30.0,40,2000-01,2025-26
23,ORL,Magic,3.296703296703297,3,91,0.5465724751439037,30.0,40,2000-01,2025-26
24,BKN,Nets,2.197802197802198,2,91,0.3643816500959358,30.0,40,2000-01,2025-26
25,NYK,Knicks,2.1505376344086025,2,93,0.3565454855777437,30.0,40,2000-01,2025-26
26,DEN,Nuggets,2.0408163265306123,1,49,0.3383543893747975,30.0,40,2000-01,2025-26
27,UTA,Jazz,2.0,1,50,0.33158730158730154,30.0,40,2000-01,2025-26
28,DAL,Mavericks,1.9607843137254901,1,51,0.3250855897914721,30.0,40,2000-01,2025-26
29,OKC,Thunder,1.9607843137254901,1,51,0.3250855897914721,30.0,40,2000-01,2025-26
