season_end_year,game_id,game_date,matchup,result,team_points,team_plus_minus,team_source_url,franchise
2001,20001181,2001-04-18,CHI @ PHI,W,92,6,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,PHI
2001,20001170,2001-04-17,CHI @ NJN,W,100,6,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,BKN
2001,20001159,2001-04-15,CHI vs. IND,L,86,-7,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,IND
2001,20001143,2001-04-13,CHI vs. UTA,L,83,-11,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,UTA
2001,20001126,2001-04-11,CHI @ WAS,W,113,4,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,WAS
2001,20001118,2001-04-10,CHI @ MIL,L,84,-21,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,MIL
2001,20001106,2001-04-08,CHI @ TOR,L,88,-12,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,TOR
2001,20001092,2001-04-06,CHI @ IND,L,93,-7,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,IND
2001,20001083,2001-04-05,CHI vs. LAL,L,88,-12,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,LAL
2001,20001068,2001-04-03,CHI vs. DET,L,83,-27,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,DET
2001,20001050,2001-03-31,CHI vs. MIA,L,90,-7,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,MIA
2001,20001033,2001-03-29,CHI vs. BOS,L,104,-2,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,BOS
2001,20001012,2001-03-26,CHI vs. DEN,L,104,-5,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,DEN
2001,20001004,2001-03-25,CHI @ BOS,L,98,-4,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,BOS
2001,20000994,2001-03-23,CHI vs. CHH,W,93,3,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,CHA
2001,20000978,2001-03-21,CHI @ MIA,L,81,-28,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,MIA
2001,20000971,2001-03-20,CHI vs. ORL,L,95,-8,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,ORL
2001,20000951,2001-03-17,CHI @ NYK,L,80,-21,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,NYK
2001,20000946,2001-03-16,CHI vs. SEA,L,80,-10,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,OKC
2001,20000930,2001-03-14,CHI vs. PHI,L,67,-18,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,PHI
2001,20000914,2001-03-12,CHI @ CHH,L,94,-8,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,CHA
2001,20000903,2001-03-10,CHI @ ATL,L,90,-3,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,ATL
2001,20000892,2001-03-09,CHI @ DET,L,75,-33,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,DET
2001,20000869,2001-03-06,CHI vs. CLE,W,87,13,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,CLE
2001,20000847,2001-03-03,CHI @ MIL,L,122,-4,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,MIL
2001,20000844,2001-03-02,CHI vs. NYK,W,81,9,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,NYK
2001,20000826,2001-02-28,CHI vs. HOU,L,78,-17,https://www.nba.com/stats/teams/boxscores?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741,HOU
