rank,franchise,team,conference,metric,threshold,qualifying_player_games,meetings,rate_per_100,minimum_meetings,coverage_start,coverage_end,percentage_rank
3,SAC,Kings,West,game_score,30.0,7,52,13.461538461538462,40,2000-01,2025-26,1
7,LAL,Lakers,West,game_score,30.0,6,50,12.0,40,2000-01,2025-26,2
11,LAC,Clippers,West,game_score,30.0,5,50,10.0,40,2000-01,2025-26,3
12,GSW,Warriors,West,game_score,30.0,5,51,9.803921568627452,40,2000-01,2025-26,4
1,MIL,Bucks,East,game_score,30.0,9,103,8.737864077669903,40,2000-01,2025-26,5
15,SAS,Spurs,West,game_score,30.0,4,51,7.8431372549019605,40,2000-01,2025-26,6
16,MIN,Timberwolves,West,game_score,30.0,4,51,7.8431372549019605,40,2000-01,2025-26,7
17,POR,Trail Blazers,West,game_score,30.0,4,51,7.8431372549019605,40,2000-01,2025-26,8
2,DET,Pistons,East,game_score,30.0,8,103,7.766990291262135,40,2000-01,2025-26,9
4,PHI,76ers,East,game_score,30.0,7,91,7.6923076923076925,40,2000-01,2025-26,10
5,ATL,Hawks,East,game_score,30.0,7,94,7.446808510638298,40,2000-01,2025-26,11
6,TOR,Raptors,East,game_score,30.0,7,94,7.446808510638298,40,2000-01,2025-26,12
8,CHA,Hornets,East,game_score,30.0,6,88,6.8181818181818175,40,2000-01,2025-26,13
9,BOS,Celtics,East,game_score,30.0,6,91,6.593406593406594,40,2000-01,2025-26,14
10,WAS,Wizards,East,game_score,30.0,6,92,6.521739130434782,40,2000-01,2025-26,15
19,MEM,Grizzlies,West,game_score,30.0,3,52,5.769230769230769,40,2000-01,2025-26,16
20,NOP,Pelicans,West,game_score,30.0,3,53,5.660377358490567,40,2000-01,2025-26,17
13,MIA,Heat,East,game_score,30.0,5,92,5.434782608695652,40,2000-01,2025-26,18
14,IND,Pacers,East,game_score,30.0,5,102,4.901960784313726,40,2000-01,2025-26,19
22,HOU,Rockets,West,game_score,30.0,2,50,4.0,40,2000-01,2025-26,20
23,PHX,Suns,West,game_score,30.0,2,50,4.0,40,2000-01,2025-26,21
18,CLE,Cavaliers,East,game_score,30.0,4,102,3.9215686274509802,40,2000-01,2025-26,22
21,ORL,Magic,East,game_score,30.0,3,91,3.296703296703297,40,2000-01,2025-26,23
24,BKN,Nets,East,game_score,30.0,2,91,2.197802197802198,40,2000-01,2025-26,24
25,NYK,Knicks,East,game_score,30.0,2,93,2.1505376344086025,40,2000-01,2025-26,25
26,DEN,Nuggets,West,game_score,30.0,1,49,2.0408163265306123,40,2000-01,2025-26,26
27,UTA,Jazz,West,game_score,30.0,1,50,2.0,40,2000-01,2025-26,27
28,DAL,Mavericks,West,game_score,30.0,1,51,1.9607843137254901,40,2000-01,2025-26,28
29,OKC,Thunder,West,game_score,30.0,1,51,1.9607843137254901,40,2000-01,2025-26,29
