rank,franchise,team,metric,threshold,qualifying_player_games,meetings,rate_per_100,minimum_meetings,coverage_start,coverage_end
1,MIL,Bucks,game_score,30.0,9,103,8.737864077669903,40,2000-01,2025-26
2,DET,Pistons,game_score,30.0,8,103,7.766990291262135,40,2000-01,2025-26
3,SAC,Kings,game_score,30.0,7,52,13.461538461538462,40,2000-01,2025-26
4,PHI,76ers,game_score,30.0,7,91,7.6923076923076925,40,2000-01,2025-26
5,ATL,Hawks,game_score,30.0,7,94,7.446808510638298,40,2000-01,2025-26
6,TOR,Raptors,game_score,30.0,7,94,7.446808510638298,40,2000-01,2025-26
7,LAL,Lakers,game_score,30.0,6,50,12.0,40,2000-01,2025-26
8,CHA,Hornets,game_score,30.0,6,88,6.8181818181818175,40,2000-01,2025-26
9,BOS,Celtics,game_score,30.0,6,91,6.593406593406594,40,2000-01,2025-26
10,WAS,Wizards,game_score,30.0,6,92,6.521739130434782,40,2000-01,2025-26
11,LAC,Clippers,game_score,30.0,5,50,10.0,40,2000-01,2025-26
12,GSW,Warriors,game_score,30.0,5,51,9.803921568627452,40,2000-01,2025-26
13,MIA,Heat,game_score,30.0,5,92,5.434782608695652,40,2000-01,2025-26
14,IND,Pacers,game_score,30.0,5,102,4.901960784313726,40,2000-01,2025-26
15,SAS,Spurs,game_score,30.0,4,51,7.8431372549019605,40,2000-01,2025-26
16,MIN,Timberwolves,game_score,30.0,4,51,7.8431372549019605,40,2000-01,2025-26
17,POR,Trail Blazers,game_score,30.0,4,51,7.8431372549019605,40,2000-01,2025-26
18,CLE,Cavaliers,game_score,30.0,4,102,3.9215686274509802,40,2000-01,2025-26
19,MEM,Grizzlies,game_score,30.0,3,52,5.769230769230769,40,2000-01,2025-26
20,NOP,Pelicans,game_score,30.0,3,53,5.660377358490567,40,2000-01,2025-26
21,ORL,Magic,game_score,30.0,3,91,3.296703296703297,40,2000-01,2025-26
22,HOU,Rockets,game_score,30.0,2,50,4.0,40,2000-01,2025-26
23,PHX,Suns,game_score,30.0,2,50,4.0,40,2000-01,2025-26
24,BKN,Nets,game_score,30.0,2,91,2.197802197802198,40,2000-01,2025-26
25,NYK,Knicks,game_score,30.0,2,93,2.1505376344086025,40,2000-01,2025-26
26,DEN,Nuggets,game_score,30.0,1,49,2.0408163265306123,40,2000-01,2025-26
27,UTA,Jazz,game_score,30.0,1,50,2.0,40,2000-01,2025-26
28,DAL,Mavericks,game_score,30.0,1,51,1.9607843137254901,40,2000-01,2025-26
29,OKC,Thunder,game_score,30.0,1,51,1.9607843137254901,40,2000-01,2025-26
