PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
76707,1975-76,00,1610612739,CLE,22.0,4,,9,0,2,0.0,,,,0,0,0.0,0,1,1,0,0,0,,1,0
76707,1975-76,00,1610612741,CHI,22.0,33,,259,33,84,0.393,,,,26,37,0.703,25,44,69,19,7,14,,20,92
76707,1975-76,00,0,TOT,22.0,37,,268,33,86,0.384,,,,26,37,0.703,25,45,70,19,7,14,,21,92
76707,1976-77,00,1610612741,CHI,23.0,5,,61,3,15,0.2,,,,8,11,0.727,9,7,16,6,1,3,,9,14
76707,1979-80,00,1610612738,BOS,26.0,56,0.0,431,71,153,0.464,0.0,0.0,,33,52,0.635,40,56,96,28,17,12,20.0,43,175
76707,1980-81,00,1610612738,BOS,27.0,45,0.0,279,38,79,0.481,0.0,0.0,,20,30,0.667,29,33,62,10,6,7,20.0,29,96
76707,1981-82,00,1610612738,BOS,28.0,43,0.0,202,19,49,0.388,0.0,0.0,,19,30,0.633,12,30,42,8,5,7,13.0,23,57
76707,1983-84,00,1610612752,NYK,30.0,32,0.0,402,29,52,0.558,0.0,0.0,0.0,25,34,0.735,29,57,86,11,16,8,19.0,49,83
77314,1975-76,00,1610612764,WAS,23.0,25,,72,7,30,0.233,,,,5,6,0.833,5,10,15,8,2,0,,20,19
77314,1976-77,00,1610612741,CHI,24.0,53,,480,73,152,0.48,,,,28,41,0.683,21,26,47,39,18,1,,77,174
77341,1975-76,00,1610612741,CHI,23.0,71,,1570,284,690,0.412,,,,87,120,0.725,52,167,219,55,56,10,,90,655
77341,1976-77,00,1610612741,CHI,24.0,47,,562,75,212,0.354,,,,27,30,0.9,16,47,63,44,32,2,,22,177
77463,1966-67,00,1610612764,BLT,22.0,74,,1323,283,632,0.448,,,,145,187,0.775,,,313,75,,,,199,711
77463,1967-68,00,1610612764,BLT,23.0,82,,2037,429,932,0.46,,,,250,314,0.796,,,473,110,,,,246,1108
