TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED,SUPPLEMENTAL_STATUS
1610612741,1966-67,00,Bob Boozer,Bob,bob-boozer,19,F,6-8,215,"APR 26, 1937",30.0,6,Kansas State,76206,,0
1610612741,1966-67,00,Nate Bowman,Nate,nate-bowman,12,C,6-10,230,"MAR 19, 1943",24.0,R,Wichita State,76219,,0
1610612741,1966-67,00,Len Chappell,Len,len-chappell,17,F,6-8,240,"JAN 31, 1941",26.0,4,Wake Forest,76382,,0
1610612741,1966-67,00,John Clemens,John,john-clemens,16,F,6-6,210,"MAY 01, 1943",24.0,1,Ohio Wesleyan,76403,,0
1610612741,1966-67,00,Keith Erickson,Keith,keith-erickson,15,F,6-5,195,"APR 19, 1944",23.0,1,UCLA,76680,,0
1610612741,1966-67,00,Don Kojis,Don,don-kojis,9,F,6-3,202,"JUL 15, 1939",27.0,3,Marquette,77295,,0
1610612741,1966-67,00,Mccoy McLemore,Mccoy,mccoy-mclemore,18,F,6-7,230,"APR 03, 1942",25.0,2,Drake,77548,,0
1610612741,1966-67,00,Erwin Mueller,Erwin,erwin-mueller,14,F,6-8,230,"MAR 12, 1944",23.0,R,San Francisco,77658,,0
1610612741,1966-67,00,Guy Rodgers,Guy,guy-rodgers,5,G,6-0,185,"SEP 01, 1935",31.0,8,Temple,78003,,0
1610612741,1966-67,00,Dave Schellhase,Dave,dave-schellhase,8,G,6-3,205,"OCT 14, 1944",22.0,R,Purdue,78081,,0
1610612741,1966-67,00,Jerry Sloan,Jerry,jerry-sloan,4,G,6-5,195,"MAR 28, 1942",25.0,1,Evansville,78173,,0
1610612741,1966-67,00,Gerry Ward,Gerry,gerry-ward,6,G,6-4,195,"SEP 06, 1941",25.0,3,Boston College,78455,,0
1610612741,1966-67,00,Jim Washington,Jim,jim-washington,7,F,6-7,210,"JUL 01, 1943",23.0,1,Villanova,78466,,0
1610612741,1967-68,00,Bob Boozer,Bob,bob-boozer,19,F,6-8,215,"APR 26, 1937",31.0,7,Kansas State,76206,,0
1610612741,1967-68,00,Jim Burns,Jim,jim-burns,6,G,6-3,195,"SEP 21, 1945",22.0,R,Northwestern,76309,,0
1610612741,1967-68,00,John Clemens,John,john-clemens,16,F,6-6,210,"MAY 01, 1943",25.0,2,Ohio Wesleyan,76403,,0
1610612741,1967-68,00,Keith Erickson,Keith,keith-erickson,15,F,6-5,195,"APR 19, 1944",24.0,2,UCLA,76680,,0
1610612741,1967-68,00,Reggie Harding,Reggie,reggie-harding,17,C,7-0,249,"MAY 04, 1942",26.0,3,Eastern HS (MI),76945,,0
1610612741,1967-68,00,Clem Haskins,Clem,clem-haskins,11,G,6-3,195,"JUL 11, 1943",24.0,R,Western Kentucky,76965,,0
1610612741,1967-68,00,Mccoy McLemore,Mccoy,mccoy-mclemore,18,F,6-7,230,"APR 03, 1942",26.0,3,Drake,77548,,0
1610612741,1967-68,00,Erwin Mueller,Erwin,erwin-mueller,14,F,6-8,230,"MAR 12, 1944",24.0,1,San Francisco,77658,,0
1610612741,1967-68,00,Dave Schellhase,Dave,dave-schellhase,8,G,6-3,205,"OCT 14, 1944",23.0,1,Purdue,78081,,0
1610612741,1967-68,00,Jerry Sloan,Jerry,jerry-sloan,4,G,6-5,195,"MAR 28, 1942",26.0,2,Evansville,78173,,0
1610612741,1967-68,00,Craig Spitzer,Craig,craig-spitzer,17,C,7-0,225,"DEC 18, 1945",22.0,R,Tulane,78231,,0
1610612741,1967-68,00,Jim Washington,Jim,jim-washington,7,F,6-7,210,"JUL 01, 1943",24.0,2,Villanova,78466,,0
1610612741,1967-68,00,Ken Wilburn,Ken,ken-wilburn,6-9,F,6-6,195,"JUN 08, 1944",24.0,R,Central State,78524,,0
1610612741,1968-69,00,Tom Boerwinkle,Tom,tom-boerwinkle,18,C,7-0,265,"AUG 23, 1945",23.0,R,Tennessee,76192,,0
1610612741,1968-69,00,Bob Boozer,Bob,bob-boozer,19,F,6-8,215,"APR 26, 1937",32.0,8,Kansas State,76206,,0
1610612741,1968-69,00,John Clemens,John,john-clemens,16,F,6-6,210,"MAY 01, 1943",26.0,3,Ohio Wesleyan,76403,,0
1610612741,1968-69,00,Clem Haskins,Clem,clem-haskins,11,G,6-3,195,"JUL 11, 1943",25.0,1,Western Kentucky,76965,,0
1610612741,1968-69,00,Bob Love,Bob,bob-love,10,F,6-8,215,"DEC 08, 1942",26.0,2,Southern,77412,,0
1610612741,1968-69,00,Dave Newmark,Dave,dave-newmark,12,C,7-0,240,"SEP 11, 1946",22.0,R,Columbia,77712,,0
1610612741,1968-69,00,Loy Petersen,Loy,loy-petersen,15,G,6-5,205,"JUL 26, 1945",23.0,R,Oregon State,77840,,0
1610612741,1968-69,00,Jerry Sloan,Jerry,jerry-sloan,4,G,6-5,195,"MAR 28, 1942",27.0,3,Evansville,78173,,0
1610612741,1968-69,00,Jim Washington,Jim,jim-washington,7,F,6-7,210,"JUL 01, 1943",25.0,3,Villanova,78466,,0
1610612741,1968-69,00,Bob Weiss,Bob,bob-weiss,8,G,6-3,180,"MAY 07, 1942",27.0,3,Penn State,78485,,0
1610612741,1968-69,00,Ken Wilburn,Ken,ken-wilburn,9,F,6-6,195,"JUN 08, 1944",25.0,1,Central State,78524,,0
1610612741,1969-70,00,Johnny Baum,Johnny,johnny-baum,9,F,6-5,200,"JUN 17, 1946",24.0,R,Temple,76125,,0
1610612741,1969-70,00,Tom Boerwinkle,Tom,tom-boerwinkle,18,C,7-0,265,"AUG 23, 1945",24.0,1,Tennessee,76192,,0
1610612741,1969-70,00,Shaler Halimon,Shaler,shaler-halimon,19,G,6-5,199,"MAR 30, 1945",25.0,1,Utah State,76922,,0
1610612741,1969-70,00,Clem Haskins,Clem,clem-haskins,11,G,6-3,195,"JUL 11, 1943",26.0,2,Western Kentucky,76965,,0
1610612741,1969-70,00,Bob Kauffman,Bob,bob-kauffman,6,F,6-8,240,"JUL 13, 1946",23.0,1,Guilford,77227,,0
1610612741,1969-70,00,Bob Love,Bob,bob-love,10,F,6-8,215,"DEC 08, 1942",27.0,3,Southern,77412,,0
1610612741,1969-70,00,Loy Petersen,Loy,loy-petersen,15,G,6-5,205,"JUL 26, 1945",24.0,1,Oregon State,77840,,0
1610612741,1969-70,00,Jerry Sloan,Jerry,jerry-sloan,4,G,6-5,195,"MAR 28, 1942",28.0,4,Evansville,78173,,0
1610612741,1969-70,00,Al Tucker,Al,al-tucker,16,F,6-8,190,"FEB 24, 1943",27.0,2,Oklahoma Baptist,78372,,0
1610612741,1969-70,00,Chet Walker,Chet,chet-walker,25,F,6-7,212,"FEB 22, 1940",30.0,7,Bradley,78435,,0
1610612741,1969-70,00,Bob Weiss,Bob,bob-weiss,8,G,6-3,180,"MAY 07, 1942",28.0,4,Penn State,78485,,0
1610612741,1969-70,00,Walt Wesley,Walt,walt-wesley,20,C,6-11,220,"JAN 25, 1945",25.0,3,Kansas,78495,,0
1610612741,1970-71,00,Johnny Baum,Johnny,johnny-baum,14,F,6-5,200,"JUN 17, 1946",25.0,1,Temple,76125,,0
1610612741,1970-71,00,Tom Boerwinkle,Tom,tom-boerwinkle,18,C,7-0,265,"AUG 23, 1945",25.0,2,Tennessee,76192,,0
1610612741,1970-71,00,Jimmy Collins,Jimmy,jimmy-collins,22,G,6-2,175,"NOV 24, 1946",24.0,R,New Mexico State,76419,,0
1610612741,1970-71,00,Jim Fox,Jim,jim-fox,31,C,6-10,230,"APR 07, 1943",28.0,3,South Carolina,76747,,0
1610612741,1970-71,00,Alvin Holt,Alvin,alvin-holt,6,F,6-7,210,"AUG 26, 1946",24.0,R,Jackson State,77046,,0
1610612741,1970-71,00,Jim King,Jim,jim-king,21,G,6-2,175,"FEB 07, 1941",30.0,7,Tulsa,77270,,0
