PLAYER_ID,PLAYER_NAME,GP,MIN,STL,BLK
201985,AJ Price,56,865.3116666666666,35,3
201166,Aaron Brooks,82,2919.423333333333,69,14
201189,Aaron Gray,32,310.92833333333334,9,11
201151,Acie Law,26,233.70666666666668,11,1
200747,Adam Morrison,31,240.92333333333335,3,2
1733,Al Harrington,72,2195.298333333333,62,26
201143,Al Horford,81,2844.9416666666666,59,91
2744,Al Jefferson,76,2463.16,63,98
201154,Al Thornton,75,2079.2366666666667,45,35
201169,Alando Tucker,15,95.48333333333333,0,0
201582,Alexis Ajinca,6,29.516666666666666,1,1
947,Allen Iverson,28,864.3233333333334,19,2
202087,Alonzo Gee,11,181.68333333333334,7,1
2405,Amar'e Stoudemire,82,2837.5616666666665,52,83
101161,Amir Johnson,82,1452.6533333333334,44,66
2760,Anderson Varejao,76,2165.6233333333334,71,67
101154,Andray Blatche,81,2255.951666666667,85,71
2738,Andre Iguodala,82,3192.6783333333333,141,55
1889,Andre Miller,82,2499.6883333333335,93,9
200745,Andrea Bargnani,80,2799.285,25,111
1905,Andrei Kirilenko,58,1680.5733333333333,83,71
2804,Andres Nocioni,75,1477.28,32,26
101106,Andrew Bogut,69,2229.37,39,175
101115,Andrew Bynum,65,1976.9466666666667,35,94
2740,Andris Biedrins,33,762.945,20,44
1712,Antawn Jamison,66,2405.8033333333333,71,21
1853,Anthony Carter,54,858.795,39,13
1533,Anthony Johnson,31,406.025,11,1
201627,Anthony Morrow,69,2018.1233333333332,65,16
1515,Anthony Parker,81,2288.8333333333335,63,18
201576,Anthony Randolph,33,749.0666666666667,28,51
201229,Anthony Tolliver,46,1427.63,32,33
101120,Antoine Wright,67,1392.0583333333334,30,11
202079,Antonio Anderson,1,14.616666666666667,0,0
686,Antonio McDyess,77,1617.1216666666667,43,32
201167,Arron Afflalo,82,2220.9966666666664,46,30
201948,Austin Daye,69,914.915,25,26
1884,Baron Davis,75,2522.6916666666666,126,43
2732,Ben Gordon,62,1729.5716666666667,49,6
1112,Ben Wallace,69,1975.38,86,84
2757,Beno Udrih,79,2476.5583333333334,89,10
201628,Bobby Brown,45,519.075,15,1
2250,Bobby Simmons,23,394.6816666666667,15,3
2564,Boris Diaw,82,2906.1683333333335,60,57
1802,Brad Miller,82,1949.6933333333334,44,29
101138,Brandon Bass,50,648.295,12,27
201943,Brandon Jennings,82,2670.721666666667,105,18
200750,Brandon Roy,65,2418.5416666666665,61,16
201575,Brandon Rush,82,2490.9183333333335,56,65
2217,Brendan Haywood,77,2354.83,26,158
2073,Brian Cardinal,29,267.1116666666667,9,3
2567,Brian Cook,15,44.458333333333336,0,2
2243,Brian Scalabrine,52,471.895,9,4
1730,Brian Skinner,16,123.32166666666667,3,4
201572,Brook Lopez,82,3026.7066666666665,55,139
201957,Byron Mullens,13,54.295,2,0
201228,C.J. Watson,65,1787.945,103,8
101139,CJ Miles,63,1496.985,58,17
201171,Carl Landry,80,2468.8816666666667,55,63
2306,Carlos Arroyo,72,1584.54,36,6
2430,Carlos Boozer,78,2672.713333333333,84,36
2568,Carlos Delfino,75,2279.4,80,21
2546,Carmelo Anthony,69,2634.225,88,30
2406,Caron Butler,74,2783.61,116,24
201858,Cartier Martin,18,389.75,11,1
202132,Cedric Jackson,12,74.53833333333333,3,2
