SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,W,L,MIN,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,PLUS_MINUS
2000-01,920,A.C. Green,MIA,13,9,4,16.295,4,1,3,0,0,2,2,-1
2000-01,2062,A.J. Guyton,CHI,10,3,7,21.908333333333335,2,0,6,0,1,2,2,-4
2000-01,243,Aaron McKie,PHI,32,20,12,140.665,59,19,52,7,21,14,18,26
2000-01,1425,Aaron Williams,NJN,36,13,23,113.45666666666666,44,10,22,0,1,24,31,-39
2000-01,1502,Adonal Foyle,GSW,19,6,13,43.86,0,0,6,0,0,0,0,-33
2000-01,1559,Adrian Griffin,BOS,4,1,3,4.8566666666666665,2,1,1,0,0,0,0,-7
2000-01,1733,Al Harrington,IND,28,16,12,69.4,16,5,14,0,0,6,8,-15
2000-01,673,Alan Henderson,ATL,20,7,13,47.83166666666666,17,5,11,0,0,7,10,-3
2000-01,275,Allan Houston,NYK,37,23,14,155.47333333333333,70,24,66,5,16,17,22,30
2000-01,947,Allen Iverson,PHI,33,22,11,147.72,143,45,102,3,15,50,63,50
2000-01,297,Alonzo Mourning,MIA,7,6,1,21.59,13,6,10,0,0,1,4,22
2000-01,1541,Alvin Williams,TOR,42,21,21,150.435,62,23,58,3,9,13,13,12
2000-01,1889,Andre Miller,CLE,42,19,23,156.69,98,24,65,0,3,50,62,-14
2000-01,692,Andrew DeClercq,ORL,8,4,4,18.445,11,3,4,0,0,5,9,20
2000-01,1712,Antawn Jamison,GSW,38,13,25,133.195,84,27,60,0,2,30,46,-71
2000-01,1853,Anthony Carter,MIA,31,18,13,70.41333333333333,18,8,21,0,4,2,8,23
2000-01,1533,Anthony Johnson,CLE,4,2,2,1.685,0,0,0,0,0,0,0,0
2000-01,193,Anthony Mason,MIA,52,32,20,203.02666666666667,87,22,45,0,0,43,52,31
2000-01,324,Anthony Peeler,MIN,32,15,17,111.34833333333333,44,15,26,9,13,5,5,-23
2000-01,952,Antoine Walker,BOS,49,22,27,204.595,75,25,86,10,42,15,25,-21
2000-01,1498,Antonio Daniels,SAS,19,10,9,63.693333333333335,20,6,16,2,7,6,8,-10
2000-01,213,Antonio Davis,TOR,36,18,18,144.35666666666665,48,15,30,0,0,18,25,6
2000-01,176,Antonio Harvey,POR,1,0,1,4.293333333333333,0,0,0,0,0,0,0,-7
2000-01,686,Antonio McDyess,DEN,40,24,16,147.32333333333332,81,31,59,0,0,19,31,11
2000-01,717,Arvydas Sabonis,POR,20,10,10,39.571666666666665,21,8,17,0,1,5,10,19
2000-01,1506,Austin Croshere,IND,37,18,19,101.0,37,11,37,3,19,12,14,44
2000-01,422,Avery Johnson,SAS,12,5,7,56.50833333333333,12,4,8,1,1,3,6,15
2000-01,1884,Baron Davis,CHH,42,21,21,180.48333333333332,50,15,56,2,22,18,32,-4
2000-01,1112,Ben Wallace,DET,40,15,25,140.77833333333334,23,7,14,0,1,9,27,-34
2000-01,182,Billy Owens,DET,12,1,11,32.266666666666666,2,1,6,0,0,0,0,-38
2000-01,902,Bimbo Coles,CLE,11,7,4,23.505,13,4,10,1,2,4,4,6
2000-01,448,Bo Outlaw,ORL,44,23,21,129.675,22,4,11,0,0,14,22,-54
2000-01,682,Bob Sura,GSW,20,8,12,57.571666666666665,16,3,11,2,6,8,11,-47
2000-01,1517,Bobby Jackson,SAC,39,21,18,150.17666666666668,47,17,38,3,10,10,11,2
2000-01,1719,Bonzi Wells,POR,29,16,13,71.74166666666666,27,11,24,0,2,5,10,10
2000-01,1802,Brad Miller,CHI,19,5,14,58.38666666666666,9,2,7,0,0,5,8,-20
2000-01,699,Brent Barry,SEA,30,19,11,93.84333333333333,14,4,15,2,10,4,7,14
2000-01,1510,Brevin Knight,ATL,15,5,10,59.81666666666667,18,8,20,0,1,2,2,-49
2000-01,2073,Brian Cardinal,DET,3,1,2,5.153333333333333,0,0,0,0,0,0,2,-4
2000-01,258,Brian Grant,MIA,49,30,19,192.48833333333334,74,25,56,0,0,24,33,37
2000-01,216,Brian Shaw,LAL,38,23,15,125.76166666666667,25,8,30,2,18,7,8,18
2000-01,1730,Brian Skinner,LAC,5,3,2,10.633333333333333,1,0,2,0,0,1,2,-7
2000-01,1477,Bruce Bowen,MIA,42,23,19,144.735,34,8,31,3,14,15,22,-18
2000-01,1743,Bruno Sundov,IND,1,0,1,8.106666666666667,4,2,4,0,0,0,0,-13
2000-01,735,Bryant Reeves,VAN,19,6,13,45.221666666666664,16,5,14,0,0,6,8,-10
2000-01,179,Bryant Stith,BOS,40,19,21,117.105,19,2,12,1,8,14,21,2
2000-01,1724,Bryce Drew,CHI,21,6,15,80.715,22,8,19,6,11,0,0,-23
2000-01,935,Bryon Russell,UTA,40,24,16,133.655,66,14,29,6,13,32,40,78
2000-01,1898,Cal Bowdler,ATL,4,2,2,11.266666666666667,6,3,3,0,0,0,0,-3
2000-01,384,Calbert Cheaney,DEN,2,2,0,14.605,0,0,0,0,0,0,0,15
2000-01,1916,Calvin Booth,DAL,5,3,2,10.716666666666667,4,1,1,0,0,2,2,-10
2000-01,435,Carlos Rogers,HOU,9,5,4,24.42,8,4,5,0,0,0,0,18
2000-01,76,Cedric Ceballos,MIA,8,3,5,9.428333333333333,3,0,6,0,1,3,3,5
2000-01,1538,Cedric Henderson,CLE,15,6,9,39.92,6,2,8,0,0,2,4,-19
2000-01,891,Charles Oakley,TOR,31,17,14,141.22833333333332,28,7,31,1,4,13,16,11
2000-01,369,Charlie Ward,NYK,24,13,11,63.89666666666667,14,3,13,1,7,7,10,-6
2000-01,1497,Chauncey Billups,MIN,23,12,11,65.63166666666666,32,8,19,6,10,10,16,-4
2000-01,685,Cherokee Parks,LAC,11,3,8,40.031666666666666,3,1,8,0,0,1,2,-7
2000-01,713,Chris Carr,BOS,6,0,6,0.6633333333333333,6,2,2,2,2,0,0,8
2000-01,164,Chris Childs,TOR,29,18,11,88.44,14,3,18,1,5,7,9,15
2000-01,1544,Chris Crawford,ATL,12,3,9,38.55166666666667,2,0,7,0,2,2,3,-24
2000-01,201,Chris Dudley,PHX,1,0,1,7.895,2,0,0,0,0,2,6,-6
2000-01,423,Chris Gatling,CLE,28,12,16,72.03166666666667,18,6,25,0,2,6,9,0
2000-01,1914,Chris Herren,BOS,6,3,3,10.653333333333334,6,2,3,2,3,0,0,7
2000-01,2036,Chris Mihm,CLE,11,4,7,32.44833333333333,12,3,8,0,0,6,7,-12
2000-01,168,Chris Mills,GSW,8,4,4,37.13166666666667,7,3,9,1,2,0,0,-15
2000-01,904,Chris Mullin,GSW,6,2,4,11.625,4,1,3,0,2,2,2,-10
2000-01,2084,Chris Porter,GSW,10,0,10,24.76,7,3,7,0,0,1,2,-12
2000-01,185,Chris Webber,SAC,38,23,15,181.715,95,32,108,0,1,31,48,27
2000-01,43,Chris Whitney,WAS,20,8,12,57.585,40,8,29,4,18,20,20,30
2000-01,363,Christian Laettner,WAS,17,7,10,42.03333333333333,13,3,7,0,0,7,7,14
