loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
-48,210,True,2PT,Mid-Range,21,0022300004,20231103,Center(C)
-61,206,False,2PT,Mid-Range,21,0022300004,20231103,Center(C)
-12,2,True,2PT,Restricted Area,1,0022300004,20231103,Center(C)
-10,190,True,2PT,Mid-Range,19,0022300004,20231103,Center(C)
-234,4,True,3PT,Left Corner 3,23,0022300004,20231103,Left Side(L)
-110,155,False,2PT,Mid-Range,19,0022300004,20231103,Left Side Center(LC)
-9,8,False,2PT,Restricted Area,1,0022300004,20231103,Center(C)
-17,176,True,2PT,Mid-Range,17,0022300004,20231103,Center(C)
-138,211,True,3PT,Above the Break 3,25,0022300004,20231103,Left Side Center(LC)
-41,230,False,2PT,Mid-Range,23,0022300004,20231103,Center(C)
40,180,False,2PT,Mid-Range,18,0022300004,20231103,Center(C)
134,214,False,3PT,Above the Break 3,25,0022300004,20231103,Right Side Center(RC)
-9,188,False,2PT,Mid-Range,18,0022300004,20231103,Center(C)
-83,178,False,2PT,Mid-Range,19,0022300004,20231103,Left Side Center(LC)
-188,63,False,2PT,Mid-Range,19,0022300004,20231103,Left Side(L)
1,9,True,2PT,Restricted Area,0,0022300004,20231103,Center(C)
-104,235,False,3PT,Above the Break 3,25,0022300004,20231103,Left Side Center(LC)
-91,56,True,2PT,Mid-Range,10,0022300004,20231103,Left Side(L)
12,227,True,2PT,Mid-Range,22,0022300004,20231103,Center(C)
-9,101,False,2PT,In The Paint (Non-RA),10,0022300004,20231103,Center(C)
-32,-1,False,2PT,Restricted Area,3,0022300033,20231117,Center(C)
179,-22,True,2PT,Mid-Range,18,0022300033,20231117,Right Side(R)
-93,58,False,2PT,Mid-Range,10,0022300033,20231117,Left Side(L)
-4,-5,True,2PT,Restricted Area,0,0022300033,20231117,Center(C)
-31,28,False,2PT,In The Paint (Non-RA),4,0022300033,20231117,Center(C)
-42,104,True,2PT,In The Paint (Non-RA),11,0022300033,20231117,Center(C)
-23,11,False,2PT,Restricted Area,2,0022300033,20231117,Center(C)
0,49,False,2PT,In The Paint (Non-RA),4,0022300033,20231117,Center(C)
-196,-16,False,2PT,Mid-Range,19,0022300033,20231117,Left Side(L)
51,26,True,2PT,In The Paint (Non-RA),5,0022300033,20231117,Center(C)
22,8,False,2PT,Restricted Area,2,0022300033,20231117,Center(C)
-18,6,True,2PT,Restricted Area,1,0022300033,20231117,Center(C)
1,267,True,3PT,Above the Break 3,26,0022300033,20231117,Center(C)
0,123,True,2PT,In The Paint (Non-RA),12,0022300033,20231117,Center(C)
13,7,False,2PT,Restricted Area,1,0022300033,20231117,Center(C)
-21,174,False,2PT,Mid-Range,17,0022300033,20231117,Center(C)
-72,157,True,2PT,Mid-Range,17,0022300033,20231117,Left Side Center(LC)
20,153,True,2PT,Mid-Range,15,0022300033,20231117,Center(C)
-18,183,False,2PT,Mid-Range,18,0022300033,20231117,Center(C)
-76,80,True,2PT,In The Paint (Non-RA),11,0022300033,20231117,Left Side(L)
-142,265,False,3PT,Above the Break 3,30,0022300046,20231124,Left Side Center(LC)
-18,67,True,2PT,In The Paint (Non-RA),6,0022300046,20231124,Center(C)
-22,181,False,2PT,Mid-Range,18,0022300046,20231124,Center(C)
50,48,False,2PT,In The Paint (Non-RA),6,0022300046,20231124,Center(C)
-25,12,True,2PT,Restricted Area,2,0022300046,20231124,Center(C)
15,160,False,2PT,Mid-Range,16,0022300046,20231124,Center(C)
-69,34,True,2PT,In The Paint (Non-RA),7,0022300046,20231124,Center(C)
-189,-1,False,2PT,Mid-Range,18,0022300046,20231124,Left Side(L)
0,5,True,2PT,Restricted Area,0,0022300046,20231124,Center(C)
-21,194,False,2PT,Mid-Range,19,0022300046,20231124,Center(C)
-33,177,True,2PT,Mid-Range,18,0022300046,20231124,Center(C)
31,5,False,2PT,Restricted Area,3,0022300046,20231124,Center(C)
53,94,True,2PT,In The Paint (Non-RA),10,0022300046,20231124,Center(C)
-43,155,False,2PT,Mid-Range,16,0022300046,20231124,Center(C)
-183,27,True,2PT,Mid-Range,18,0022300046,20231124,Left Side(L)
-108,135,False,2PT,Mid-Range,17,0022300046,20231124,Left Side Center(LC)
-102,149,False,2PT,Mid-Range,18,0022300053,20231128,Left Side Center(LC)
-62,113,False,2PT,In The Paint (Non-RA),12,0022300053,20231128,Center(C)
-164,207,True,3PT,Above the Break 3,26,0022300053,20231128,Left Side Center(LC)
-83,109,True,2PT,Mid-Range,13,0022300053,20231128,Left Side(L)
-31,19,False,2PT,Restricted Area,3,0022300053,20231128,Center(C)
141,81,False,2PT,Mid-Range,16,0022300053,20231128,Right Side(R)
21,44,True,2PT,In The Paint (Non-RA),4,0022300053,20231128,Center(C)
-36,275,False,3PT,Above the Break 3,27,0022300053,20231128,Center(C)
-195,15,True,2PT,Mid-Range,19,0022300053,20231128,Left Side(L)
4,125,False,2PT,In The Paint (Non-RA),12,0022300053,20231128,Center(C)
26,153,True,2PT,Mid-Range,15,0022300053,20231128,Center(C)
