season,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG_PCT
2023-24,1641766,Adama Sanogo,CHI,9,65.76166666666667,14,27,0.519
2023-24,1627936,Alex Caruso,CHI,71,2040.3433333333332,253,541,0.468
2023-24,203083,Andre Drummond,CHI,79,1351.2516666666668,267,480,0.556
2023-24,1641847,Andrew Funk,CHI,5,13.4,0,4,0.0
2023-24,1630245,Ayo Dosunmu,CHI,76,2212.4683333333332,360,719,0.501
2023-24,1629632,Coby White,CHI,79,2881.3566666666666,541,1209,0.447
2023-24,1631207,Dalen Terry,CHI,59,680.71,69,157,0.439
2023-24,201942,DeMar DeRozan,CHI,79,2988.568333333333,650,1355,0.48
2023-24,1630929,Henri Drell,CHI,4,29.916666666666668,4,10,0.4
2023-24,1629750,Javonte Green,CHI,9,230.4,45,75,0.6
2023-24,1628975,Jevon Carter,CHI,72,1003.6016666666667,138,365,0.378
2023-24,1641763,Julian Phillips,CHI,40,322.55,32,77,0.416
2023-24,202696,Nikola Vučević,CHI,76,2609.5016666666666,586,1211,0.484
2023-24,1641931,Onuralp Bitim,CHI,23,267.9916666666667,32,84,0.381
2023-24,1630172,Patrick Williams,CHI,43,1174.085,159,359,0.443
2023-24,1630678,Terry Taylor,CHI,31,187.63,20,39,0.513
2023-24,1628470,Torrey Craig,CHI,53,1048.6016666666667,108,251,0.43
2023-24,203897,Zach LaVine,CHI,25,871.8616666666667,170,376,0.452
