season,player_id,player,zone,fga,fgm,fg,lg_fg,fg_rel,fga_share_pct,lg_fga_share_pct,pps,lg_pps,point_value,rated
2022-23,201942,DeMar DeRozan,Restricted Area,246,175,0.7114,0.6662,4.5223,18.8795,29.9268,1.4228,1.3323,2,True
2022-23,201942,DeMar DeRozan,In The Paint (Non-RA),256,124,0.4844,0.4437,4.0705,19.6470,19.7367,0.9688,0.8873,2,True
2022-23,201942,DeMar DeRozan,Left Baseline,88,44,0.5000,0.4122,8.7788,6.7536,1.5758,1.0000,0.8244,2,True
2022-23,201942,DeMar DeRozan,Left Mid-Range,151,64,0.4238,0.4154,0.8435,11.5886,2.6775,0.8477,0.8308,2,True
2022-23,201942,DeMar DeRozan,Center Mid-Range,259,129,0.4981,0.4267,7.1329,19.8772,2.9095,0.9961,0.8535,2,True
2022-23,201942,DeMar DeRozan,Right Mid-Range,135,62,0.4593,0.4248,3.4492,10.3607,2.8699,0.9185,0.8495,2,True
2022-23,201942,DeMar DeRozan,Right Baseline,25,12,0.4800,0.4151,6.4852,1.9186,1.6168,0.9600,0.8303,2,True
2022-23,201942,DeMar DeRozan,Left Corner 3,42,13,0.3095,0.3851,-7.5561,3.2233,5.1298,0.9286,1.1553,3,True
2022-23,201942,DeMar DeRozan,Left Wing 3,30,13,0.4333,0.3585,7.4839,2.3024,10.1911,1.3000,1.0755,3,True
2022-23,201942,DeMar DeRozan,Top of Key 3,57,15,0.2632,0.3408,-7.7627,4.3745,9.4724,0.7895,1.0224,3,True
2022-23,201942,DeMar DeRozan,Right Wing 3,9,4,0.4444,0.3575,8.6965,0.6907,9.2786,1.3333,1.0724,3,False
2022-23,201942,DeMar DeRozan,Right Corner 3,5,2,0.4000,0.3850,1.4963,0.3837,4.6151,1.2000,1.1551,3,False
