season,player_id,player,zone,fga,fgm,fg,lg_fg,fg_rel,fga_share_pct,lg_fga_share_pct,pps,lg_pps,point_value,rated
2020-21,203897,Zach LaVine,Restricted Area,388,254,0.6546,0.6408,1.3875,34.5503,30.0927,1.3093,1.2815,2,True
2020-21,203897,Zach LaVine,In The Paint (Non-RA),89,38,0.4270,0.4267,0.0275,7.9252,18.1456,0.8539,0.8534,2,True
2020-21,203897,Zach LaVine,Left Baseline,31,14,0.4516,0.4141,3.7534,2.7605,1.7033,0.9032,0.8282,2,True
2020-21,203897,Zach LaVine,Left Mid-Range,46,20,0.4348,0.4015,3.3295,4.0962,2.8861,0.8696,0.8030,2,True
2020-21,203897,Zach LaVine,Center Mid-Range,56,26,0.4643,0.4231,4.1178,4.9866,3.2856,0.9286,0.8462,2,True
2020-21,203897,Zach LaVine,Right Mid-Range,32,15,0.4688,0.4232,4.5561,2.8495,3.0573,0.9375,0.8464,2,True
2020-21,203897,Zach LaVine,Right Baseline,4,2,0.5000,0.4095,9.0541,0.3562,1.6829,1.0000,0.8189,2,False
2020-21,203897,Zach LaVine,Left Corner 3,46,27,0.5870,0.3972,18.9711,4.0962,4.8282,1.7609,1.1917,3,True
2020-21,203897,Zach LaVine,Left Wing 3,153,59,0.3856,0.3673,1.8335,13.6242,10.1475,1.1569,1.1019,3,True
2020-21,203897,Zach LaVine,Top of Key 3,161,60,0.3727,0.3457,2.7021,14.3366,10.2737,1.1180,1.0370,3,True
2020-21,203897,Zach LaVine,Right Wing 3,90,45,0.5000,0.3628,13.7241,8.0142,9.4370,1.5000,1.0883,3,True
2020-21,203897,Zach LaVine,Right Corner 3,27,9,0.3333,0.3879,-5.4551,2.4043,4.4601,1.0000,1.1637,3,True
2021-22,201942,DeMar DeRozan,Restricted Area,293,188,0.6416,0.6530,-1.1411,19.0879,29.0737,1.2833,1.3061,2,True
