season,zone,fga,fgm,fg_pct,fga_share_pct
2020-21,Center Mid-Range,6275,2655,42.3108,3.2856
2020-21,In The Paint (Non-RA),34655,14787,42.6692,18.1456
2020-21,Left Baseline,3253,1347,41.4079,1.7033
2020-21,Left Corner 3,9221,3663,39.7245,4.8282
2020-21,Left Mid-Range,5512,2213,40.1488,2.8861
2020-21,Left Wing 3,19380,7118,36.7286,10.1475
2020-21,Restricted Area,57472,36826,64.0764,30.0927
2020-21,Right Baseline,3214,1316,40.9459,1.6829
2020-21,Right Corner 3,8518,3304,38.7884,4.4601
2020-21,Right Mid-Range,5839,2471,42.3189,3.0573
2020-21,Right Wing 3,18023,6538,36.2759,9.4370
2020-21,Top of Key 3,19621,6782,34.5650,10.2737
2021-22,Center Mid-Range,6791,2861,42.1293,3.1335
2021-22,In The Paint (Non-RA),40103,17189,42.8621,18.5044
2021-22,Left Baseline,3766,1475,39.1662,1.7377
2021-22,Left Corner 3,11431,4388,38.3868,5.2745
2021-22,Left Mid-Range,6415,2585,40.2962,2.9600
2021-22,Left Wing 3,22464,7673,34.1569,10.3654
2021-22,Restricted Area,63009,41148,65.3050,29.0737
2021-22,Right Baseline,3772,1504,39.8727,1.7405
2021-22,Right Corner 3,10164,3883,38.2035,4.6899
2021-22,Right Mid-Range,6511,2632,40.4239,3.0043
2021-22,Right Wing 3,20433,7225,35.3595,9.4282
2021-22,Top of Key 3,21863,7367,33.6962,10.0880
2022-23,Center Mid-Range,6320,2697,42.6741,2.9095
2022-23,In The Paint (Non-RA),42872,19021,44.3670,19.7367
2022-23,Left Baseline,3423,1411,41.2212,1.5758
2022-23,Left Corner 3,11143,4291,38.5085,5.1298
2022-23,Left Mid-Range,5816,2416,41.5406,2.6775
2022-23,Left Wing 3,22137,7936,35.8495,10.1911
2022-23,Restricted Area,65007,43305,66.6159,29.9268
2022-23,Right Baseline,3512,1458,41.5148,1.6168
2022-23,Right Corner 3,10025,3860,38.5037,4.6151
2022-23,Right Mid-Range,6234,2648,42.4767,2.8699
2022-23,Right Wing 3,20155,7205,35.7480,9.2786
2022-23,Top of Key 3,20576,7012,34.0785,9.4724
2023-24,Center Mid-Range,5664,2446,43.1850,2.5898
2023-24,In The Paint (Non-RA),43565,19184,44.0353,19.9200
2023-24,Left Baseline,3377,1382,40.9239,1.5441
2023-24,Left Corner 3,11609,4481,38.5994,5.3082
2023-24,Left Mid-Range,5574,2328,41.7653,2.5487
2023-24,Left Wing 3,22464,8095,36.0354,10.2716
2023-24,Restricted Area,64699,42899,66.3055,29.5834
2023-24,Right Baseline,3537,1504,42.5219,1.6173
2023-24,Right Corner 3,10718,4222,39.3917,4.9008
2023-24,Right Mid-Range,5930,2416,40.7420,2.7115
2023-24,Right Wing 3,20514,7426,36.1997,9.3800
2023-24,Top of Key 3,21049,7356,34.9470,9.6246
2024-25,Center Mid-Range,4831,2023,41.8754,2.2006
2024-25,In The Paint (Non-RA),44858,19905,44.3734,20.4339
2024-25,Left Baseline,3122,1341,42.9532,1.4221
2024-25,Left Corner 3,12263,4734,38.6039,5.5861
2024-25,Left Mid-Range,4962,2023,40.7699,2.2603
2024-25,Left Wing 3,24038,8576,35.6768,10.9499
2024-25,Restricted Area,61218,40615,66.3449,27.8863
2024-25,Right Baseline,3097,1292,41.7178,1.4108
2024-25,Right Corner 3,11498,4478,38.9459,5.2376
2024-25,Right Mid-Range,4979,2063,41.4340,2.2681
2024-25,Right Wing 3,21786,7697,35.3300,9.9241
2024-25,Top of Key 3,22875,7819,34.1814,10.4201
2025-26,Center Mid-Range,4969,2117,42.6041,2.2673
2025-26,In The Paint (Non-RA),44283,19713,44.5160,20.2058
2025-26,Left Baseline,3222,1373,42.6133,1.4702
2025-26,Left Corner 3,12308,4758,38.6578,5.6160
2025-26,Left Mid-Range,5122,2019,39.4182,2.3371
2025-26,Left Wing 3,23932,8478,35.4254,10.9199
2025-26,Restricted Area,62278,41784,67.0927,28.4167
2025-26,Right Baseline,3099,1325,42.7557,1.4140
2025-26,Right Corner 3,11460,4420,38.5689,5.2291
2025-26,Right Mid-Range,5213,2181,41.8377,2.3786
2025-26,Right Wing 3,20823,7250,34.8173,9.5013
2025-26,Top of Key 3,22451,7809,34.7824,10.2441
