loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
26,58,False,2PT,In The Paint (Non-RA),6,0022100004,20211020,Center(C)
-148,241,False,3PT,Above the Break 3,28,0022100004,20211020,Left Side Center(LC)
-156,226,True,3PT,Above the Break 3,27,0022100004,20211020,Left Side Center(LC)
129,223,False,3PT,Above the Break 3,25,0022100004,20211020,Right Side Center(RC)
-34,10,False,2PT,Restricted Area,3,0022100004,20211020,Center(C)
-27,13,False,2PT,Restricted Area,2,0022100022,20211022,Center(C)
-12,6,True,2PT,Restricted Area,1,0022100022,20211022,Center(C)
-26,24,False,2PT,Restricted Area,3,0022100022,20211022,Center(C)
0,22,False,2PT,Restricted Area,2,0022100022,20211022,Center(C)
0,0,True,2PT,Restricted Area,0,0022100022,20211022,Center(C)
-26,-8,True,2PT,Restricted Area,2,0022100022,20211022,Center(C)
0,-1,True,2PT,Restricted Area,0,0022100022,20211022,Center(C)
233,-6,True,3PT,Right Corner 3,23,0022100030,20211023,Right Side(R)
-6,10,False,2PT,Restricted Area,1,0022100030,20211023,Center(C)
-135,238,True,3PT,Above the Break 3,27,0022100030,20211023,Left Side Center(LC)
119,10,True,2PT,Mid-Range,11,0022100030,20211023,Right Side(R)
-148,13,False,2PT,Mid-Range,14,0022100046,20211025,Left Side(L)
-115,238,True,3PT,Above the Break 3,26,0022100046,20211025,Left Side Center(LC)
-6,6,True,2PT,Restricted Area,0,0022100046,20211025,Center(C)
20,70,False,2PT,In The Paint (Non-RA),7,0022100046,20211025,Center(C)
148,56,False,2PT,Mid-Range,15,0022100067,20211028,Right Side(R)
-23,1,True,2PT,Restricted Area,2,0022100067,20211028,Center(C)
232,17,True,3PT,Right Corner 3,23,0022100067,20211028,Right Side(R)
159,189,False,3PT,Above the Break 3,24,0022100067,20211028,Right Side Center(RC)
6,24,False,2PT,Restricted Area,2,0022100067,20211028,Center(C)
103,226,True,3PT,Above the Break 3,24,0022100067,20211028,Right Side Center(RC)
-120,220,False,3PT,Above the Break 3,25,0022100067,20211028,Left Side Center(LC)
44,253,False,3PT,Above the Break 3,25,0022100067,20211028,Center(C)
228,44,False,3PT,Right Corner 3,23,0022100067,20211028,Right Side(R)
9,-3,True,2PT,Restricted Area,0,0022100067,20211028,Center(C)
1,10,False,2PT,Restricted Area,1,0022100083,20211030,Center(C)
2,61,True,2PT,In The Paint (Non-RA),6,0022100083,20211030,Center(C)
0,31,False,2PT,Restricted Area,3,0022100083,20211030,Center(C)
10,0,False,2PT,Restricted Area,1,0022100083,20211030,Center(C)
37,92,True,2PT,In The Paint (Non-RA),9,0022100083,20211030,Center(C)
-13,-1,True,2PT,Restricted Area,1,0022100083,20211030,Center(C)
-105,248,False,3PT,Above the Break 3,26,0022100098,20211101,Left Side Center(LC)
28,20,False,2PT,Restricted Area,3,0022100098,20211101,Center(C)
-18,17,True,2PT,Restricted Area,2,0022100098,20211101,Center(C)
-224,-11,True,3PT,Left Corner 3,22,0022100098,20211101,Left Side(L)
109,236,False,3PT,Above the Break 3,25,0022100098,20211101,Right Side Center(RC)
0,0,True,2PT,Restricted Area,0,0022100111,20211103,Center(C)
-28,3,True,2PT,Restricted Area,2,0022100111,20211103,Center(C)
-129,268,False,3PT,Above the Break 3,29,0022100111,20211103,Left Side Center(LC)
-235,-5,False,3PT,Left Corner 3,23,0022100111,20211103,Left Side(L)
-165,55,False,2PT,Mid-Range,17,0022100111,20211103,Left Side(L)
-2,6,True,2PT,Restricted Area,0,0022100111,20211103,Center(C)
-6,-2,True,2PT,Restricted Area,0,0022100135,20211106,Center(C)
-11,6,True,2PT,Restricted Area,1,0022100135,20211106,Center(C)
74,250,False,3PT,Above the Break 3,26,0022100135,20211106,Center(C)
33,131,True,2PT,In The Paint (Non-RA),13,0022100135,20211106,Center(C)
-86,178,False,2PT,Mid-Range,19,0022100135,20211106,Left Side Center(LC)
-129,217,False,3PT,Above the Break 3,25,0022100135,20211106,Left Side Center(LC)
212,149,False,3PT,Above the Break 3,25,0022100135,20211106,Right Side Center(RC)
-233,-10,False,3PT,Left Corner 3,23,0022100148,20211108,Left Side(L)
-64,550,False,3PT,Backcourt,55,0022100148,20211108,Back Court(BC)
27,13,False,2PT,Restricted Area,2,0022100148,20211108,Center(C)
-145,232,True,3PT,Above the Break 3,27,0022100148,20211108,Left Side Center(LC)
-25,177,True,2PT,Mid-Range,17,0022100163,20211110,Center(C)
-112,231,True,3PT,Above the Break 3,25,0022100163,20211110,Left Side Center(LC)
195,153,True,3PT,Above the Break 3,24,0022100163,20211110,Right Side Center(RC)
1,4,True,2PT,Restricted Area,0,0022100163,20211110,Center(C)
75,155,True,2PT,Mid-Range,17,0022100163,20211110,Right Side Center(RC)
-164,216,True,3PT,Above the Break 3,27,0022100163,20211110,Left Side Center(LC)
-233,-10,False,3PT,Left Corner 3,23,0022100163,20211110,Left Side(L)
-65,264,False,3PT,Above the Break 3,27,0022100183,20211112,Center(C)
-50,10,True,2PT,In The Paint (Non-RA),5,0022100183,20211112,Center(C)
