loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
-28,93,False,2PT,In The Paint (Non-RA),9,0022100209,20211115,Center(C)
-9,24,False,2PT,Restricted Area,2,0022100209,20211115,Center(C)
-188,181,False,3PT,Above the Break 3,26,0022100223,20211117,Left Side Center(LC)
-232,31,False,3PT,Left Corner 3,23,0022100223,20211117,Left Side(L)
-32,7,False,2PT,Restricted Area,3,0022100236,20211119,Center(C)
-121,244,False,3PT,Above the Break 3,27,0022100236,20211119,Left Side Center(LC)
15,36,True,2PT,Restricted Area,3,0022100236,20211119,Center(C)
-103,179,False,2PT,Mid-Range,20,0022100236,20211119,Left Side Center(LC)
10,31,False,2PT,Restricted Area,3,0022100236,20211119,Center(C)
-186,171,False,3PT,Above the Break 3,25,0022100236,20211119,Left Side Center(LC)
163,209,False,3PT,Above the Break 3,26,0022100236,20211119,Right Side Center(RC)
12,4,False,2PT,Restricted Area,1,0022100250,20211121,Center(C)
-6,51,True,2PT,In The Paint (Non-RA),5,0022100250,20211121,Center(C)
-212,152,False,3PT,Above the Break 3,26,0022100250,20211121,Left Side Center(LC)
0,67,True,2PT,In The Paint (Non-RA),6,0022100250,20211121,Center(C)
1,149,False,2PT,Mid-Range,14,0022100250,20211121,Center(C)
186,185,False,3PT,Above the Break 3,26,0022100250,20211121,Right Side Center(RC)
12,18,False,2PT,Restricted Area,2,0022100250,20211121,Center(C)
232,-9,True,3PT,Right Corner 3,23,0022100250,20211121,Right Side(R)
-230,-4,True,3PT,Left Corner 3,23,0022100250,20211121,Left Side(L)
234,25,True,3PT,Right Corner 3,23,0022100250,20211121,Right Side(R)
191,167,False,3PT,Above the Break 3,25,0022100250,20211121,Right Side Center(RC)
4,25,False,2PT,Restricted Area,2,0022100257,20211122,Center(C)
16,241,False,3PT,Above the Break 3,24,0022100257,20211122,Center(C)
-109,237,False,3PT,Above the Break 3,26,0022100257,20211122,Left Side Center(LC)
45,62,True,2PT,In The Paint (Non-RA),7,0022100257,20211122,Center(C)
-47,204,True,2PT,Mid-Range,20,0022100257,20211122,Center(C)
1,67,False,2PT,In The Paint (Non-RA),6,0022100257,20211122,Center(C)
-229,52,False,3PT,Left Corner 3,23,0022100257,20211122,Left Side(L)
-40,38,False,2PT,In The Paint (Non-RA),5,0022100257,20211122,Center(C)
25,47,False,2PT,In The Paint (Non-RA),5,0022100257,20211122,Center(C)
-44,99,False,2PT,In The Paint (Non-RA),10,0022100257,20211122,Center(C)
-138,218,True,3PT,Above the Break 3,25,0022100271,20211124,Left Side Center(LC)
1,257,False,3PT,Above the Break 3,25,0022100271,20211124,Center(C)
161,200,False,3PT,Above the Break 3,25,0022100271,20211124,Right Side Center(RC)
-234,85,False,3PT,Left Corner 3,24,0022100271,20211124,Left Side(L)
-9,37,False,2PT,Restricted Area,3,0022100271,20211124,Center(C)
121,222,True,3PT,Above the Break 3,25,0022100283,20211126,Right Side Center(RC)
-65,155,True,2PT,Mid-Range,16,0022100283,20211126,Left Side Center(LC)
164,221,False,3PT,Above the Break 3,27,0022100283,20211126,Right Side Center(RC)
31,22,True,2PT,Restricted Area,3,0022100283,20211126,Center(C)
31,17,True,2PT,Restricted Area,3,0022100283,20211126,Center(C)
-16,8,True,2PT,Restricted Area,1,0022100283,20211126,Center(C)
110,252,True,3PT,Above the Break 3,27,0022100283,20211126,Right Side Center(RC)
-1,130,True,2PT,In The Paint (Non-RA),13,0022100283,20211126,Center(C)
-201,210,False,3PT,Above the Break 3,29,0022100283,20211126,Left Side Center(LC)
-53,74,True,2PT,In The Paint (Non-RA),9,0022100283,20211126,Left Side(L)
175,33,True,2PT,Mid-Range,17,0022100283,20211126,Right Side(R)
172,192,False,3PT,Above the Break 3,25,0022100296,20211127,Right Side Center(RC)
-37,13,True,2PT,Restricted Area,3,0022100296,20211127,Center(C)
-192,156,False,3PT,Above the Break 3,24,0022100296,20211127,Left Side Center(LC)
-188,173,False,3PT,Above the Break 3,25,0022100296,20211127,Left Side Center(LC)
23,203,True,2PT,Mid-Range,20,0022100296,20211127,Center(C)
-237,17,False,3PT,Left Corner 3,23,0022100296,20211127,Left Side(L)
-233,-3,False,3PT,Left Corner 3,23,0022100296,20211127,Left Side(L)
9,47,False,2PT,In The Paint (Non-RA),4,0022100296,20211127,Center(C)
223,5,False,3PT,Right Corner 3,22,0022100307,20211129,Right Side(R)
146,216,False,3PT,Above the Break 3,26,0022100307,20211129,Right Side Center(RC)
-1,21,False,2PT,Restricted Area,2,0022100307,20211129,Center(C)
167,-8,False,2PT,Mid-Range,16,0022100307,20211129,Right Side(R)
-146,249,False,3PT,Above the Break 3,28,0022100307,20211129,Left Side Center(LC)
11,10,True,2PT,Restricted Area,1,0022100307,20211129,Center(C)
-168,190,True,3PT,Above the Break 3,25,0022100307,20211129,Left Side Center(LC)
-17,15,False,2PT,Restricted Area,2,0022100415,20220111,Center(C)
26,87,True,2PT,In The Paint (Non-RA),9,0022100415,20220111,Center(C)
229,108,True,3PT,Above the Break 3,25,0022100415,20220111,Right Side Center(RC)
228,6,False,3PT,Right Corner 3,22,0022100415,20220111,Right Side(R)
153,199,False,3PT,Above the Break 3,25,0022100415,20220111,Right Side Center(RC)
-9,48,False,2PT,In The Paint (Non-RA),4,0022100415,20220111,Center(C)
-10,12,True,2PT,Restricted Area,1,0022100415,20220111,Center(C)
9,2,True,2PT,Restricted Area,0,0022100415,20220111,Center(C)
70,252,True,3PT,Above the Break 3,26,0022100430,20220203,Center(C)
32,265,False,3PT,Above the Break 3,26,0022100430,20220203,Center(C)
89,247,True,3PT,Above the Break 3,26,0022100430,20220203,Right Side Center(RC)
-58,34,False,2PT,In The Paint (Non-RA),6,0022100430,20220203,Center(C)
88,34,False,2PT,Mid-Range,9,0022100430,20220203,Right Side(R)
-88,189,True,2PT,Mid-Range,20,0022100430,20220203,Left Side Center(LC)
-37,257,False,3PT,Above the Break 3,25,0022100430,20220203,Center(C)
-28,68,True,2PT,In The Paint (Non-RA),7,0022100430,20220203,Center(C)
72,106,False,2PT,In The Paint (Non-RA),12,0022100430,20220203,Right Side(R)
-167,210,True,3PT,Above the Break 3,26,0022100430,20220203,Left Side Center(LC)
-59,247,False,3PT,Above the Break 3,25,0022100430,20220203,Center(C)
-37,211,False,2PT,Mid-Range,21,0022100430,20220203,Center(C)
20,90,False,2PT,In The Paint (Non-RA),9,0022100430,20220203,Center(C)
-228,64,True,3PT,Left Corner 3,23,0022100430,20220203,Left Side(L)
-98,246,False,3PT,Above the Break 3,26,0022100430,20220203,Left Side Center(LC)
-159,58,False,2PT,Mid-Range,16,0022100448,20211219,Left Side(L)
86,260,False,3PT,Above the Break 3,27,0022100448,20211219,Right Side Center(RC)
64,265,False,3PT,Above the Break 3,27,0022100448,20211219,Center(C)
34,4,True,2PT,Restricted Area,3,0022100448,20211219,Center(C)
213,155,False,3PT,Above the Break 3,26,0022100448,20211219,Right Side Center(RC)
4,7,True,2PT,Restricted Area,0,0022100448,20211219,Center(C)
-88,259,False,3PT,Above the Break 3,27,0022100448,20211219,Left Side Center(LC)
52,67,False,2PT,In The Paint (Non-RA),8,0022100459,20211220,Right Side(R)
222,41,True,3PT,Right Corner 3,22,0022100459,20211220,Right Side(R)
-234,3,False,3PT,Left Corner 3,23,0022100459,20211220,Left Side(L)
-35,19,False,2PT,Restricted Area,3,0022100459,20211220,Center(C)
-78,252,False,3PT,Above the Break 3,26,0022100459,20211220,Center(C)
83,247,True,3PT,Above the Break 3,26,0022100459,20211220,Right Side Center(RC)
-237,92,False,3PT,Above the Break 3,25,0022100459,20211220,Left Side Center(LC)
-18,26,False,2PT,Restricted Area,3,0022100459,20211220,Center(C)
226,4,True,3PT,Right Corner 3,22,0022100459,20211220,Right Side(R)
11,16,False,2PT,Restricted Area,1,0022100459,20211220,Center(C)
124,228,False,3PT,Above the Break 3,25,0022100459,20211220,Right Side Center(RC)
69,248,True,3PT,Above the Break 3,25,0022100459,20211220,Center(C)
7,5,True,2PT,Restricted Area,0,0022100459,20211220,Center(C)
81,251,True,3PT,Above the Break 3,26,0022100459,20211220,Center(C)
7,15,True,2PT,Restricted Area,1,0022100459,20211220,Center(C)
13,234,False,2PT,Mid-Range,23,0022100472,20220126,Center(C)
2,16,True,2PT,Restricted Area,1,0022100472,20220126,Center(C)
26,25,True,2PT,Restricted Area,3,0022100472,20220126,Center(C)
158,194,False,3PT,Above the Break 3,25,0022100472,20220126,Right Side Center(RC)
109,13,False,2PT,Mid-Range,10,0022100472,20220126,Right Side(R)
54,125,True,2PT,In The Paint (Non-RA),13,0022100472,20220126,Center(C)
-49,256,False,3PT,Above the Break 3,26,0022100472,20220126,Center(C)
136,216,False,3PT,Above the Break 3,25,0022100472,20220126,Right Side Center(RC)
36,149,False,2PT,Mid-Range,15,0022100472,20220126,Center(C)
-235,-9,True,3PT,Left Corner 3,23,0022100472,20220126,Left Side(L)
-25,-1,False,2PT,Restricted Area,2,0022100499,20211226,Center(C)
232,1,False,3PT,Right Corner 3,23,0022100499,20211226,Right Side(R)
13,57,False,2PT,In The Paint (Non-RA),5,0022100499,20211226,Center(C)
-4,252,False,3PT,Above the Break 3,25,0022100499,20211226,Center(C)
-16,0,True,2PT,Restricted Area,1,0022100499,20211226,Center(C)
11,10,True,2PT,Restricted Area,1,0022100499,20211226,Center(C)
-11,5,True,2PT,Restricted Area,1,0022100499,20211226,Center(C)
-70,238,False,3PT,Above the Break 3,24,0022100499,20211226,Center(C)
-66,238,False,3PT,Above the Break 3,24,0022100499,20211226,Center(C)
16,-1,False,2PT,Restricted Area,1,0022100499,20211226,Center(C)
-6,262,False,3PT,Above the Break 3,26,0022100502,20211227,Center(C)
23,13,False,2PT,Restricted Area,2,0022100502,20211227,Center(C)
40,251,False,3PT,Above the Break 3,25,0022100502,20211227,Center(C)
-143,220,True,3PT,Above the Break 3,26,0022100502,20211227,Left Side Center(LC)
-22,247,True,3PT,Above the Break 3,24,0022100502,20211227,Center(C)
-71,246,False,3PT,Above the Break 3,25,0022100502,20211227,Center(C)
-11,9,True,2PT,Restricted Area,1,0022100502,20211227,Center(C)
-118,224,False,3PT,Above the Break 3,25,0022100502,20211227,Left Side Center(LC)
20,20,False,2PT,Restricted Area,2,0022100502,20211227,Center(C)
17,185,True,2PT,Mid-Range,18,0022100502,20211227,Center(C)
-230,14,True,3PT,Left Corner 3,23,0022100502,20211227,Left Side(L)
-235,-6,False,3PT,Left Corner 3,23,0022100519,20211229,Left Side(L)
-59,241,True,3PT,Above the Break 3,24,0022100519,20211229,Center(C)
12,10,True,2PT,Restricted Area,1,0022100519,20211229,Center(C)
67,232,False,3PT,Above the Break 3,24,0022100519,20211229,Center(C)
-4,6,True,2PT,Restricted Area,0,0022100519,20211229,Center(C)
2,5,False,2PT,Restricted Area,0,0022100519,20211229,Center(C)
148,215,False,3PT,Above the Break 3,26,0022100519,20211229,Right Side Center(RC)
219,96,False,3PT,Above the Break 3,23,0022100519,20211229,Right Side Center(RC)
-223,65,False,3PT,Left Corner 3,23,0022100519,20211229,Left Side(L)
-91,-1,True,2PT,Mid-Range,9,0022100519,20211229,Left Side(L)
234,-8,True,3PT,Right Corner 3,23,0022100519,20211229,Right Side(R)
-140,254,True,3PT,Above the Break 3,29,0022100519,20211229,Left Side Center(LC)
-110,230,False,3PT,Above the Break 3,25,0022100519,20211229,Left Side Center(LC)
29,10,False,2PT,Restricted Area,3,0022100519,20211229,Center(C)
-168,204,True,3PT,Above the Break 3,26,0022100530,20211231,Left Side Center(LC)
125,101,False,2PT,Mid-Range,16,0022100530,20211231,Right Side Center(RC)
