loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
-158,203,False,3PT,Above the Break 3,25,0022100004,20211020,Left Side Center(LC)
21,16,True,2PT,Restricted Area,2,0022100022,20211022,Center(C)
-6,6,False,2PT,Restricted Area,0,0022100022,20211022,Center(C)
2,4,True,2PT,Restricted Area,0,0022100022,20211022,Center(C)
1,-3,True,2PT,Restricted Area,0,0022100022,20211022,Center(C)
0,0,True,2PT,Restricted Area,0,0022100022,20211022,Center(C)
-147,201,False,3PT,Above the Break 3,24,0022100022,20211022,Left Side Center(LC)
229,1,True,3PT,Right Corner 3,22,0022100030,20211023,Right Side(R)
229,11,True,3PT,Right Corner 3,22,0022100030,20211023,Right Side(R)
7,6,True,2PT,Restricted Area,0,0022100030,20211023,Center(C)
-10,43,False,2PT,In The Paint (Non-RA),4,0022100046,20211025,Center(C)
-235,-13,True,3PT,Left Corner 3,23,0022100067,20211028,Left Side(L)
0,0,True,2PT,Restricted Area,0,0022100067,20211028,Center(C)
6,4,True,2PT,Restricted Area,0,0022100083,20211030,Center(C)
0,0,True,2PT,Restricted Area,0,0022100083,20211030,Center(C)
227,6,False,3PT,Right Corner 3,22,0022100098,20211101,Right Side(R)
-1,11,True,2PT,Restricted Area,1,0022100098,20211101,Center(C)
2,15,False,2PT,Restricted Area,1,0022100098,20211101,Center(C)
-1,21,True,2PT,Restricted Area,2,0022100098,20211101,Center(C)
7,73,False,2PT,In The Paint (Non-RA),7,0022100098,20211101,Center(C)
7,-7,True,2PT,Restricted Area,0,0022100098,20211101,Center(C)
11,5,False,2PT,Restricted Area,1,0022100111,20211103,Center(C)
-29,75,False,2PT,In The Paint (Non-RA),8,0022100111,20211103,Center(C)
-4,25,True,2PT,Restricted Area,2,0022100111,20211103,Center(C)
15,4,False,2PT,Restricted Area,1,0022100111,20211103,Center(C)
0,0,True,2PT,Restricted Area,0,0022100111,20211103,Center(C)
33,11,False,2PT,Restricted Area,3,0022100111,20211103,Center(C)
-4,40,False,2PT,In The Paint (Non-RA),4,0022100135,20211106,Center(C)
-7,5,False,2PT,Restricted Area,0,0022100135,20211106,Center(C)
223,34,False,3PT,Right Corner 3,22,0022100135,20211106,Right Side(R)
0,0,False,2PT,Restricted Area,0,0022100135,20211106,Center(C)
2,0,True,2PT,Restricted Area,0,0022100135,20211106,Center(C)
229,3,True,3PT,Right Corner 3,22,0022100148,20211108,Right Side(R)
0,0,False,2PT,Restricted Area,0,0022100148,20211108,Center(C)
0,0,True,2PT,Restricted Area,0,0022100148,20211108,Center(C)
9,-7,False,2PT,Restricted Area,1,0022100148,20211108,Center(C)
-228,119,False,3PT,Above the Break 3,25,0022100148,20211108,Left Side Center(LC)
