loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
-195,190,False,3PT,Above the Break 3,27,0022100004,20211020,Left Side Center(LC)
-33,0,False,2PT,Restricted Area,3,0022100004,20211020,Center(C)
228,58,False,3PT,Right Corner 3,23,0022100004,20211020,Right Side(R)
69,4,True,2PT,In The Paint (Non-RA),6,0022100004,20211020,Center(C)
-91,250,False,3PT,Above the Break 3,26,0022100004,20211020,Left Side Center(LC)
16,36,False,2PT,Restricted Area,3,0022100004,20211020,Center(C)
2,29,True,2PT,Restricted Area,2,0022100004,20211020,Center(C)
-45,252,True,3PT,Above the Break 3,25,0022100004,20211020,Center(C)
-66,11,True,2PT,In The Paint (Non-RA),6,0022100004,20211020,Center(C)
235,25,True,3PT,Right Corner 3,23,0022100004,20211020,Right Side(R)
93,245,False,3PT,Above the Break 3,26,0022100004,20211020,Right Side Center(RC)
191,-28,False,2PT,Mid-Range,19,0022100004,20211020,Right Side(R)
-9,1,True,2PT,Restricted Area,0,0022100022,20211022,Center(C)
-74,262,False,3PT,Above the Break 3,27,0022100022,20211022,Center(C)
-175,194,False,3PT,Above the Break 3,26,0022100022,20211022,Left Side Center(LC)
-103,253,True,3PT,Above the Break 3,27,0022100022,20211022,Left Side Center(LC)
-98,268,False,3PT,Above the Break 3,28,0022100022,20211022,Left Side Center(LC)
179,173,False,3PT,Above the Break 3,24,0022100022,20211022,Right Side Center(RC)
-130,201,True,3PT,Above the Break 3,23,0022100022,20211022,Left Side Center(LC)
43,136,True,2PT,In The Paint (Non-RA),14,0022100022,20211022,Center(C)
-196,176,False,3PT,Above the Break 3,26,0022100022,20211022,Left Side Center(LC)
-16,3,True,2PT,Restricted Area,1,0022100022,20211022,Center(C)
58,264,True,3PT,Above the Break 3,27,0022100022,20211022,Center(C)
-1,6,False,2PT,Restricted Area,0,0022100030,20211023,Center(C)
-4,255,True,3PT,Above the Break 3,25,0022100030,20211023,Center(C)
56,110,True,2PT,In The Paint (Non-RA),12,0022100030,20211023,Center(C)
-6,56,False,2PT,In The Paint (Non-RA),5,0022100030,20211023,Center(C)
153,90,False,2PT,Mid-Range,17,0022100030,20211023,Right Side(R)
-9,6,True,2PT,Restricted Area,1,0022100030,20211023,Center(C)
224,-2,False,3PT,Right Corner 3,22,0022100030,20211023,Right Side(R)
-191,195,False,3PT,Above the Break 3,27,0022100030,20211023,Left Side Center(LC)
152,199,True,3PT,Above the Break 3,25,0022100030,20211023,Right Side Center(RC)
-232,126,False,3PT,Above the Break 3,26,0022100030,20211023,Left Side Center(LC)
-147,211,True,3PT,Above the Break 3,25,0022100030,20211023,Left Side Center(LC)
-233,-14,False,3PT,Left Corner 3,23,0022100030,20211023,Left Side(L)
92,244,True,3PT,Above the Break 3,26,0022100046,20211025,Right Side Center(RC)
-138,94,False,2PT,Mid-Range,16,0022100046,20211025,Left Side(L)
-201,174,False,3PT,Above the Break 3,26,0022100046,20211025,Left Side Center(LC)
-156,223,True,3PT,Above the Break 3,27,0022100046,20211025,Left Side Center(LC)
-168,199,True,3PT,Above the Break 3,26,0022100046,20211025,Left Side Center(LC)
-146,217,False,3PT,Above the Break 3,26,0022100046,20211025,Left Side Center(LC)
-234,-6,True,3PT,Left Corner 3,23,0022100046,20211025,Left Side(L)
-228,3,True,3PT,Left Corner 3,22,0022100046,20211025,Left Side(L)
-123,225,False,3PT,Above the Break 3,25,0022100046,20211025,Left Side Center(LC)
150,209,False,3PT,Above the Break 3,25,0022100046,20211025,Right Side Center(RC)
