loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
32,5,False,2PT,Restricted Area,3,0022100004,20211020,Center(C)
105,247,False,3PT,Above the Break 3,26,0022100004,20211020,Right Side Center(RC)
-21,20,False,2PT,Restricted Area,2,0022100004,20211020,Center(C)
22,5,False,2PT,Restricted Area,2,0022100004,20211020,Center(C)
0,0,False,2PT,Restricted Area,0,0022100004,20211020,Center(C)
0,0,True,2PT,Restricted Area,0,0022100004,20211020,Center(C)
1,12,True,2PT,Restricted Area,1,0022100004,20211020,Center(C)
21,4,False,2PT,Restricted Area,2,0022100004,20211020,Center(C)
21,22,False,2PT,Restricted Area,3,0022100004,20211020,Center(C)
-16,5,True,2PT,Restricted Area,1,0022100004,20211020,Center(C)
-132,26,True,2PT,Mid-Range,13,0022100004,20211020,Left Side(L)
-27,10,False,2PT,Restricted Area,2,0022100004,20211020,Center(C)
121,43,True,2PT,Mid-Range,12,0022100004,20211020,Right Side(R)
-132,62,False,2PT,Mid-Range,14,0022100004,20211020,Left Side(L)
16,36,False,2PT,Restricted Area,3,0022100004,20211020,Center(C)
-2,31,False,2PT,Restricted Area,3,0022100004,20211020,Center(C)
38,246,True,3PT,Above the Break 3,24,0022100004,20211020,Center(C)
-22,24,True,2PT,Restricted Area,3,0022100004,20211020,Center(C)
-105,239,False,3PT,Above the Break 3,26,0022100004,20211020,Left Side Center(LC)
48,21,False,2PT,In The Paint (Non-RA),5,0022100004,20211020,Center(C)
-212,169,False,3PT,Above the Break 3,27,0022100004,20211020,Left Side Center(LC)
1,109,True,2PT,In The Paint (Non-RA),10,0022100022,20211022,Center(C)
91,235,False,3PT,Above the Break 3,25,0022100022,20211022,Right Side Center(RC)
0,0,False,2PT,Restricted Area,0,0022100022,20211022,Center(C)
0,284,True,3PT,Above the Break 3,28,0022100022,20211022,Center(C)
-25,106,True,2PT,In The Paint (Non-RA),10,0022100022,20211022,Center(C)
-115,233,False,3PT,Above the Break 3,25,0022100022,20211022,Left Side Center(LC)
-20,78,False,2PT,In The Paint (Non-RA),8,0022100022,20211022,Center(C)
124,-18,True,2PT,Mid-Range,12,0022100022,20211022,Right Side(R)
152,200,False,3PT,Above the Break 3,25,0022100022,20211022,Right Side Center(RC)
-124,10,False,2PT,Mid-Range,12,0022100022,20211022,Left Side(L)
-6,82,False,2PT,In The Paint (Non-RA),8,0022100022,20211022,Center(C)
21,74,False,2PT,In The Paint (Non-RA),7,0022100030,20211023,Center(C)
45,19,True,2PT,In The Paint (Non-RA),4,0022100030,20211023,Center(C)
-11,260,True,3PT,Above the Break 3,26,0022100030,20211023,Center(C)
1,26,False,2PT,Restricted Area,2,0022100030,20211023,Center(C)
0,0,True,2PT,Restricted Area,0,0022100030,20211023,Center(C)
-51,50,True,2PT,In The Paint (Non-RA),7,0022100030,20211023,Center(C)
-1,256,False,3PT,Above the Break 3,25,0022100030,20211023,Center(C)
-5,38,False,2PT,Restricted Area,3,0022100030,20211023,Center(C)
74,235,False,3PT,Above the Break 3,24,0022100030,20211023,Center(C)
-11,50,False,2PT,In The Paint (Non-RA),5,0022100030,20211023,Center(C)
123,60,False,2PT,Mid-Range,13,0022100030,20211023,Right Side(R)
23,278,False,3PT,Above the Break 3,27,0022100030,20211023,Center(C)
0,0,True,2PT,Restricted Area,0,0022100030,20211023,Center(C)
22,159,False,2PT,Mid-Range,16,0022100030,20211023,Center(C)
-2,52,False,2PT,In The Paint (Non-RA),5,0022100030,20211023,Center(C)
-4,2,True,2PT,Restricted Area,0,0022100030,20211023,Center(C)
4,34,False,2PT,Restricted Area,3,0022100046,20211025,Center(C)
44,67,True,2PT,In The Paint (Non-RA),8,0022100046,20211025,Right Side(R)
2,50,False,2PT,In The Paint (Non-RA),5,0022100046,20211025,Center(C)
0,0,True,2PT,Restricted Area,0,0022100046,20211025,Center(C)
47,258,False,3PT,Above the Break 3,26,0022100046,20211025,Center(C)
-140,46,True,2PT,Mid-Range,14,0022100046,20211025,Left Side(L)
-5,153,True,2PT,Mid-Range,15,0022100046,20211025,Center(C)
135,74,True,2PT,Mid-Range,15,0022100046,20211025,Right Side(R)
-36,52,False,2PT,In The Paint (Non-RA),6,0022100046,20211025,Center(C)
148,8,False,2PT,Mid-Range,14,0022100046,20211025,Right Side(R)
-142,13,True,2PT,Mid-Range,14,0022100046,20211025,Left Side(L)
-5,37,True,2PT,Restricted Area,3,0022100046,20211025,Center(C)
-105,242,False,3PT,Above the Break 3,26,0022100046,20211025,Left Side Center(LC)
-13,9,False,2PT,Restricted Area,1,0022100046,20211025,Center(C)
-130,-7,True,2PT,Mid-Range,13,0022100046,20211025,Left Side(L)
67,234,True,3PT,Above the Break 3,24,0022100067,20211028,Center(C)
-89,159,False,2PT,Mid-Range,18,0022100067,20211028,Left Side Center(LC)
126,59,True,2PT,Mid-Range,13,0022100067,20211028,Right Side(R)
-31,82,True,2PT,In The Paint (Non-RA),8,0022100067,20211028,Center(C)
-136,-11,False,2PT,Mid-Range,13,0022100067,20211028,Left Side(L)
51,243,False,3PT,Above the Break 3,24,0022100067,20211028,Center(C)
-108,53,False,2PT,Mid-Range,12,0022100067,20211028,Left Side(L)
11,41,True,2PT,In The Paint (Non-RA),4,0022100067,20211028,Center(C)
-104,252,True,3PT,Above the Break 3,27,0022100067,20211028,Left Side Center(LC)
-2,10,True,2PT,Restricted Area,1,0022100067,20211028,Center(C)
-96,263,False,3PT,Above the Break 3,27,0022100067,20211028,Left Side Center(LC)
-22,53,True,2PT,In The Paint (Non-RA),5,0022100067,20211028,Center(C)
-169,188,True,3PT,Above the Break 3,25,0022100067,20211028,Left Side Center(LC)
-15,148,False,2PT,Mid-Range,14,0022100083,20211030,Center(C)
7,54,False,2PT,In The Paint (Non-RA),5,0022100083,20211030,Center(C)
-22,269,False,3PT,Above the Break 3,26,0022100083,20211030,Center(C)
145,52,False,2PT,Mid-Range,15,0022100083,20211030,Right Side(R)
-45,194,False,2PT,Mid-Range,19,0022100083,20211030,Center(C)
4,67,True,2PT,In The Paint (Non-RA),6,0022100083,20211030,Center(C)
225,106,True,3PT,Above the Break 3,24,0022100083,20211030,Right Side Center(RC)
15,106,False,2PT,In The Paint (Non-RA),10,0022100083,20211030,Center(C)
