loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
89,246,True,3PT,Above the Break 3,26,0022100022,20211022,Right Side Center(RC)
225,-7,True,3PT,Right Corner 3,22,0022100022,20211022,Right Side(R)
25,15,False,2PT,Restricted Area,2,0022100022,20211022,Center(C)
136,119,False,2PT,Mid-Range,18,0022100022,20211022,Right Side Center(RC)
-27,6,False,2PT,Restricted Area,2,0022100030,20211023,Center(C)
225,5,False,3PT,Right Corner 3,22,0022100030,20211023,Right Side(R)
9,8,False,2PT,Restricted Area,1,0022100030,20211023,Center(C)
-170,200,False,3PT,Above the Break 3,26,0022100046,20211025,Left Side Center(LC)
0,0,True,2PT,Restricted Area,0,0022100046,20211025,Center(C)
233,17,False,3PT,Right Corner 3,23,0022100046,20211025,Right Side(R)
-5,-4,True,2PT,Restricted Area,0,0022100046,20211025,Center(C)
25,64,False,2PT,In The Paint (Non-RA),6,0022100046,20211025,Center(C)
229,9,True,3PT,Right Corner 3,22,0022100046,20211025,Right Side(R)
-9,5,True,2PT,Restricted Area,1,0022100046,20211025,Center(C)
225,3,False,3PT,Right Corner 3,22,0022100046,20211025,Right Side(R)
32,6,True,2PT,Restricted Area,3,0022100046,20211025,Center(C)
-12,-1,True,2PT,Restricted Area,1,0022100067,20211028,Center(C)
181,174,False,3PT,Above the Break 3,25,0022100067,20211028,Right Side Center(RC)
-17,25,False,2PT,Restricted Area,3,0022100067,20211028,Center(C)
131,232,True,3PT,Above the Break 3,26,0022100067,20211028,Right Side Center(RC)
-2,265,False,3PT,Above the Break 3,26,0022100067,20211028,Center(C)
-172,215,False,3PT,Above the Break 3,27,0022100083,20211030,Left Side Center(LC)
-15,2,True,2PT,Restricted Area,1,0022100148,20211108,Center(C)
97,33,False,2PT,Mid-Range,10,0022100163,20211110,Right Side(R)
2,210,True,2PT,Mid-Range,21,0022100183,20211112,Center(C)
227,20,True,3PT,Right Corner 3,22,0022100183,20211112,Right Side(R)
-203,170,False,3PT,Above the Break 3,26,0022100198,20211114,Left Side Center(LC)
-4,215,True,2PT,Mid-Range,21,0022100209,20211115,Center(C)
-132,247,False,3PT,Above the Break 3,28,0022100209,20211115,Left Side Center(LC)
-1,27,True,2PT,Restricted Area,2,0022100209,20211115,Center(C)
221,117,False,3PT,Above the Break 3,25,0022100257,20211122,Right Side Center(RC)
-18,3,True,2PT,Restricted Area,1,0022100257,20211122,Center(C)
-51,35,False,2PT,In The Paint (Non-RA),6,0022100257,20211122,Center(C)
-10,4,False,2PT,Restricted Area,1,0022100257,20211122,Center(C)
-11,29,False,2PT,Restricted Area,3,0022100257,20211122,Center(C)
-109,160,False,2PT,Mid-Range,19,0022100257,20211122,Left Side Center(LC)
-225,-9,False,3PT,Left Corner 3,22,0022100257,20211122,Left Side(L)
224,34,False,3PT,Right Corner 3,22,0022100257,20211122,Right Side(R)
116,232,True,3PT,Above the Break 3,25,0022100257,20211122,Right Side Center(RC)
-238,53,False,3PT,Left Corner 3,24,0022100283,20211126,Left Side(L)
21,25,True,2PT,Restricted Area,3,0022100283,20211126,Center(C)
188,191,True,3PT,Above the Break 3,26,0022100283,20211126,Right Side Center(RC)
4,2,True,2PT,Restricted Area,0,0022100328,20211202,Center(C)
196,159,True,3PT,Above the Break 3,25,0022100328,20211202,Right Side Center(RC)
-234,2,False,3PT,Left Corner 3,23,0022100343,20211204,Left Side(L)
227,-9,False,3PT,Right Corner 3,22,0022100343,20211204,Right Side(R)
1,2,False,2PT,Restricted Area,0,0022100343,20211204,Center(C)
5,5,True,2PT,Restricted Area,0,0022100343,20211204,Center(C)
-1,4,True,2PT,Restricted Area,0,0022100357,20211206,Center(C)
-243,31,False,3PT,Left Corner 3,24,0022100357,20211206,Left Side(L)
0,0,False,2PT,Restricted Area,0,0022100357,20211206,Center(C)
11,8,True,2PT,Restricted Area,1,0022100357,20211206,Center(C)
55,17,False,2PT,In The Paint (Non-RA),5,0022100357,20211206,Center(C)
-10,7,False,2PT,Restricted Area,1,0022100357,20211206,Center(C)
4,561,False,3PT,Backcourt,56,0022100367,20211208,Back Court(BC)
207,164,False,3PT,Above the Break 3,26,0022100367,20211208,Right Side Center(RC)
0,17,False,2PT,Restricted Area,1,0022100367,20211208,Center(C)
-227,45,False,3PT,Left Corner 3,23,0022100367,20211208,Left Side(L)
4,4,True,2PT,Restricted Area,0,0022100367,20211208,Center(C)
-33,89,False,2PT,In The Paint (Non-RA),9,0022100367,20211208,Center(C)
20,4,True,2PT,Restricted Area,2,0022100367,20211208,Center(C)
0,0,True,2PT,Restricted Area,0,0022100367,20211208,Center(C)
21,10,False,2PT,Restricted Area,2,0022100394,20211211,Center(C)
-234,27,False,3PT,Left Corner 3,23,0022100394,20211211,Left Side(L)
-23,31,False,2PT,Restricted Area,3,0022100394,20211211,Center(C)
23,19,True,2PT,Restricted Area,2,0022100394,20211211,Center(C)
237,34,False,3PT,Right Corner 3,23,0022100394,20211211,Right Side(R)
179,73,False,2PT,Mid-Range,19,0022100394,20211211,Right Side(R)
0,0,True,2PT,Restricted Area,0,0022100394,20211211,Center(C)
232,-5,False,3PT,Right Corner 3,23,0022100394,20211211,Right Side(R)
-50,36,True,2PT,In The Paint (Non-RA),6,0022100394,20211211,Center(C)
-7,68,True,2PT,In The Paint (Non-RA),6,0022100394,20211211,Center(C)
12,7,False,2PT,Restricted Area,1,0022100394,20211211,Center(C)
-20,6,True,2PT,Restricted Area,2,0022100415,20220111,Center(C)
-121,138,True,2PT,Mid-Range,18,0022100415,20220111,Left Side Center(LC)
-232,83,False,3PT,Left Corner 3,24,0022100415,20220111,Left Side(L)
229,32,True,3PT,Right Corner 3,23,0022100415,20220111,Right Side(R)
12,7,False,2PT,Restricted Area,1,0022100415,20220111,Center(C)
4,12,False,2PT,Restricted Area,1,0022100415,20220111,Center(C)
27,10,False,2PT,Restricted Area,2,0022100415,20220111,Center(C)
233,22,False,3PT,Right Corner 3,23,0022100430,20220203,Right Side(R)
-234,55,False,3PT,Left Corner 3,24,0022100430,20220203,Left Side(L)
-135,248,True,3PT,Above the Break 3,28,0022100430,20220203,Left Side Center(LC)
227,4,False,3PT,Right Corner 3,22,0022100430,20220203,Right Side(R)
29,11,False,2PT,Restricted Area,3,0022100430,20220203,Center(C)
7,88,True,2PT,In The Paint (Non-RA),8,0022100430,20220203,Center(C)
-225,41,True,3PT,Left Corner 3,22,0022100472,20220126,Left Side(L)
42,68,True,2PT,In The Paint (Non-RA),7,0022100472,20220126,Center(C)
-233,-8,False,3PT,Left Corner 3,23,0022100472,20220126,Left Side(L)
230,-19,True,3PT,Right Corner 3,23,0022100472,20220126,Right Side(R)
-191,150,True,3PT,Above the Break 3,24,0022100499,20211226,Left Side Center(LC)
17,10,False,2PT,Restricted Area,1,0022100499,20211226,Center(C)
-4,-7,True,2PT,Restricted Area,0,0022100499,20211226,Center(C)
-136,206,False,3PT,Above the Break 3,24,0022100499,20211226,Left Side Center(LC)
0,41,False,2PT,In The Paint (Non-RA),4,0022100499,20211226,Center(C)
180,174,False,3PT,Above the Break 3,25,0022100502,20211227,Right Side Center(RC)
176,197,True,3PT,Above the Break 3,26,0022100502,20211227,Right Side Center(RC)
