season,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG_PCT
2021-22,1627936,Alex Caruso,CHI,41,1146.8316666666667,102,256,0.398
2021-22,1628035,Alfonzo McKinnie,CHI,17,206.31333333333333,24,61,0.393
2021-22,1628993,Alize Johnson,NOP,16,120.53666666666666,12,23,0.522
2021-22,1630245,Ayo Dosunmu,CHI,77,2109.641666666667,278,535,0.52
2021-22,1629632,Coby White,CHI,61,1674.9266666666667,279,644,0.433
2021-22,201942,DeMar DeRozan,CHI,76,2742.9483333333333,774,1535,0.504
2021-22,1627884,Derrick Jones Jr.,CHI,51,899.41,105,195,0.538
2021-22,1629653,Devon Dotson,CHI,11,85.17,11,23,0.478
2021-22,1629750,Javonte Green,CHI,65,1519.045,176,325,0.542
2021-22,1628395,Jordan Bell,CHI,1,2.0166666666666666,0,0,0.0
2021-22,1628366,Lonzo Ball,CHI,35,1212.345,162,383,0.423
2021-22,1630644,Mac McClung,LAL,1,2.55,1,1,1.0
2021-22,1630792,Malcolm Hill,CHI,16,166.24,19,44,0.432
2021-22,1630250,Marko Simonovic,CHI,9,35.185,4,15,0.267
2021-22,1629744,Matt Thomas,CHI,40,459.51166666666666,55,134,0.41
2021-22,202696,Nikola Vučević,CHI,73,2417.5433333333335,546,1154,0.473
2021-22,1630172,Patrick Williams,CHI,17,422.3283333333333,54,102,0.529
2021-22,1628396,Tony Bradley,CHI,55,549.065,72,123,0.585
2021-22,202684,Tristan Thompson,CHI,23,375.95666666666665,52,92,0.565
2021-22,1628972,Troy Brown Jr.,CHI,66,1054.74,108,258,0.419
2021-22,1629076,Tyler Cook,CHI,20,199.61666666666667,23,38,0.605
2021-22,203897,Zach LaVine,CHI,67,2328.0783333333334,565,1186,0.476
