season,zone,fga,fgm,fg_pct,fga_share_pct
2021-22,Center Mid-Range,6791,2861,42.1293,3.1335
2021-22,In The Paint (Non-RA),40103,17189,42.8621,18.5044
2021-22,Left Baseline,3766,1475,39.1662,1.7377
2021-22,Left Corner 3,11431,4388,38.3868,5.2745
2021-22,Left Mid-Range,6415,2585,40.2962,2.9600
2021-22,Left Wing 3,22464,7673,34.1569,10.3654
2021-22,Restricted Area,63009,41148,65.3050,29.0737
2021-22,Right Baseline,3772,1504,39.8727,1.7405
2021-22,Right Corner 3,10164,3883,38.2035,4.6899
2021-22,Right Mid-Range,6511,2632,40.4239,3.0043
2021-22,Right Wing 3,20433,7225,35.3595,9.4282
2021-22,Top of Key 3,21863,7367,33.6962,10.0880
