season,rank,player_id,player,zone,fga,fgm,fg,lg_fg,fg_rel,fga_share_pct,lg_fga_share_pct,pps,lg_pps,point_value,rated
2021-22,1,201942,DeMar DeRozan,Restricted Area,293,188,0.6416,0.6530,-1.1411,19.0879,29.0737,1.2833,1.3061,2,True
2021-22,1,201942,DeMar DeRozan,In The Paint (Non-RA),378,198,0.5238,0.4286,9.5188,24.6254,18.5044,1.0476,0.8572,2,True
2021-22,1,201942,DeMar DeRozan,Left Baseline,92,39,0.4239,0.3917,3.2251,5.9935,1.7377,0.8478,0.7833,2,True
2021-22,1,201942,DeMar DeRozan,Left Mid-Range,185,80,0.4324,0.4030,2.9471,12.0521,2.9600,0.8649,0.8059,2,True
2021-22,1,201942,DeMar DeRozan,Center Mid-Range,267,135,0.5056,0.4213,8.4325,17.3941,3.1335,1.0112,0.8426,2,True
2021-22,1,201942,DeMar DeRozan,Right Mid-Range,128,61,0.4766,0.4042,7.2324,8.3388,3.0043,0.9531,0.8085,2,True
2021-22,1,201942,DeMar DeRozan,Right Baseline,50,23,0.4600,0.3987,6.1273,3.2573,1.7405,0.9200,0.7975,2,True
2021-22,1,201942,DeMar DeRozan,Left Corner 3,29,11,0.3793,0.3839,-0.4558,1.8893,5.2745,1.1379,1.1516,3,True
2021-22,1,201942,DeMar DeRozan,Left Wing 3,30,13,0.4333,0.3416,9.1765,1.9544,10.3654,1.3000,1.0247,3,True
2021-22,1,201942,DeMar DeRozan,Top of Key 3,39,10,0.2564,0.3370,-8.0552,2.5407,10.0880,0.7692,1.0109,3,True
2021-22,1,201942,DeMar DeRozan,Right Wing 3,16,9,0.5625,0.3536,20.8905,1.0423,9.4282,1.6875,1.0608,3,False
2021-22,1,201942,DeMar DeRozan,Right Corner 3,28,7,0.2500,0.3820,-13.2035,1.8241,4.6899,0.7500,1.1461,3,True
2021-22,2,203897,Zach LaVine,Restricted Area,349,240,0.6877,0.6530,3.4630,29.4266,29.0737,1.3754,1.3061,2,True
2021-22,2,203897,Zach LaVine,In The Paint (Non-RA),117,39,0.3333,0.4286,-9.5288,9.8651,18.5044,0.6667,0.8572,2,True
2021-22,2,203897,Zach LaVine,Left Baseline,39,14,0.3590,0.3917,-3.2688,3.2884,1.7377,0.7179,0.7833,2,True
2021-22,2,203897,Zach LaVine,Left Mid-Range,65,25,0.3846,0.4030,-1.8346,5.4806,2.9600,0.7692,0.8059,2,True
2021-22,2,203897,Zach LaVine,Center Mid-Range,75,33,0.4400,0.4213,1.8707,6.3238,3.1335,0.8800,0.8426,2,True
2021-22,2,203897,Zach LaVine,Right Mid-Range,43,19,0.4419,0.4042,3.7621,3.6256,3.0043,0.8837,0.8085,2,True
2021-22,2,203897,Zach LaVine,Right Baseline,23,10,0.4348,0.3987,3.6055,1.9393,1.7405,0.8696,0.7975,2,True
2021-22,2,203897,Zach LaVine,Left Corner 3,38,17,0.4474,0.3839,6.3500,3.2040,5.2745,1.3421,1.1516,3,True
2021-22,2,203897,Zach LaVine,Left Wing 3,146,55,0.3767,0.3416,3.5144,12.3103,10.3654,1.1301,1.0247,3,True
2021-22,2,203897,Zach LaVine,Top of Key 3,168,55,0.3274,0.3370,-0.9581,14.1653,10.0880,0.9821,1.0109,3,True
2021-22,2,203897,Zach LaVine,Right Wing 3,87,37,0.4253,0.3536,7.1693,7.3356,9.4282,1.2759,1.0608,3,True
2021-22,2,203897,Zach LaVine,Right Corner 3,36,21,0.5833,0.3820,20.1299,3.0354,4.6899,1.7500,1.1461,3,True
2021-22,3,202696,Nikola Vučević,Restricted Area,304,208,0.6842,0.6530,3.1161,26.3432,29.0737,1.3684,1.3061,2,True
2021-22,3,202696,Nikola Vučević,In The Paint (Non-RA),285,142,0.4982,0.4286,6.9624,24.6967,18.5044,0.9965,0.8572,2,True
2021-22,3,202696,Nikola Vučević,Left Baseline,49,17,0.3469,0.3917,-4.4723,4.2461,1.7377,0.6939,0.7833,2,True
2021-22,3,202696,Nikola Vučević,Left Mid-Range,64,24,0.3750,0.4030,-2.7962,5.5459,2.9600,0.7500,0.8059,2,True
2021-22,3,202696,Nikola Vučević,Center Mid-Range,48,17,0.3542,0.4213,-6.7126,4.1594,3.1335,0.7083,0.8426,2,True
2021-22,3,202696,Nikola Vučević,Right Mid-Range,39,16,0.4103,0.4042,0.6017,3.3795,3.0043,0.8205,0.8085,2,True
2021-22,3,202696,Nikola Vučević,Right Baseline,35,18,0.5143,0.3987,11.5558,3.0329,1.7405,1.0286,0.7975,2,True
2021-22,3,202696,Nikola Vučević,Left Corner 3,12,3,0.2500,0.3839,-13.3868,1.0399,5.2745,0.7500,1.1516,3,False
2021-22,3,202696,Nikola Vučević,Left Wing 3,75,24,0.3200,0.3416,-2.1569,6.4991,10.3654,0.9600,1.0247,3,True
2021-22,3,202696,Nikola Vučević,Top of Key 3,204,65,0.3186,0.3370,-1.8335,17.6776,10.0880,0.9559,1.0109,3,True
2021-22,3,202696,Nikola Vučević,Right Wing 3,30,9,0.3000,0.3536,-5.3595,2.5997,9.4282,0.9000,1.0608,3,True
2021-22,3,202696,Nikola Vučević,Right Corner 3,9,3,0.3333,0.3820,-4.8701,0.7799,4.6899,1.0000,1.1461,3,False
2021-22,4,1629632,Coby White,Restricted Area,139,87,0.6259,0.6530,-2.7150,21.5839,29.0737,1.2518,1.3061,2,True
2021-22,4,1629632,Coby White,In The Paint (Non-RA),81,29,0.3580,0.4286,-7.0597,12.5776,18.5044,0.7160,0.8572,2,True
2021-22,4,1629632,Coby White,Left Baseline,8,3,0.3750,0.3917,-1.6662,1.2422,1.7377,0.7500,0.7833,2,False
2021-22,4,1629632,Coby White,Left Mid-Range,17,7,0.4118,0.4030,0.8803,2.6398,2.9600,0.8235,0.8059,2,False
2021-22,4,1629632,Coby White,Center Mid-Range,17,7,0.4118,0.4213,-0.9528,2.6398,3.1335,0.8235,0.8426,2,False
2021-22,4,1629632,Coby White,Right Mid-Range,19,8,0.4211,0.4042,1.6814,2.9503,3.0043,0.8421,0.8085,2,False
2021-22,4,1629632,Coby White,Right Baseline,11,2,0.1818,0.3987,-21.6909,1.7081,1.7405,0.3636,0.7975,2,False
2021-22,4,1629632,Coby White,Left Corner 3,48,19,0.3958,0.3839,1.1965,7.4534,5.2745,1.1875,1.1516,3,True
2021-22,4,1629632,Coby White,Left Wing 3,94,42,0.4468,0.3416,10.5240,14.5963,10.3654,1.3404,1.0247,3,True
2021-22,4,1629632,Coby White,Top of Key 3,90,26,0.2889,0.3370,-4.8073,13.9752,10.0880,0.8667,1.0109,3,True
2021-22,4,1629632,Coby White,Right Wing 3,94,35,0.3723,0.3536,1.8746,14.5963,9.4282,1.1170,1.0608,3,True
2021-22,4,1629632,Coby White,Right Corner 3,26,14,0.5385,0.3820,15.6427,4.0373,4.6899,1.6154,1.1461,3,True
2021-22,5,1630245,Ayo Dosunmu,Restricted Area,211,141,0.6682,0.6530,1.5197,39.4393,29.0737,1.3365,1.3061,2,True
2021-22,5,1630245,Ayo Dosunmu,In The Paint (Non-RA),60,25,0.4167,0.4286,-1.1955,11.2150,18.5044,0.8333,0.8572,2,True
2021-22,5,1630245,Ayo Dosunmu,Left Baseline,9,5,0.5556,0.3917,16.3893,1.6822,1.7377,1.1111,0.7833,2,False
2021-22,5,1630245,Ayo Dosunmu,Left Mid-Range,13,4,0.3077,0.4030,-9.5270,2.4299,2.9600,0.6154,0.8059,2,False
2021-22,5,1630245,Ayo Dosunmu,Center Mid-Range,10,5,0.5000,0.4213,7.8707,1.8692,3.1335,1.0000,0.8426,2,False
2021-22,5,1630245,Ayo Dosunmu,Right Mid-Range,28,19,0.6786,0.4042,27.4332,5.2336,3.0043,1.3571,0.8085,2,True
2021-22,5,1630245,Ayo Dosunmu,Right Baseline,19,9,0.4737,0.3987,7.4957,3.5514,1.7405,0.9474,0.7975,2,False
2021-22,5,1630245,Ayo Dosunmu,Left Corner 3,34,11,0.3235,0.3839,-6.0339,6.3551,5.2745,0.9706,1.1516,3,True
2021-22,5,1630245,Ayo Dosunmu,Left Wing 3,38,11,0.2895,0.3416,-5.2095,7.1028,10.3654,0.8684,1.0247,3,True
2021-22,5,1630245,Ayo Dosunmu,Top of Key 3,11,5,0.4545,0.3370,11.7583,2.0561,10.0880,1.3636,1.0109,3,False
2021-22,5,1630245,Ayo Dosunmu,Right Wing 3,40,14,0.3500,0.3536,-0.3595,7.4766,9.4282,1.0500,1.0608,3,True
2021-22,5,1630245,Ayo Dosunmu,Right Corner 3,62,29,0.4677,0.3820,8.5707,11.5888,4.6899,1.4032,1.1461,3,True
2021-22,6,1628366,Lonzo Ball,Restricted Area,61,36,0.5902,0.6530,-6.2886,15.9269,29.0737,1.1803,1.3061,2,True
2021-22,6,1628366,Lonzo Ball,In The Paint (Non-RA),28,9,0.3214,0.4286,-10.7193,7.3107,18.5044,0.6429,0.8572,2,True
2021-22,6,1628366,Lonzo Ball,Left Baseline,3,2,0.6667,0.3917,27.5004,0.7833,1.7377,1.3333,0.7833,2,False
2021-22,6,1628366,Lonzo Ball,Left Mid-Range,11,1,0.0909,0.4030,-31.2053,2.8721,2.9600,0.1818,0.8059,2,False
2021-22,6,1628366,Lonzo Ball,Center Mid-Range,10,2,0.2000,0.4213,-22.1293,2.6110,3.1335,0.4000,0.8426,2,False
2021-22,6,1628366,Lonzo Ball,Right Mid-Range,8,2,0.2500,0.4042,-15.4239,2.0888,3.0043,0.5000,0.8085,2,False
2021-22,6,1628366,Lonzo Ball,Right Baseline,2,0,0.0000,0.3987,-39.8727,0.5222,1.7405,0.0000,0.7975,2,False
2021-22,6,1628366,Lonzo Ball,Left Corner 3,38,20,0.5263,0.3839,14.2447,9.9217,5.2745,1.5789,1.1516,3,True
2021-22,6,1628366,Lonzo Ball,Left Wing 3,92,31,0.3370,0.3416,-0.4612,24.0209,10.3654,1.0109,1.0247,3,True
2021-22,6,1628366,Lonzo Ball,Top of Key 3,50,23,0.4600,0.3370,12.3038,13.0548,10.0880,1.3800,1.0109,3,True
2021-22,6,1628366,Lonzo Ball,Right Wing 3,56,26,0.4643,0.3536,11.0691,14.6214,9.4282,1.3929,1.0608,3,True
2021-22,6,1628366,Lonzo Ball,Right Corner 3,24,10,0.4167,0.3820,3.4632,6.2663,4.6899,1.2500,1.1461,3,True
2021-22,7,1629750,Javonte Green,Restricted Area,182,125,0.6868,0.6530,3.3764,56.0000,29.0737,1.3736,1.3061,2,True
2021-22,7,1629750,Javonte Green,In The Paint (Non-RA),38,14,0.3684,0.4286,-6.0200,11.6923,18.5044,0.7368,0.8572,2,True
2021-22,7,1629750,Javonte Green,Left Baseline,3,0,0.0000,0.3917,-39.1662,0.9231,1.7377,0.0000,0.7833,2,False
2021-22,7,1629750,Javonte Green,Left Mid-Range,0,0,,0.4030,,0.0000,2.9600,,0.8059,2,False
2021-22,7,1629750,Javonte Green,Center Mid-Range,0,0,,0.4213,,0.0000,3.1335,,0.8426,2,False
2021-22,7,1629750,Javonte Green,Right Mid-Range,1,0,0.0000,0.4042,-40.4239,0.3077,3.0043,0.0000,0.8085,2,False
2021-22,7,1629750,Javonte Green,Right Baseline,3,1,0.3333,0.3987,-6.5394,0.9231,1.7405,0.6667,0.7975,2,False
2021-22,7,1629750,Javonte Green,Left Corner 3,25,11,0.4400,0.3839,5.6132,7.6923,5.2745,1.3200,1.1516,3,True
2021-22,7,1629750,Javonte Green,Left Wing 3,20,2,0.1000,0.3416,-24.1569,6.1538,10.3654,0.3000,1.0247,3,True
2021-22,7,1629750,Javonte Green,Top of Key 3,4,2,0.5000,0.3370,16.3038,1.2308,10.0880,1.5000,1.0109,3,False
2021-22,7,1629750,Javonte Green,Right Wing 3,12,5,0.4167,0.3536,6.3072,3.6923,9.4282,1.2500,1.0608,3,False
2021-22,7,1629750,Javonte Green,Right Corner 3,37,16,0.4324,0.3820,5.0398,11.3846,4.6899,1.2973,1.1461,3,True
2021-22,8,1628972,Troy Brown Jr.,Restricted Area,85,46,0.5412,0.6530,-11.1873,32.9457,29.0737,1.0824,1.3061,2,True
2021-22,8,1628972,Troy Brown Jr.,In The Paint (Non-RA),23,9,0.3913,0.4286,-3.7317,8.9147,18.5044,0.7826,0.8572,2,True
2021-22,8,1628972,Troy Brown Jr.,Left Baseline,3,2,0.6667,0.3917,27.5004,1.1628,1.7377,1.3333,0.7833,2,False
2021-22,8,1628972,Troy Brown Jr.,Left Mid-Range,3,2,0.6667,0.4030,26.3705,1.1628,2.9600,1.3333,0.8059,2,False
2021-22,8,1628972,Troy Brown Jr.,Center Mid-Range,4,2,0.5000,0.4213,7.8707,1.5504,3.1335,1.0000,0.8426,2,False
2021-22,8,1628972,Troy Brown Jr.,Right Mid-Range,5,1,0.2000,0.4042,-20.4239,1.9380,3.0043,0.4000,0.8085,2,False
2021-22,8,1628972,Troy Brown Jr.,Right Baseline,3,0,0.0000,0.3987,-39.8727,1.1628,1.7405,0.0000,0.7975,2,False
2021-22,8,1628972,Troy Brown Jr.,Left Corner 3,39,13,0.3333,0.3839,-5.0535,15.1163,5.2745,1.0000,1.1516,3,True
2021-22,8,1628972,Troy Brown Jr.,Left Wing 3,19,7,0.3684,0.3416,2.6852,7.3643,10.3654,1.1053,1.0247,3,False
2021-22,8,1628972,Troy Brown Jr.,Top of Key 3,11,2,0.1818,0.3370,-15.5144,4.2636,10.0880,0.5455,1.0109,3,False
2021-22,8,1628972,Troy Brown Jr.,Right Wing 3,22,10,0.4545,0.3536,10.0951,8.5271,9.4282,1.3636,1.0608,3,True
2021-22,8,1628972,Troy Brown Jr.,Right Corner 3,41,14,0.3415,0.3820,-4.0571,15.8915,4.6899,1.0244,1.1461,3,True
2021-22,9,1627936,Alex Caruso,Restricted Area,78,42,0.5385,0.6530,-11.4588,30.4688,29.0737,1.0769,1.3061,2,True
2021-22,9,1627936,Alex Caruso,In The Paint (Non-RA),32,12,0.3750,0.4286,-5.3621,12.5000,18.5044,0.7500,0.8572,2,True
2021-22,9,1627936,Alex Caruso,Left Baseline,4,1,0.2500,0.3917,-14.1662,1.5625,1.7377,0.5000,0.7833,2,False
2021-22,9,1627936,Alex Caruso,Left Mid-Range,3,0,0.0000,0.4030,-40.2962,1.1719,2.9600,0.0000,0.8059,2,False
2021-22,9,1627936,Alex Caruso,Center Mid-Range,9,3,0.3333,0.4213,-8.7960,3.5156,3.1335,0.6667,0.8426,2,False
2021-22,9,1627936,Alex Caruso,Right Mid-Range,3,2,0.6667,0.4042,26.2428,1.1719,3.0043,1.3333,0.8085,2,False
2021-22,9,1627936,Alex Caruso,Right Baseline,2,1,0.5000,0.3987,10.1273,0.7812,1.7405,1.0000,0.7975,2,False
2021-22,9,1627936,Alex Caruso,Left Corner 3,29,7,0.2414,0.3839,-14.2489,11.3281,5.2745,0.7241,1.1516,3,True
2021-22,9,1627936,Alex Caruso,Left Wing 3,29,12,0.4138,0.3416,7.2224,11.3281,10.3654,1.2414,1.0247,3,True
2021-22,9,1627936,Alex Caruso,Top of Key 3,17,0,0.0000,0.3370,-33.6962,6.6406,10.0880,0.0000,1.0109,3,False
2021-22,9,1627936,Alex Caruso,Right Wing 3,31,11,0.3548,0.3536,0.1244,12.1094,9.4282,1.0645,1.0608,3,True
2021-22,9,1627936,Alex Caruso,Right Corner 3,19,11,0.5789,0.3820,19.6913,7.4219,4.6899,1.7368,1.1461,3,False
