loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
-110,167,True,2PT,Mid-Range,19,0022200007,20221019,Left Side Center(LC)
-230,-5,False,3PT,Left Corner 3,23,0022200007,20221019,Left Side(L)
-167,53,True,2PT,Mid-Range,17,0022200007,20221019,Left Side(L)
-13,164,False,2PT,Mid-Range,16,0022200007,20221019,Center(C)
25,159,False,2PT,Mid-Range,16,0022200007,20221019,Center(C)
82,142,True,2PT,Mid-Range,16,0022200007,20221019,Right Side Center(RC)
1,58,True,2PT,In The Paint (Non-RA),5,0022200007,20221019,Center(C)
-25,69,True,2PT,In The Paint (Non-RA),7,0022200007,20221019,Center(C)
-132,22,True,2PT,Mid-Range,13,0022200007,20221019,Left Side(L)
-240,20,True,3PT,Left Corner 3,24,0022200007,20221019,Left Side(L)
-1,144,False,2PT,Mid-Range,14,0022200007,20221019,Center(C)
5,7,True,2PT,Restricted Area,0,0022200007,20221019,Center(C)
91,102,True,2PT,Mid-Range,13,0022200007,20221019,Right Side(R)
151,15,True,2PT,Mid-Range,15,0022200007,20221019,Right Side(R)
-80,179,False,2PT,Mid-Range,19,0022200007,20221019,Left Side Center(LC)
38,176,True,2PT,Mid-Range,18,0022200007,20221019,Center(C)
0,0,False,2PT,Restricted Area,0,0022200007,20221019,Center(C)
29,12,True,2PT,Restricted Area,3,0022200007,20221019,Center(C)
-83,194,False,2PT,Mid-Range,21,0022200007,20221019,Left Side Center(LC)
-77,264,True,3PT,Above the Break 3,27,0022200007,20221019,Center(C)
-114,55,False,2PT,Mid-Range,12,0022200007,20221019,Left Side(L)
178,99,True,2PT,Mid-Range,20,0022200007,20221019,Right Side(R)
125,167,True,2PT,Mid-Range,20,0022200019,20221021,Right Side Center(RC)
9,183,True,2PT,Mid-Range,18,0022200019,20221021,Center(C)
-10,41,False,2PT,In The Paint (Non-RA),4,0022200019,20221021,Center(C)
104,121,True,2PT,Mid-Range,15,0022200019,20221021,Right Side(R)
-211,136,False,3PT,Above the Break 3,25,0022200019,20221021,Left Side Center(LC)
31,15,True,2PT,Restricted Area,3,0022200019,20221021,Center(C)
4,52,False,2PT,In The Paint (Non-RA),5,0022200019,20221021,Center(C)
0,49,False,2PT,In The Paint (Non-RA),4,0022200019,20221021,Center(C)
-85,174,True,2PT,Mid-Range,19,0022200019,20221021,Left Side Center(LC)
-42,71,True,2PT,In The Paint (Non-RA),8,0022200019,20221021,Left Side(L)
-2,17,True,2PT,Restricted Area,1,0022200019,20221021,Center(C)
-12,182,False,2PT,Mid-Range,18,0022200019,20221021,Center(C)
-94,115,True,2PT,Mid-Range,14,0022200019,20221021,Left Side(L)
-18,50,False,2PT,In The Paint (Non-RA),5,0022200019,20221021,Center(C)
-3,1,False,2PT,Restricted Area,0,0022200019,20221021,Center(C)
-15,136,False,2PT,In The Paint (Non-RA),13,0022200019,20221021,Center(C)
-1,167,True,2PT,Mid-Range,16,0022200019,20221021,Center(C)
105,155,False,2PT,Mid-Range,18,0022200019,20221021,Right Side Center(RC)
-1,29,False,2PT,Restricted Area,2,0022200019,20221021,Center(C)
7,36,True,2PT,Restricted Area,3,0022200019,20221021,Center(C)
17,150,False,2PT,Mid-Range,15,0022200019,20221021,Center(C)
1,32,True,2PT,Restricted Area,3,0022200019,20221021,Center(C)
-11,273,False,3PT,Above the Break 3,27,0022200019,20221021,Center(C)
-141,-16,True,2PT,Mid-Range,14,0022200032,20221022,Left Side(L)
-32,151,False,2PT,Mid-Range,15,0022200032,20221022,Center(C)
-94,-4,False,2PT,Mid-Range,9,0022200032,20221022,Left Side(L)
21,5,False,2PT,Restricted Area,2,0022200032,20221022,Center(C)
-140,96,False,2PT,Mid-Range,16,0022200032,20221022,Left Side(L)
-54,48,True,2PT,In The Paint (Non-RA),7,0022200032,20221022,Center(C)
2,170,False,2PT,Mid-Range,17,0022200032,20221022,Center(C)
-138,1,True,2PT,Mid-Range,13,0022200032,20221022,Left Side(L)
-53,49,False,2PT,In The Paint (Non-RA),7,0022200032,20221022,Center(C)
43,67,False,2PT,In The Paint (Non-RA),7,0022200047,20221024,Center(C)
203,22,True,2PT,Mid-Range,20,0022200047,20221024,Right Side(R)
-86,171,True,2PT,Mid-Range,19,0022200047,20221024,Left Side Center(LC)
97,200,True,2PT,Mid-Range,22,0022200047,20221024,Right Side Center(RC)
7,161,True,2PT,Mid-Range,16,0022200047,20221024,Center(C)
-32,185,True,2PT,Mid-Range,18,0022200047,20221024,Center(C)
115,121,False,2PT,Mid-Range,16,0022200047,20221024,Right Side Center(RC)
-49,173,False,2PT,Mid-Range,17,0022200047,20221024,Center(C)
-2,4,True,2PT,Restricted Area,0,0022200047,20221024,Center(C)
-4,126,True,2PT,In The Paint (Non-RA),12,0022200047,20221024,Center(C)
15,165,False,2PT,Mid-Range,16,0022200047,20221024,Center(C)
31,195,False,2PT,Mid-Range,19,0022200047,20221024,Center(C)
-60,195,False,2PT,Mid-Range,20,0022200047,20221024,Center(C)
-48,180,True,2PT,Mid-Range,18,0022200047,20221024,Center(C)
-1,214,True,2PT,Mid-Range,21,0022200047,20221024,Center(C)
53,105,False,2PT,In The Paint (Non-RA),11,0022200047,20221024,Center(C)
6,95,True,2PT,In The Paint (Non-RA),9,0022200047,20221024,Center(C)
-18,4,False,2PT,Restricted Area,1,0022200061,20221026,Center(C)
-44,183,True,2PT,Mid-Range,18,0022200061,20221026,Center(C)
-71,194,False,2PT,Mid-Range,20,0022200061,20221026,Left Side Center(LC)
-134,1,True,2PT,Mid-Range,13,0022200061,20221026,Left Side(L)
88,135,False,2PT,Mid-Range,16,0022200061,20221026,Right Side Center(RC)
-4,168,True,2PT,Mid-Range,16,0022200061,20221026,Center(C)
-238,-11,False,3PT,Left Corner 3,23,0022200061,20221026,Left Side(L)
-80,179,True,2PT,Mid-Range,19,0022200061,20221026,Left Side Center(LC)
74,2,True,2PT,In The Paint (Non-RA),7,0022200061,20221026,Center(C)
93,118,False,2PT,Mid-Range,15,0022200061,20221026,Right Side(R)
-55,120,False,2PT,In The Paint (Non-RA),13,0022200061,20221026,Center(C)
-45,174,False,2PT,Mid-Range,17,0022200061,20221026,Center(C)
