window,zone,fga,fgm,fg_pct,fga_share_pct
2021-22,Center Mid-Range,6791,2861,42.1293,3.1335
2021-22,In The Paint (Non-RA),40103,17189,42.8621,18.5044
2021-22,Left Baseline,3766,1475,39.1662,1.7377
2021-22,Left Corner 3,11431,4388,38.3868,5.2745
2021-22,Left Mid-Range,6415,2585,40.2962,2.9600
2021-22,Left Wing 3,22464,7673,34.1569,10.3654
2021-22,Restricted Area,63009,41148,65.3050,29.0737
2021-22,Right Baseline,3772,1504,39.8727,1.7405
2021-22,Right Corner 3,10164,3883,38.2035,4.6899
2021-22,Right Mid-Range,6511,2632,40.4239,3.0043
2021-22,Right Wing 3,20433,7225,35.3595,9.4282
2021-22,Top of Key 3,21863,7367,33.6962,10.0880
2022-23,Center Mid-Range,6320,2697,42.6741,2.9095
2022-23,In The Paint (Non-RA),42872,19021,44.3670,19.7367
2022-23,Left Baseline,3423,1411,41.2212,1.5758
2022-23,Left Corner 3,11143,4291,38.5085,5.1298
2022-23,Left Mid-Range,5816,2416,41.5406,2.6775
2022-23,Left Wing 3,22137,7936,35.8495,10.1911
2022-23,Restricted Area,65007,43305,66.6159,29.9268
2022-23,Right Baseline,3512,1458,41.5148,1.6168
2022-23,Right Corner 3,10025,3860,38.5037,4.6151
2022-23,Right Mid-Range,6234,2648,42.4767,2.8699
2022-23,Right Wing 3,20155,7205,35.7480,9.2786
2022-23,Top of Key 3,20576,7012,34.0785,9.4724
2023-24,Center Mid-Range,5664,2446,43.1850,2.5898
2023-24,In The Paint (Non-RA),43565,19184,44.0353,19.9200
2023-24,Left Baseline,3377,1382,40.9239,1.5441
2023-24,Left Corner 3,11609,4481,38.5994,5.3082
2023-24,Left Mid-Range,5574,2328,41.7653,2.5487
2023-24,Left Wing 3,22464,8095,36.0354,10.2716
2023-24,Restricted Area,64699,42899,66.3055,29.5834
2023-24,Right Baseline,3537,1504,42.5219,1.6173
2023-24,Right Corner 3,10718,4222,39.3917,4.9008
2023-24,Right Mid-Range,5930,2416,40.7420,2.7115
2023-24,Right Wing 3,20514,7426,36.1997,9.3800
2023-24,Top of Key 3,21049,7356,34.9470,9.6246
Bulls tenure,Center Mid-Range,18775,8004,42.6312,2.8768
Bulls tenure,In The Paint (Non-RA),126540,55394,43.7759,19.3889
Bulls tenure,Left Baseline,10566,4268,40.3937,1.6190
Bulls tenure,Left Corner 3,34183,13160,38.4987,5.2376
Bulls tenure,Left Mid-Range,17805,7329,41.1626,2.7281
Bulls tenure,Left Wing 3,67065,23704,35.3448,10.2759
Bulls tenure,Restricted Area,192715,127352,66.0831,29.5284
Bulls tenure,Right Baseline,10821,4466,41.2716,1.6580
Bulls tenure,Right Corner 3,30907,11965,38.7129,4.7357
Bulls tenure,Right Mid-Range,18675,7696,41.2102,2.8614
Bulls tenure,Right Wing 3,61102,21856,35.7697,9.3623
Bulls tenure,Top of Key 3,63488,21735,34.2348,9.7278
