window,zone,fga,fgm,fg,lg_fg,fg_rel,fga_share_pct,lg_fga_share_pct,subject_excluded_fga,league_excluded_fga,subject_source_conflict_fga,league_source_conflict_fga,pps,lg_pps,point_value,rated
2021-22,Restricted Area,293,188,0.6416,0.6532,-1.1512,19.0879,29.0635,4,440,0,210,1.2833,1.3063,2,True
2021-22,In The Paint (Non-RA),359,188,0.5237,0.4283,9.5372,23.3876,18.3036,4,440,0,210,1.0474,0.8566,2,True
2021-22,Left Baseline,92,39,0.4239,0.3917,3.2251,5.9935,1.7377,4,440,0,210,0.8478,0.7934,2,True
2021-22,Left Mid-Range,189,82,0.4339,0.4030,3.0898,12.3127,2.9886,4,440,0,210,0.8677,0.8067,2,True
2021-22,Center Mid-Range,278,141,0.5072,0.4239,8.3344,18.1107,3.2812,4,440,0,210,1.0144,0.8477,2,True
2021-22,Right Mid-Range,132,63,0.4773,0.4040,7.3234,8.5993,3.0389,4,440,0,210,0.9545,0.8087,2,True
2021-22,Right Baseline,50,23,0.4600,0.3987,6.1273,3.2573,1.7405,4,440,0,210,0.9200,0.8030,2,True
2021-22,Left Corner 3,29,11,0.3793,0.3842,-0.4886,1.8893,5.2496,4,440,0,210,1.1379,1.1526,3,True
2021-22,Left Wing 3,30,13,0.4333,0.3417,9.1676,1.9544,10.3843,4,440,0,210,1.3000,1.0250,3,True
2021-22,Top of Key 3,35,10,0.2857,0.3432,-5.7459,2.2801,9.8947,4,440,0,210,0.8571,1.0293,3,True
2021-22,Right Wing 3,16,9,0.5625,0.3537,20.8758,1.0423,9.4582,4,440,0,210,1.6875,1.0611,3,False
2021-22,Right Corner 3,28,7,0.2500,0.3820,-13.2024,1.8241,4.6562,4,440,0,210,0.7500,1.1461,3,True
2022-23,Restricted Area,246,175,0.7114,0.6663,4.5085,18.8795,29.9158,1,406,3,144,1.4228,1.3326,2,True
2022-23,In The Paint (Non-RA),244,118,0.4836,0.4436,4.0002,18.7260,19.5383,1,406,3,144,0.9672,0.8872,2,True
2022-23,Left Baseline,88,44,0.5000,0.4122,8.7788,6.7536,1.5758,1,406,3,144,1.0000,0.8311,2,True
2022-23,Left Mid-Range,152,64,0.4211,0.4160,0.5095,11.6654,2.7060,1,406,3,144,0.8421,0.8329,2,True
2022-23,Center Mid-Range,268,134,0.5000,0.4283,7.1665,20.5679,3.0577,1,406,3,144,1.0000,0.8567,2,True
2022-23,Right Mid-Range,137,63,0.4599,0.4238,3.6063,10.5142,2.9026,1,406,3,144,0.9197,0.8482,2,True
2022-23,Right Baseline,25,12,0.4800,0.4151,6.4852,1.9186,1.6168,1,406,3,144,0.9600,0.8377,2,True
2022-23,Left Corner 3,42,13,0.3095,0.3851,-7.5620,3.2233,5.0944,1,406,3,144,0.9286,1.1554,3,True
2022-23,Left Wing 3,30,13,0.4333,0.3586,7.4711,2.3024,10.2247,1,406,3,144,1.2667,1.0758,3,True
2022-23,Top of Key 3,56,15,0.2679,0.3469,-7.9068,4.2978,9.2915,1,406,3,144,0.8036,1.0407,3,True
2022-23,Right Wing 3,9,4,0.4444,0.3576,8.6892,0.6907,9.3141,1,406,3,144,1.3333,1.0726,3,False
2022-23,Right Corner 3,5,2,0.4000,0.3855,1.4549,0.3837,4.5755,1,406,3,144,1.2000,1.1564,3,False
2023-24,Restricted Area,301,195,0.6478,0.6631,-1.5290,22.2140,29.5697,1,433,2,21,1.2957,1.3263,2,True
2023-24,In The Paint (Non-RA),280,144,0.5143,0.4405,7.3745,20.6642,19.7019,1,433,2,21,1.0286,0.8811,2,True
2023-24,Left Baseline,95,42,0.4421,0.4092,3.2866,7.0111,1.5441,1,433,2,21,0.8842,0.8191,2,True
2023-24,Left Mid-Range,132,52,0.3939,0.4179,-2.3998,9.7417,2.5798,1,433,2,21,0.7879,0.8359,2,True
2023-24,Center Mid-Range,171,73,0.4269,0.4309,-0.4019,12.6199,2.7535,1,433,2,21,0.8538,0.8618,2,True
2023-24,Right Mid-Range,89,38,0.4270,0.4083,1.8715,6.5683,2.7485,1,433,2,21,0.8539,0.8165,2,True
2023-24,Right Baseline,60,30,0.5000,0.4252,7.4781,4.4280,1.6173,1,433,2,21,1.0000,0.8504,2,True
2023-24,Left Corner 3,45,20,0.4444,0.3860,5.8434,3.3210,5.2689,1,433,2,21,1.3333,1.1580,3,True
