loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
9,28,False,2PT,Restricted Area,2,0021100003,20111225,Center(C)
-73,126,True,2PT,In The Paint (Non-RA),14,0021100003,20111225,Left Side(L)
1,3,True,2PT,Restricted Area,0,0021100003,20111225,Center(C)
-153,225,True,3PT,Above the Break 3,27,0021100003,20111225,Left Side Center(LC)
-40,268,True,3PT,Above the Break 3,27,0021100003,20111225,Center(C)
-24,266,True,3PT,Above the Break 3,26,0021100003,20111225,Center(C)
170,203,False,3PT,Above the Break 3,26,0021100003,20111225,Right Side Center(RC)
7,6,True,2PT,Restricted Area,0,0021100003,20111225,Center(C)
-40,255,True,3PT,Above the Break 3,25,0021100003,20111225,Center(C)
144,37,False,2PT,Mid-Range,14,0021100003,20111225,Right Side(R)
159,213,False,3PT,Above the Break 3,26,0021100003,20111225,Right Side Center(RC)
-8,0,True,2PT,Restricted Area,0,0021100003,20111225,Center(C)
13,88,True,2PT,In The Paint (Non-RA),8,0021100003,20111225,Center(C)
12,266,False,3PT,Above the Break 3,26,0021100017,20111226,Center(C)
-10,7,True,2PT,Restricted Area,1,0021100017,20111226,Center(C)
-11,14,False,2PT,Restricted Area,1,0021100017,20111226,Center(C)
-122,238,True,3PT,Above the Break 3,26,0021100017,20111226,Left Side Center(LC)
-13,3,True,2PT,Restricted Area,1,0021100017,20111226,Center(C)
187,184,False,3PT,Above the Break 3,26,0021100017,20111226,Right Side Center(RC)
-15,6,False,2PT,Restricted Area,1,0021100017,20111226,Center(C)
-161,217,False,3PT,Above the Break 3,27,0021100017,20111226,Left Side Center(LC)
-29,33,False,2PT,In The Paint (Non-RA),4,0021100017,20111226,Center(C)
-19,6,True,2PT,Restricted Area,1,0021100017,20111226,Center(C)
-139,224,False,3PT,Above the Break 3,26,0021100017,20111226,Left Side Center(LC)
-179,175,False,3PT,Above the Break 3,25,0021100017,20111226,Left Side Center(LC)
9,19,False,2PT,Restricted Area,2,0021100017,20111226,Center(C)
-21,7,False,2PT,Restricted Area,2,0021100017,20111226,Center(C)
106,239,False,3PT,Above the Break 3,26,0021100017,20111226,Right Side Center(RC)
17,71,False,2PT,In The Paint (Non-RA),7,0021100017,20111226,Center(C)
-157,233,False,3PT,Above the Break 3,28,0021100017,20111226,Left Side Center(LC)
23,11,False,2PT,Restricted Area,2,0021100036,20111229,Center(C)
-56,197,True,2PT,Mid-Range,20,0021100036,20111229,Center(C)
-149,47,True,2PT,Mid-Range,15,0021100036,20111229,Left Side(L)
9,80,False,2PT,In The Paint (Non-RA),8,0021100036,20111229,Center(C)
-4,198,False,2PT,Mid-Range,19,0021100036,20111229,Center(C)
-7,4,True,2PT,Restricted Area,0,0021100036,20111229,Center(C)
18,252,False,3PT,Above the Break 3,25,0021100036,20111229,Center(C)
-7,19,False,2PT,Restricted Area,2,0021100036,20111229,Center(C)
29,15,True,2PT,Restricted Area,3,0021100036,20111229,Center(C)
217,683,False,3PT,Backcourt,71,0021100036,20111229,Back Court(BC)
-5,12,True,2PT,Restricted Area,1,0021100036,20111229,Center(C)
0,15,True,2PT,Restricted Area,1,0021100036,20111229,Center(C)
155,71,True,2PT,Mid-Range,17,0021100036,20111229,Right Side(R)
-111,94,False,2PT,Mid-Range,14,0021100036,20111229,Left Side(L)
-171,104,False,2PT,Mid-Range,20,0021100049,20111230,Left Side(L)
-54,99,False,2PT,In The Paint (Non-RA),11,0021100049,20111230,Center(C)
7,56,True,2PT,In The Paint (Non-RA),5,0021100049,20111230,Center(C)
-131,222,True,3PT,Above the Break 3,25,0021100049,20111230,Left Side Center(LC)
0,11,True,2PT,Restricted Area,1,0021100049,20111230,Center(C)
-34,56,True,2PT,In The Paint (Non-RA),6,0021100049,20111230,Center(C)
0,15,True,2PT,Restricted Area,1,0021100049,20111230,Center(C)
-73,157,False,2PT,Mid-Range,17,0021100049,20111230,Left Side Center(LC)
47,78,False,2PT,In The Paint (Non-RA),9,0021100049,20111230,Right Side(R)
-128,231,False,3PT,Above the Break 3,26,0021100049,20111230,Left Side Center(LC)
13,11,True,2PT,Restricted Area,1,0021100049,20111230,Center(C)
34,250,True,3PT,Above the Break 3,25,0021100049,20111230,Center(C)
-120,227,True,3PT,Above the Break 3,25,0021100049,20111230,Left Side Center(LC)
34,53,False,2PT,In The Paint (Non-RA),6,0021100049,20111230,Center(C)
151,145,False,2PT,Mid-Range,20,0021100062,20120101,Right Side Center(RC)
-147,143,False,2PT,Mid-Range,20,0021100062,20120101,Left Side Center(LC)
17,22,False,2PT,Restricted Area,2,0021100062,20120101,Center(C)
-2,12,False,2PT,Restricted Area,1,0021100062,20120101,Center(C)
18,11,False,2PT,Restricted Area,2,0021100062,20120101,Center(C)
28,7,True,2PT,Restricted Area,2,0021100062,20120101,Center(C)
-152,200,False,3PT,Above the Break 3,25,0021100062,20120101,Left Side Center(LC)
-27,4,True,2PT,Restricted Area,2,0021100062,20120101,Center(C)
-150,159,True,2PT,Mid-Range,21,0021100062,20120101,Left Side Center(LC)
36,33,True,2PT,In The Paint (Non-RA),4,0021100062,20120101,Center(C)
106,0,False,2PT,Mid-Range,10,0021100077,20120103,Right Side(R)
-86,148,True,2PT,Mid-Range,17,0021100077,20120103,Left Side Center(LC)
176,194,False,3PT,Above the Break 3,26,0021100077,20120103,Right Side Center(RC)
18,11,True,2PT,Restricted Area,2,0021100077,20120103,Center(C)
1,69,False,2PT,In The Paint (Non-RA),6,0021100077,20120103,Center(C)
-116,211,False,3PT,Above the Break 3,24,0021100077,20120103,Left Side Center(LC)
-16,12,True,2PT,Restricted Area,2,0021100077,20120103,Center(C)
45,181,False,2PT,Mid-Range,18,0021100077,20120103,Center(C)
77,53,False,2PT,In The Paint (Non-RA),9,0021100077,20120103,Right Side(R)
42,175,False,2PT,Mid-Range,17,0021100077,20120103,Center(C)
-54,250,False,3PT,Above the Break 3,25,0021100077,20120103,Center(C)
-147,192,True,3PT,Above the Break 3,24,0021100077,20120103,Left Side Center(LC)
-207,143,True,3PT,Above the Break 3,25,0021100077,20120103,Left Side Center(LC)
12,22,False,2PT,Restricted Area,2,0021100077,20120103,Center(C)
-139,213,True,3PT,Above the Break 3,25,0021100077,20120103,Left Side Center(LC)
-97,225,False,3PT,Above the Break 3,24,0021100077,20120103,Left Side Center(LC)
24,8,False,2PT,Restricted Area,2,0021100077,20120103,Center(C)
-150,208,False,3PT,Above the Break 3,25,0021100077,20120103,Left Side Center(LC)
-5,55,False,2PT,In The Paint (Non-RA),5,0021100077,20120103,Center(C)
-21,11,True,2PT,Restricted Area,2,0021100077,20120103,Center(C)
-67,47,False,2PT,In The Paint (Non-RA),8,0021100077,20120103,Left Side(L)
10,17,True,2PT,Restricted Area,1,0021100077,20120103,Center(C)
-153,213,False,3PT,Above the Break 3,26,0021100087,20120104,Left Side Center(LC)
-2,0,True,2PT,Restricted Area,0,0021100087,20120104,Center(C)
29,110,False,2PT,In The Paint (Non-RA),11,0021100087,20120104,Center(C)
7,6,True,2PT,Restricted Area,0,0021100087,20120104,Center(C)
78,381,False,3PT,Above the Break 3,38,0021100087,20120104,Center(C)
-196,159,False,3PT,Above the Break 3,25,0021100087,20120104,Left Side Center(LC)
2,-8,True,2PT,Restricted Area,0,0021100087,20120104,Center(C)
181,578,False,3PT,Backcourt,60,0021100087,20120104,Back Court(BC)
-134,127,True,2PT,Mid-Range,18,0021100087,20120104,Left Side Center(LC)
187,181,False,3PT,Above the Break 3,26,0021100087,20120104,Right Side Center(RC)
127,25,True,2PT,Mid-Range,12,0021100087,20120104,Right Side(R)
-2,6,True,2PT,Restricted Area,0,0021100087,20120104,Center(C)
-92,47,False,2PT,Mid-Range,10,0021100087,20120104,Left Side(L)
24,260,False,3PT,Above the Break 3,26,0021100087,20120104,Center(C)
-2,4,True,2PT,Restricted Area,0,0021100087,20120104,Center(C)
-105,91,True,2PT,Mid-Range,13,0021100103,20120106,Left Side(L)
4,213,False,2PT,Mid-Range,21,0021100103,20120106,Center(C)
-152,206,True,3PT,Above the Break 3,25,0021100103,20120106,Left Side Center(LC)
21,12,True,2PT,Restricted Area,2,0021100103,20120106,Center(C)
24,50,True,2PT,In The Paint (Non-RA),5,0021100103,20120106,Center(C)
4,22,True,2PT,Restricted Area,2,0021100103,20120106,Center(C)
203,168,False,3PT,Above the Break 3,26,0021100103,20120106,Right Side Center(RC)
20,97,False,2PT,In The Paint (Non-RA),9,0021100103,20120106,Center(C)
2,14,True,2PT,Restricted Area,1,0021100103,20120106,Center(C)
-48,209,False,2PT,Mid-Range,21,0021100103,20120106,Center(C)
12,19,True,2PT,Restricted Area,2,0021100103,20120106,Center(C)
18,14,False,2PT,Restricted Area,2,0021100103,20120106,Center(C)
-10,23,False,2PT,Restricted Area,2,0021100103,20120106,Center(C)
-103,165,False,2PT,Mid-Range,19,0021100103,20120106,Left Side Center(LC)
-18,22,False,2PT,Restricted Area,2,0021100103,20120106,Center(C)
